REPORT_NO,STAGE,LOCATION,PACKET_NO,SHAPE,CTS,COLOR,PURITY,CUT,POLISH,SYMM,FLS,LAB,LENGTH_1,WIDTH,DEPTH,DEPTH_PER,TABLE_PER,DISC_PER,RATE,VALUE,NET_RATE,NET_VALUE,CROWN_ANGLE,CROWN_HEIGHT,PAV_ANGLE,PAV_HEIGHT,LWD,SHADE,PROPORTION,CULET,GIRDLE,CENTER_BLACK,SIDE_BLACK,CENTER_WHITE,SIDE_WHITE,MILKY,COMMENT_1,COMMENT_2,LASER_INSCRIPTION,ROUGH_MINE,BRILLIANCY,COP,POP,EYE_CLEAN,GIRDLE_PER,GRAINING,HA,LUSTER,NATURAL,RATIO,REPORT_COMMENT,KEY_TO_SYMBOLS,REPORT_DATE,STAR,DNA_LINK,VIDEO_JSON,VIDEO_MP4,CERTI_PDF,CERTI_JPG,REAL_IMAGE,ASST_SCOPE_IMAGE,HEART_IMAGE,DIAGRAM_IMAGE,ARROW_IMAGE
7232314427,M,INDIA,DB-282,ROUND,0.530,E,VVS2,EX,EX,EX,NON,GIA,5.19,5.15,3.24,62.60,57.00,7.140,4600.00,2438.00,4928.44,2612.07,36.00,15.50,41.20,43.50,5.19-5.15*3.24,NONE,3EX,NON,MED,,,,,ML-0,,,,,,,,,3.50,,GD,EX,,,,,28-07-2016,,null,null,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/DB-282/7232314427.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/DB-282/7232314427.jpg,null,null,null,null,null
6362996545,A,INDIA,82150,EMERALD,0.480,J,IF,,EX,EX,NON,GIA,5.30,3.96,2.62,66.20,67.00,-36.000,1800.00,864.00,1152.00,552.96,,,,,5.30-3.96*2.62,NONE,3EX,NON,MED TO STK,0,0,0,0,ML-0,,,GIA 6362996545,,,,,YES,,N,GD,EX,N,1.34,,MINOR DETAILS OF POLISH,19-12-2020,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=82150,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82150/82150.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82150/6362996545.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82150/6362996545.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82150/82150_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82150/82150_AS.jpg,null,null,null
7371248481,A,INDIA,88967,EMERALD,0.470,F,VS1,,EX,VG,NON,GIA,5.17,3.93,2.48,62.90,67.00,-35.000,2200.00,1034.00,1430.00,672.10,,,,,5.17-3.93*2.48,NONE,VG,NON,STK TO THK,0,0,0,1,ML-0,,,GIA 7371248481,,,,,YES,,N,GD,EX,N,1.32,,FEATHER,12-01-2021,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=88967,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/88967/88967.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/88967/7371248481.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/88967/7371248481.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/88967/88967_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/88967/88967_AS.jpg,null,null,null
6385581494,A,INDIA,93114,EMERALD,0.470,D,VVS1,,EX,VG,NON,GIA,5.25,4.02,2.56,63.70,66.00,-40.000,2900.00,1363.00,1740.00,817.80,0.00,0.00,0.00,0.00,5.25-4.02*2.56,NONE,VG,NON,MED to STK,0,0,0,0,ML-0,,,GIA 6385581494,,,,,YES,,N,GD,EX,N,1.31,,Pinpoint,07-05-2021,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=93114,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/93114/93114.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/93114/6385581494.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/93114/6385581494.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/93114/93114_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/93114/93114_AS.jpg,null,null,null
5386833083,A,INDIA,94064,EMERALD,0.500,J,VS2,,EX,EX,FNT,GIA,5.55,3.92,2.69,68.60,64.00,-30.000,1800.00,900.00,1260.00,630.00,0.00,0.00,0.00,0.00,5.55-3.92*2.69,NONE,3EX,NON,VTN to MED,0,0,0,1,ML-0,,,GIA 5386833083,,,,,YES,,N,GD,EX,N,1.42,,Feather,29-05-2021,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=94064,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/94064/94064.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/94064/5386833083.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/94064/5386833083.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/94064/94064_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/94064/94064_AS.jpg,null,null,null
5376570258,A,INDIA,89733,OVAL,0.900,J,VS2,,EX,VG,NON,GIA,7.36,5.31,3.45,65.00,56.00,-33.000,3200.00,2880.00,2144.00,1929.60,0.00,0.00,0.00,0.00,7.36-5.31*3.45,MIX TINCH,VG,NON,MED to VTK,0,0,0,2,ML-0,,,GIA 5376570258,,,,,NO,,,,EX,N,1.39,,Crystal,10-02-2021,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=89733,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89733/89733.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89733/5376570258.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89733/5376570258.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89733/89733_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89733/89733_AS.jpg,null,null,null
6351881835,A,INDIA,83949,EMERALD,0.480,E,VVS2,,EX,VG,FNT,GIA,5.34,3.99,2.62,65.80,68.00,-42.000,2500.00,1200.00,1450.00,696.00,,,,,5.34-3.99*2.62,NONE,VG,NON,MED TO STK,0,0,0,0,ML-0,,,GIA 6351881835,,,,,YES,,N,GD,EX,N,1.34,,PINPOINT,02-09-2020,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=83949,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/83949/83949.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/83949/6351881835.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/83949/6351881835.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/83949/83949_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/83949/83949_AS.jpg,null,null,null
5211265314,A,INDIA,86483,EMERALD,0.500,J,VVS1,,EX,VG,NON,GIA,5.39,3.83,2.64,68.90,61.00,-35.000,2100.00,1050.00,1365.00,682.50,,,,,5.39-3.83*2.64,NONE,VG,NON,THN TO THK,0,0,0,0,ML-0,,,GIA 5211265314,,,,,YES,,,GD,EX,N,1.41,,FEATHER,02-12-2020,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=86483,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86483/86483.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86483/5211265314.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86483/5211265314.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86483/86483_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86483/86483_AS.jpg,null,null,null
1395980210,A,INDIA,96874,EMERALD,0.520,G,SI2,,EX,EX,FNT,GIA,5.37,4.03,2.68,66.30,66.00,-30.000,1900.00,988.00,1330.00,691.60,0.00,0.00,0.00,0.00,5.37-4.03*2.68,NONE,3EX,NON,STK to THK,0,0,0,3,ML-0,,,GIA 1395980210,,,,,NO,3.00,,,EX,N,1.33,,Feather  Crystal,18-08-2021,0.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=96874,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/96874/96874.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/96874/1395980210.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/96874/1395980210.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/96874/96874_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/96874/96874_AS.jpg,null,null,null
7402086111,A,INDIA,97053,EMERALD,0.900,F,VS1,,EX,VG,FNT,GIA,6.43,4.81,3.14,65.30,72.00,-37.000,5300.00,4770.00,3339.00,3005.10,0.00,0.00,0.00,0.00,6.43-4.81*3.14,NONE,VG,NON,MED to THK,0,0,0,1,ML-0,,,GIA 7402086111,,,,,YES,3.00,N,,EX,N,1.34,,Cloud  Pinpoint,25-08-2021,0.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=97053,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/97053/97053.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/97053/7402086111.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/97053/7402086111.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/97053/97053_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/97053/97053_AS.jpg,null,null,null
