Stock,Availability,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceIntensity,FluorescenceColor,Measurements,Lab,Certificate,Rap,Discount,percarat,FancyColor,FancyColorIntensity,FancyColorOvertone,Depth,Table,GirdleThin,GirdleThick,Girdle,GirdleCondition,CuletSize,CuletCondition,CrownHeight,CrownAngle,PavilionDepth,PavilionAngle,Country,DiamondImage,VIDEO,CertPDFUrl,Heartimage,ArrowImage,AssetImage,Keytosymbols,Shade,BlackInclusion,Milky,EyeClean
J403-217865,Subject to Prior Sale,ROUND,0.4,I,VVS2,EX,EX,VG,,NON,4.72 - 4.69 X 2.95,GIA,6411846477,2400.0,20.0,1920.0,,,,62.6,55.0,MED,STK,3.5,Faceted,NON,,15.5,34.5,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/J403-217865/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J403-217865,https://thnk18.azureedge.net/img/CertImages/6411846477.jpg,,,,Pinpoint,NONE,NONE,NONE,100.0
H591-217867,Subject to Prior Sale,ROUND,0.7,I,SI2,VG,EX,VG,,NON,5.56 - 5.50 X 3.57,GIA,2417822474,2900.0,31.5,1986.5,,,,64.6,57.0,STK,THK,5.0,FACETED,NON,,17.0,38.5,42.5,40.4,MUM,https://thnk18.azureedge.net/img/images/imaged/H591-217867/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H591-217867,https://thnk18.azureedge.net/img/CertImages/2417822474.jpg,,,,TWINNING WISP  FEATHER  CRYSTAL,INSPECTION ADVISABLE,MINOR BLACK,NONE,80.0
J102-217869,Subject to Prior Sale,ROUND,1.0,D,VS2,EX,EX,EX,,FNT,6.57 - 6.52 X 3.85,GIA,6415850347,11600.0,29.0,8236.0,,,,58.8,61.0,THN,STK,3.5,Faceted,NON,,12.5,32.5,43.0,40.8,MUM,https://thnk18.azureedge.net/img/images/imaged/J102-217869/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J102-217869,https://thnk18.azureedge.net/img/CertImages/6415850347.jpg,,,,Crystal,NONE,MINOR BLACK,NONE,100.0
H592-217871,Subject to Prior Sale,EMERALD,0.5,F,VVS1,,EX,VG,,NON,5.07 - 3.69 X 2.61,GIA,7418872243,3400.0,31.0,2346.0,,,,70.7,61.0,THK,VTK,0.0,,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H592-217871/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H592-217871,https://thnk18.azureedge.net/img/CertImages/7418872243.jpg,,,,Indented Natural  Natural,NONE,NONE,NONE,100.0
H587-217873,Subject to Prior Sale,HEART,0.9,G,SI1,,EX,EX,,NON,5.61 - 6.57 X 4.01,GIA,7416968098,4600.0,34.5,3013.0,,,,61.1,62.0,THK,ETK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H587-217873/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H587-217873,https://thnk18.azureedge.net/img/CertImages/7416968098.jpg,,,,TWINNING WISP,NONE,PIN POINT BLACK,NONE,90.0
H615-217875,Subject to Prior Sale,ROUND,0.3,G,SI1,EX,EX,VG,,NON,4.27 - 4.25 X 2.66,GIA,2414844708,1900.0,24.0,1444.0,,,,62.4,56.0,MED,STK,3.5,Faceted,NON,,16.0,36.5,43.0,40.8,MUM,https://thnk18.azureedge.net/img/images/imaged/H615-217875/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H615-217875,https://thnk18.azureedge.net/img/CertImages/2414844708.jpg,,,,Twinning Wisp  Crystal,NONE,PIN POINT BLACK,NONE,90.0
J106-217882,Subject to Prior Sale,ROUND,0.9,I,SI1,VG,EX,G,,NON,6.09 - 6.02 X 3.90,GIA,2416852873,4800.0,21.0,3792.0,,,,64.4,57.0,MED,THK,5.0,Faceted,NON,,15.0,34.5,44.5,41.6,MUM,https://thnk18.azureedge.net/img/images/imaged/J106-217882/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J106-217882,https://thnk18.azureedge.net/img/CertImages/2416852873.jpg,,,,Feather  Crystal  Cloud,NONE,MINOR BLACK,NONE,90.0
H386-217883,Subject to Prior Sale,PEAR,1.0,H,VS1,,VG,VG,,NON,8.77 - 5.54 X 3.47,GIA,1413836955,6000.0,13.0,5220.0,,,,62.6,60.0,MED,VTK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H386-217883/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H386-217883,https://thnk18.azureedge.net/img/CertImages/1413836955.jpg,,,,FEATHER,NONE,NONE,NONE,100.0
J100-217884,Subject to Prior Sale,ROUND,1.25,J,SI2,EX,EX,EX,,NON,6.85 - 6.79 X 4.32,GIA,2417968549,4800.0,20.0,3840.0,,,,63.3,57.0,MED,STK,3.5,FACETED,NON,,16.0,36.5,44.0,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/J100-217884/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J100-217884,https://thnk18.azureedge.net/img/CertImages/2417968549.jpg,,,,CRYSTAL  PINPOINT  INDENTED NATURAL  NATURAL,NONE,HEAVY BLACK,NONE,80.0
H615-217885,Subject to Prior Sale,ROUND,0.4,G,SI1,EX,EX,EX,,NON,4.74 - 4.70 X 2.93,GIA,1415823215,2200.0,25.0,1650.0,,,,62.0,57.0,MED,STK,3.5,FACETED,NON,,15.0,35.0,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/H615-217885/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H615-217885,https://thnk18.azureedge.net/img/CertImages/1415823215.jpg,,,,CRYSTAL  FEATHER,INSPECTION ADVISABLE,MINOR BLACK,NONE,80.0
H615-217887,Subject to Prior Sale,CUSHION MODIFIED,1.0,*,SI2,,EX,G,,FNT,5.57 - 5.26 X 3.79,GIA,6224215538,3900.0,0.0,3510.0,YELLOW,FANCY INTENSE,,72.2,54.0,ETK,,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H615-217887/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H615-217887,https://thnk18.azureedge.net/img/CertImages/6224215538.jpg,,,,CRYSTAL  FEATHER  CLOUD  NEEDLE  INDENTED NATURAL,NONE,PIN POINT BLACK,NONE,80.0
H388-217888,Subject to Prior Sale,ROUND,0.65,G,SI1,EX,EX,EX,,FNT,5.56 - 5.54 X 3.45,GIA,6411813201,3300.0,13.0,2871.0,,,,62.2,56.0,MED,,3.5,Faceted,NON,,15.5,35.5,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H388-217888/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H388-217888,https://thnk18.azureedge.net/img/CertImages/6411813201.jpg,,,,Feather  Crystal,NONE,PIN POINT BLACK,NONE,90.0
J105-217891,Subject to Prior Sale,ROUND,0.9,J,VS1,EX,EX,EX,,NON,6.15 - 6.10 X 3.85,IGI,502149139,5000.0,20.5,3975.0,,,,62.8,55.0,MEDIUM,SLIGHTLY THICK (FACETE,3.0,,NON,,16.5,36.5,42.5,40.5,MUM,https://thnk18.azureedge.net/img/images/imaged/J105-217891/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J105-217891,https://thnk18.azureedge.net/img/CertImages/502149139.jpg,,,,,NONE,PIN POINT BLACK,NONE,100.0
H623-217894,Subject to Prior Sale,SQUARE RADIANT MODIFIED,0.61,*,SI2,,EX,VG,,NON,4.81 - 4.44 X 3.03,GIA,5222215927,5500.0,0.0,4950.0,BROWN-PINK,FANCY,,68.3,61.0,ETK,,0.0,,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H623-217894/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H623-217894,https://thnk18.azureedge.net/img/CertImages/5222215927.jpg,,,,CRYSTAL  FEATHER  NEEDLE,NONE,PIN POINT BLACK,NONE,80.0
