stock_no,item_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
S1PZ5,S1PZ5,INDIA,G,round,1.01,F,VS1,EX,EX,EX,N,6.42-6.45x3.97,GIA,6405512544,11000,-27.40%,$8065.86,WH,M0,,,BT0,BC0,EC0,,Y,58.00,61.80,33.00,41.60,Feather  Cloud  Pinpoint  Natural,N,2021-09-23,,,,,NO BGM  no black
R1PZ5,229997,HK,G,round,0.50,G,VS1,VG,EX,VG,N,4.93-4.99x3.20,GIA,2394621157,4000,-38.30%,$1234.00,WH,M0,,,BT0,BC0,EC0,VG,Y,56.00,64.60,38.50,40.20,Cavity  Cloud  Pinpoint,N,2021-08-31,,Arrived,,,NO BGM  no black
P1PZ5,229995,HK,G,heart,1.00,F,VS2,--,VG,VG,N,5.89x6.60x4.01,GIA,1403729696,6500,-35.20%,$4212.00,WH,M0,,,BT1,BC0,EC0,,Y,64.00,60.80,0.00,0.00,Feather  Crystal  Indented Natural  Cloud  Needle  Natural,N,2021-10-25,,Arrived,,,NO BGM
O1PZ5,229994,HK,G,heart,1.00,F,VS2,--,EX,VG,N,5.70x6.74x4.14,GIA,3405345115,6500,-34.60%,$4251.00,WH,M0,,,BT0,BC0,EC0,,Y,62.00,61.40,0.00,0.00,Indented Natural  Feather  Natural,N,2021-10-05,,Arrived,,,NO BGM  no black
N1PZ5,229993,HK,G,heart,1.00,F,VS2,--,VG,VG,N,6.00x6.61x4.05,GIA,6402521476,6500,-35.50%,$4192.50,WH,M0,,,BT1,BC1,EC0,,Y,62.00,61.30,0.00,0.00,Crystal  Cloud  Feather  Indented Natural  Extra Facet,N,2021-10-21,,Arrived,,,NO BGM
M1PZ5,229992,HK,G,heart,1.00,F,VS2,--,EX,EX,N,5.89x6.81x4.06,GIA,7406225485,6500,-29.80%,$4563.00,WH,M0,,,BT0,BC1,EC0,,Y,60.00,59.50,0.00,0.00,Crystal  Indented Natural  Feather  Cavity  Needle  Natural,N,2021-10-01,,Arrived,,,NO BGM  table no black
L1PZ5,229991,HK,G,heart,1.00,E,VS2,--,EX,VG,N,5.26x6.52x4.22,GIA,1409542901,6800,-38.10%,$4209.20,WH,M0,,,BT0,BC0,EC0,,Y,64.00,64.70,0.00,0.00,Indented Natural  Cloud  Needle,N,2021-10-18,,Arrived,,,NO BGM  no black
K1PZ5,229990,HK,G,heart,1.00,D,VVS2,--,EX,VG,N,5.60x6.64x4.08,GIA,5221107991,9100,-40.10%,$5450.90,WH,M0,,,BT0,BC0,EC0,,Y,64.00,61.40,0.00,0.00,Pinpoint  Natural,N,2021-10-27,,Arrived,,,NO BGM  no black
J1PZ5,229989,HK,G,round,1.00,H,VS1,EX,VG,VG,N,6.30-6.35x3.96,GIA,5396561795,8800,-37.20%,$5526.40,WH,M0,,,BT1,BC0,EC0,EX,Y,57.00,62.60,36.00,40.60,Crystal  Pinpoint  Natural,VS,2021-09-21,,Arrived,,,NO BGM
I1PZ5,229988,HK,G,round,1.00,H,VS2,VG,EX,VG,N,6.16-6.25x3.98,GIA,7416093800,8300,-35.40%,$5361.80,WH,M0,,,BT0,BC0,EC0,,Y,59.00,64.10,37.50,40.60,Cloud  Crystal  Indented Natural  Feather  Cavity  Needle  Natural,N,2021-10-29,,Arrived,,,NO BGM  no black
H1PZ5,229987,HK,G,round,1.00,D,VS1,EX,EX,EX,N,6.38-6.43x3.94,GIA,2417070653,12400,-28.80%,$8828.80,WH,M0,,,BT0,BC0,EC0,,Y,60.00,61.50,33.50,41.60,Indented Natural  Pinpoint,N,2021-10-28,,Arrived,,,NO BGM  no black
G1PZ5,229986,HK,G,round,1.00,D,VS1,EX,EX,EX,N,6.35-6.39x3.99,GIA,1415073383,12400,-29.20%,$8779.20,WH,M0,,,BT0,BC0,EC0,,Y,56.00,62.70,36.50,40.80,Crystal  Feather  Indented Natural  Needle  Pinpoint  Natural,N,2021-10-28,,Arrived,,,NO BGM  no black
F1PZ5,229985,HK,G,round,2.00,H,VS1,EX,EX,EX,N,7.99-8.05x5.02,GIA,6411081187,16000,-23.10%,$24608.00,WH,M0,,,BT0,BC0,EC0,,Y,56.00,62.60,36.50,40.80,Knot  Pinpoint,N,2021-10-29,,Arrived,,,NO BGM  no black
E1PZ5,229984,HK,G,round,1.00,F,VS2,VG,EX,VG,N,6.17-6.22x4.01,GIA,7408512810,9800,-43.80%,$5507.60,WH,M0,,,BT1,BC1,EC0,VG,Y,57.00,64.70,38.00,40.20,Indented Natural  Crystal  Feather  Cloud  Needle  Pinpoint  Natural,N,2021-10-13,,Arrived,,,NO BGM
D1PZ5,229983,HK,G,round,1.00,K,VS1,VG,VG,VG,N,6.22-6.30x3.99,GIA,2394621225,4600,-33.80%,$3045.20,WH,M0,,,BT1,BC0,EC0,,Y,62.00,63.70,34.50,42.00,Cloud  Crystal  Feather  Needle  Natural,N,2021-09-02,,Arrived,,,NO BGM
C1PZ5,229982,HK,G,round,1.00,E,VS2,VG,EX,VG,N,6.20-6.26x4.01,GIA,2406986817,10300,-45.30%,$5634.10,WH,M0,,,BT0,BC0,EC0,VG,Y,57.00,64.30,38.50,40.20,Cloud  Indented Natural  Feather  Natural,N,2021-10-26,,Arrived,,,NO BGM  no black
B1PZ5,229981,HK,G,round,1.01,H,VS2,VG,EX,EX,N,6.22-6.26x4.03,GIA,7403965442,8300,-37.40%,$5247.76,WH,M0,,,BT1,BC0,EC0,,Y,57.00,64.60,37.00,41.00,Cloud  Crystal  Feather  Needle  Natural,N,2021-10-25,,Arrived,,,NO BGM
A1PZ5,229980,HK,G,round,1.00,H,VS2,VG,VG,VG,N,6.18-6.23x3.97,GIA,2407676934,8300,-36.30%,$5287.10,WH,M0,,,BT1,BC1,EC0,,Y,59.00,64.00,37.50,40.60,Cloud  Crystal  Feather  Indented Natural  Bruise  Needle  Natural,N,2021-10-21,,Arrived,,,NO BGM
81PZ5,229978,HK,G,round,1.01,H,VS1,EX,EX,EX,N,6.37-6.40x3.99,GIA,2221061550,8800,-22.80%,$6861.54,WH,M0,,,BT0,BC0,EC0,,Y,58.00,62.50,36.50,41.00,Crystal  Feather  Cloud  Pinpoint  Indented Natural,N,2021-10-06,,Arrived,,,NO BGM  no black
71PZ5,229977,HK,G,round,1.50,G,VS1,EX,EX,EX,N,7.27-7.31x4.60,GIA,6402599799,13000,-26.10%,$14410.50,WH,M0,,,BT0,BC0,EC0,,Y,56.00,63.10,36.50,40.80,Indented Natural  Cloud  Natural,N,2021-10-01,,Arrived,,,NO BGM  no black
61PZ5,229976,HK,G,round,1.00,E,VS1,VG,VG,VG,N,6.22-6.32x4.02,GIA,2221046813,11600,-47.60%,$6078.40,WH,M0,,,BT0,BC1,EC0,,Y,57.00,64.10,36.50,41.20,Crystal  Feather  Cloud  Indented Natural  Natural,N,2021-09-29,,Arrived,,,NO BGM  table no black
51PZ5,229975,HK,G,round,1.00,F,VS2,VG,EX,VG,N,6.19-6.25x4.02,GIA,3405868087,9800,-43.80%,$5507.60,WH,M0,,,BT1,BC0,EC0,,Y,58.00,64.60,36.00,41.20,Feather  Cavity  Cloud  Indented Natural  Needle  Natural,N,2021-10-16,,Arrived,,,NO BGM
41PZ5,229974,HK,G,round,1.00,H,VS2,VG,EX,VG,N,6.16-6.26x4.04,GIA,6405166210,8300,-35.40%,$5361.80,WH,M0,,,BT0,BC0,EC0,,Y,58.00,65.00,35.50,41.40,Cloud  Indented Natural  Crystal  Feather  Natural,N,2021-09-23,,Arrived,,,NO BGM  no black
31PZ5,229973,HK,G,round,1.00,F,VS2,VG,EX,VG,N,6.21-6.26x4.04,GIA,5403618796,9800,-44.90%,$5399.80,WH,M0,,,BT1,BC0,EC0,,Y,57.00,64.80,36.50,41.20,Crystal  Feather  Needle  Pinpoint  Indented Natural  Natural,N,2021-09-30,,Arrived,,,NO BGM
21PZ5,229972,HK,G,round,1.00,H,VS2,EX,EX,EX,N,6.34-6.37x4.01,GIA,1409366943,8300,-23.50%,$6349.50,WH,M0,,,BT0,BC0,EC0,,Y,56.00,63.00,36.50,41.00,Feather  Indented Natural  Pinpoint  Needle,N,2021-10-20,,Arrived,,,NO BGM  no black
11PZ5,229971,HK,G,round,1.00,F,VS1,GD,EX,GD,N,6.05-6.15x4.03,GIA,2406015497,11000,-59.00%,$4510.00,WH,M0,,,BT0,BC0,EC0,,Y,59.00,66.00,38.50,40.60,Feather  Pinpoint  Natural,N,2021-09-02,,Arrived,,,NO BGM  no black
01PZ5,229970,HK,G,round,1.00,H,VS2,EX,EX,EX,N,6.33-6.37x3.98,GIA,7406329614,8300,-23.50%,$6349.50,WH,M0,,,BT0,BC0,EC0,,Y,59.00,62.70,34.50,41.80,Cloud  Indented Natural  Needle  Natural,N,2021-09-30,,Arrived,,,NO BGM  no black
Z0PZ5,229969,HK,G,round,1.00,H,VS2,EX,EX,EX,F,6.31-6.35x4.01,GIA,6402547097,8300,-31.10%,$5718.70,WH,M0,,,BT0,BC0,EC0,,Y,56.00,63.40,36.50,40.80,Feather  Cavity  Pinpoint  Needle  Cloud  Natural,N,2021-09-29,,Arrived,,,NO BGM  no black
Y0PZ5,229968,HK,G,round,1.01,G,VS2,EX,EX,EX,N,6.47-6.49x3.95,GIA,7406475169,9300,-26.80%,$6875.68,WH,M0,,,BT1,BC0,EC0,,Y,59.00,60.90,32.50,41.60,Crystal  Feather  Needle,N,2021-10-11,,Arrived,,,NO BGM
X0PZ5,229967,HK,G,round,1.00,F,VS2,VG,EX,VG,N,6.15-6.25x4.01,GIA,2404351473,9800,-44.10%,$5478.20,WH,M0,,,BT0,BC0,EC0,VG,Y,56.00,64.70,38.50,40.20,Crystal  Indented Natural  Natural,VS,2021-09-27,,Arrived,,,NO BGM  no black
W0PZ5,229966,HK,G,round,1.00,F,VS2,VG,EX,VG,N,6.22-6.30x3.98,GIA,6402743656,9800,-44.60%,$5429.20,WH,M0,,,BT1,BC0,EC0,EX,Y,58.00,63.60,37.50,40.40,Cloud  Crystal  Natural,N,2021-10-22,,Arrived,,,NO BGM
V0PZ5,229965,HK,G,round,1.01,G,VS1,VG,EX,VG,N,6.16-6.24x4.02,GIA,2407643474,10100,-44.00%,$5712.56,WH,M0,,,BT1,BC0,EC0,,Y,57.00,64.80,38.50,40.40,Crystal  Feather  Cloud  Needle  Natural,N,2021-10-04,,Arrived,,,NO BGM
T0PZ5,229963,HK,G,round,1.00,J,VS2,EX,EX,EX,N,6.39-6.44x3.93,GIA,2225019440,5400,-24.30%,$4087.80,WH,M0,,,BT0,BC0,EC0,,Y,60.00,61.20,32.50,41.80,Feather  Indented Natural  Needle  Pinpoint  Natural,N,2021-09-16,,Arrived,,,NO BGM  no black
S0PZ5,229962,HK,G,round,1.00,J,VS1,EX,EX,EX,N,6.38-6.43x3.96,GIA,2407644221,5700,-24.40%,$4309.20,WH,M0,,,BT0,BC0,EC0,,Y,60.00,61.90,34.00,41.80,Crystal  Feather  Cloud  Needle  Indented Natural  Natural,N,2021-10-04,,Arrived,,,NO BGM  no black
R0PZ5,229961,HK,G,round,1.01,I,VS2,EX,EX,EX,N,6.51-6.53x3.93,GIA,6401604716,6700,-26.30%,$4987.28,WH,M0,,,BT1,BC1,EC0,VG,Y,59.00,60.20,32.00,41.60,Cloud  Feather  Crystal  Needle,N,2021-10-04,,Arrived,,,NO BGM
P0PZ5,229959,HK,G,round,1.00,H,VS2,VG,EX,VG,N,6.15-6.23x4.01,GIA,2406436399,8300,-36.30%,$5287.10,WH,M0,,,BT0,BC0,EC0,,Y,56.00,64.80,38.50,40.00,Feather  Cloud  Pinpoint  Natural,N,2021-09-21,,Arrived,,,NO BGM  no black
O0PZ5,229958,HK,G,round,1.01,H,VS2,VG,EX,VG,N,6.21-6.26x4.02,GIA,3405740615,8300,-36.30%,$5339.97,WH,M0,,,BT0,BC0,EC0,,Y,57.00,64.40,38.50,40.00,Feather  Indented Natural  Natural,N,2021-10-12,,Arrived,,,NO BGM  no black
N0PZ5,229957,HK,G,round,1.00,G,VS2,VG,EX,EX,N,6.24-6.27x4.02,GIA,6395463714,9300,-40.90%,$5496.30,WH,M0,,,BT0,BC0,EC0,,Y,57.00,64.30,37.00,41.00,Cloud  Indented Natural  Crystal  Needle,N,2021-08-26,,Arrived,,,NO BGM  no black
M0PZ5,229956,HK,G,round,1.00,D,VVS2,EX,EX,EX,N,6.35-6.39x4.01,GIA,6402462725,13800,-28.40%,$9880.80,WH,M0,,,BT0,BC0,EC0,,Y,56.00,62.90,35.50,41.20,Feather  Pinpoint  Natural,N,2021-09-23,,Arrived,,,NO BGM  no black
L0PZ5,229955,HK,G,round,0.70,E,VS2,EX,EX,EX,N,5.62-5.65x3.53,GIA,6402833782,5300,-33.10%,$2481.99,WH,M0,,,BT0,BC0,EC0,EX,Y,56.00,62.70,36.50,40.60,Cloud  Indented Natural  Feather,VS,2021-11-16,,Arrived,,,NO BGM  no black
K0PZ5,229954,HK,G,round,0.70,E,VS2,EX,EX,EX,N,5.58-5.63x3.55,GIA,2225109222,5300,-34.30%,$2437.47,WH,M0,,,BT1,BC0,EC0,EX,Y,55.00,63.30,36.50,40.60,Crystal  Cloud  Indented Natural,N,2021-10-27,,Arrived,,,NO BGM
I0PZ5,229952,HK,G,round,0.70,D,VS2,EX,EX,EX,N,5.64-5.68x3.54,GIA,5221135930,5500,-32.40%,$2602.60,WH,M0,,,BT1,BC0,EC0,,Y,57.00,62.50,36.00,41.00,Crystal  Cloud  Indented Natural,N,2021-11-08,,Arrived,,,NO BGM
G0PZ5,229950,HK,G,round,0.70,H,VS2,VG,EX,VG,N,5.54-5.60x3.55,GIA,6405635763,4500,-38.60%,$1934.10,WH,M0,,,BT1,BC0,EC0,,Y,55.00,63.70,38.00,39.80,Feather  Indented Natural,N,2021-10-21,,Arrived,,,NO BGM
F0PZ5,229949,HK,G,round,0.80,H,VS1,EX,EX,EX,N,5.90-5.93x3.69,GIA,2404696720,4700,-20.80%,$2977.92,WH,M0,,,BT0,BC0,EC0,,Y,56.00,62.40,36.50,40.80,Crystal  Cavity  Pinpoint,N,2021-10-29,,Arrived,,,NO BGM  no black
E0PZ5,229948,HK,G,round,0.70,H,VS1,VG,EX,VG,N,5.51-5.59x3.57,GIA,6405548511,4700,-37.50%,$2056.25,WH,M0,,,BT0,BC0,EC0,EX,Y,55.00,64.30,36.00,40.80,Feather  Indented Natural  Pinpoint,N,2021-10-21,,Arrived,,,NO BGM  no black
D0PZ5,229947,HK,G,round,0.70,H,VS2,EX,EX,EX,N,5.71-5.74x3.51,GIA,6392241633,4500,-28.60%,$2249.10,WH,M0,,,BT1,BC0,EC0,,Y,61.00,61.20,33.00,41.80,Crystal  Cloud,N,2021-07-27,,Arrived,,,NO BGM
C0PZ5,229946,HK,G,round,0.70,H,VS2,VG,EX,VG,N,5.53-5.59x3.51,GIA,5403666047,4500,-37.50%,$1968.75,WH,M0,,,BT0,BC0,EC0,,Y,60.00,63.00,37.00,40.60,Crystal  Feather,N,2021-10-04,,Arrived,,,NO BGM  no black
B0PZ5,229945,HK,G,round,0.70,G,VS1,VG,EX,VG,N,5.53-5.60x3.59,GIA,2215994330,5000,-37.70%,$2180.50,WH,M0,,,BT0,BC0,EC0,,Y,56.00,64.50,36.50,41.00,Feather  Indented Natural  Pinpoint  Cloud,N,2021-09-02,,Arrived,,,NO BGM  no black
A0PZ5,229944,HK,G,round,0.70,E,VVS2,EX,EX,EX,N,5.71-5.74x3.48,GIA,5221135323,5900,-29.20%,$2924.04,WH,M0,,,BT0,BC0,EC0,,Y,61.00,60.90,32.50,41.80,Needle  Pinpoint  Cloud  Indented Natural,N,2021-11-08,,Arrived,,,NO BGM  no black
90PZ5,229943,HK,G,round,0.70,F,VVS2,EX,EX,EX,N,5.65-5.68x3.55,GIA,5222135898,5600,-27.90%,$2826.32,WH,M0,,,BT0,BC0,EC0,,Y,58.00,62.60,35.00,41.60,Feather  Pinpoint,N,2021-11-08,,Arrived,,,NO BGM  no black
80PZ5,229942,HK,G,round,0.70,G,VVS2,EX,EX,EX,N,5.64-5.68x3.53,GIA,5222121692,5200,-30.10%,$2544.36,WH,M0,,,BT0,BC0,EC0,,Y,57.00,62.40,36.50,40.80,Pinpoint  Feather,N,2021-11-08,,Arrived,,,NO BGM  no black
70PZ5,229941,HK,G,round,0.70,E,VVS2,VG,EX,VG,N,5.50-5.56x3.57,GIA,2398814960,5900,-43.90%,$2316.93,WH,M0,,,BT0,BC0,EC0,VG,Y,56.00,64.50,38.50,40.20,Needle  Pinpoint  Cloud  Indented Natural,N,2021-08-06,,Arrived,,,NO BGM  no black
60PZ5,229940,HK,G,round,0.50,G,SI1,EX,EX,EX,N,5.05-5.07x3.15,GIA,2406568273,3200,-28.30%,$1147.20,WH,M0,,,BT1,BC1,EC0,EX,Y,57.00,62.30,35.50,40.80,Cloud  Crystal  Feather,N,2021-10-18,,Arrived,,,NO BGM
50PZ5,229939,HK,G,round,0.50,H,SI1,GD,VG,VG,N,4.82-4.90x3.22,GIA,1403012269,3100,-44.20%,$864.90,WH,M0,,,BT1,BC1,EC0,,Y,55.00,66.40,38.50,39.60,Feather  Crystal,N,2021-10-01,,Arrived,,,NO BGM
40PZ5,229938,HK,G,round,0.50,G,SI1,EX,EX,EX,N,5.12-5.15x3.09,GIA,6405635398,3200,-27.50%,$1160.00,WH,M0,,,BT1,BC0,EC0,,Y,58.00,60.20,33.00,40.80,Feather,N,2021-09-30,,Arrived,,,NO BGM
30PZ5,229937,HK,G,round,0.50,G,SI1,EX,EX,EX,N,5.04-5.07x3.18,GIA,3405624891,3200,-28.30%,$1147.20,WH,M0,,,BT1,BC0,EC0,,Y,57.00,62.90,36.50,41.00,Feather  Crystal  Cloud  Indented Natural,N,2021-09-30,,Arrived,,,NO BGM
20PZ5,229936,HK,G,round,0.50,G,SI1,EX,EX,EX,M,5.06-5.08x3.18,GIA,2407371435,3200,-36.30%,$1019.20,WH,M0,,,BT0,BC1,EC0,EX,Y,56.00,62.60,36.00,40.80,Twinning Wisp  Feather,N,2021-09-17,,Arrived,,,NO BGM  table no black
10PZ5,229935,HK,G,round,0.50,G,SI1,EX,EX,EX,N,5.19-5.22x3.07,GIA,1405339953,3200,-28.30%,$1147.20,WH,M0,,,BT1,BC1,EC0,,Y,59.00,58.90,32.00,41.00,Crystal,N,2021-09-14,,Arrived,,,NO BGM
00PZ5,229934,HK,G,round,0.50,E,VS2,EX,EX,EX,N,5.05-5.08x3.16,GIA,2225119194,4000,-29.30%,$1414.00,WH,M0,,,BT0,BC0,EC0,,Y,57.00,62.40,34.50,41.20,Crystal  Indented Natural  Feather,N,2021-11-08,,Arrived,,,NO BGM  no black
ZZOZ5,229933,HK,G,round,0.50,D,VS1,EX,EX,EX,N,5.10-5.13x3.14,GIA,2225109600,4600,-30.00%,$1610.00,WH,M0,,,BT0,BC0,EC0,,Y,60.00,61.30,34.00,41.60,Crystal  Needle  Pinpoint,N,2021-10-27,,Arrived,,,NO BGM  no black
YZOZ5,229932,HK,G,round,0.50,H,VS2,EX,EX,EX,N,5.10-5.12x3.13,GIA,6224124307,3700,-26.00%,$1369.00,WH,M0,,,BT0,BC0,EC0,,Y,55.00,61.30,35.00,40.60,Twinning Wisp  Feather,VS,2021-11-08,,Arrived,,,NO BGM  no black
WZOZ5,229930,HK,G,round,0.50,H,VS1,EX,EX,EX,N,5.04-5.07x3.15,GIA,5221119178,3800,-26.90%,$1388.90,WH,M0,,,BT1,BC0,EC0,,Y,57.00,62.40,36.50,40.80,Crystal  Cloud,N,2021-11-08,,Arrived,,,NO BGM
VZOZ5,229929,HK,G,round,0.50,D,VS1,EX,EX,EX,N,5.06-5.10x3.17,GIA,6227136456,4600,-31.20%,$1582.40,WH,M0,,,BT1,BC0,EC0,,Y,57.00,62.40,36.00,41.00,Crystal  Indented Natural  Pinpoint,N,2021-11-08,,Arrived,,,NO BGM
UZOZ5,229928,HK,G,round,0.50,D,VS1,EX,EX,EX,N,5.06-5.09x3.17,GIA,2225136604,4600,-30.20%,$1605.40,WH,M0,,,BT0,BC1,EC0,,Y,58.00,62.50,36.50,41.00,Crystal  Cloud,N,2021-11-08,,Arrived,,,NO BGM  table no black
TZOZ5,229927,HK,G,round,0.50,D,VS1,EX,EX,EX,N,5.08-5.11x3.14,GIA,5221136728,4600,-30.10%,$1607.70,WH,M0,,,BT0,BC0,EC0,EX,Y,55.00,61.70,34.50,40.80,Needle  Feather  Cavity,N,2021-11-08,,Arrived,,,NO BGM  no black
SZOZ5,229926,HK,G,round,0.50,H,VS2,EX,EX,EX,N,5.07-5.10x3.18,GIA,2225103981,3700,-26.80%,$1354.20,WH,M0,,,BT1,BC0,EC0,,Y,57.00,62.50,34.00,41.80,Cloud  Crystal  Feather,N,2021-10-26,,Arrived,,,NO BGM
RZOZ5,229925,HK,G,round,0.50,G,VS2,EX,EX,EX,N,5.00-5.04x3.18,GIA,5222103319,3800,-28.40%,$1360.40,WH,M0,,,BT1,BC0,EC0,EX,Y,55.00,63.40,36.50,40.60,Crystal  Indented Natural,N,2021-10-25,,Arrived,,,NO BGM
QZOZ5,229924,HK,G,round,0.50,G,VS2,EX,EX,EX,M,5.05-5.09x3.18,GIA,2225106038,3800,-39.80%,$1143.80,WH,M0,,,BT1,BC0,EC0,,Y,57.00,62.70,36.00,41.20,Indented Natural  Crystal  Cloud,N,2021-10-26,,Arrived,,,NO BGM
PZOZ5,229923,HK,G,round,0.50,F,VS1,VG,EX,VG,N,4.92-4.97x3.18,GIA,6224106977,4200,-41.30%,$1232.70,WH,M0,,,BT0,BC0,EC0,,Y,56.00,64.30,38.00,40.00,Feather  Indented Natural  Pinpoint,N,2021-10-27,,Arrived,,,NO BGM  no black
OZOZ5,229922,HK,G,round,0.50,H,VS2,EX,EX,EX,N,5.07-5.10x3.18,GIA,6405695263,3700,-26.80%,$1354.20,WH,M0,,,BT1,BC0,EC0,,Y,59.00,62.50,34.50,41.80,Crystal,N,2021-10-29,,Arrived,,,NO BGM
NZOZ5,229921,HK,G,round,0.50,K,VS2,GD,EX,VG,N,4.90-4.96x3.19,GIA,1403616599,2100,-46.20%,$564.90,WH,M0,,,BT1,BC0,EC0,,Y,61.00,64.80,36.00,41.80,Crystal  Cloud,N,2021-10-22,,Arrived,,,NO BGM
MZOZ5,229920,HK,G,round,0.50,D,VS1,EX,EX,EX,N,5.06-5.10x3.09,GIA,6405637190,4600,-30.00%,$1610.00,WH,M0,,,BT0,BC0,EC0,,Y,60.00,60.80,35.50,40.60,Indented Natural  Cloud,N,2021-10-22,,Arrived,,,NO BGM  no black
LZOZ5,229919,HK,G,round,0.50,G,VS2,EX,EX,EX,N,5.04-5.07x3.16,GIA,2404695625,3800,-28.40%,$1360.40,WH,M0,,,BT2,BC0,EC0,,Y,58.00,62.50,36.00,41.20,Crystal  Cloud,N,2021-11-01,,Arrived,,,NO BGM
KZOZ5,229918,HK,G,round,0.50,D,VS1,EX,EX,EX,N,5.12-5.16x3.07,GIA,2398800303,4600,-30.10%,$1607.70,WH,M0,,,BT0,BC0,EC0,,Y,59.00,59.80,32.00,40.80,Crystal  Cloud,VS,2021-11-11,,Arrived,,,NO BGM  no black
JZOZ5,229917,HK,G,round,0.61,F,VS2,EX,EX,EX,N,5.41-5.44x3.40,GIA,6224088682,3900,-28.60%,$1698.61,WH,M0,,,BT1,BC0,EC0,,Y,56.00,62.60,36.00,41.00,Crystal  Cloud,N,2021-10-19,,Arrived,,,NO BGM
IZOZ5,229916,HK,G,round,0.50,D,VS1,EX,EX,EX,N,5.04-5.07x3.19,GIA,1409638355,4600,-30.10%,$1607.70,WH,M0,,,BT0,BC0,EC0,,Y,57.00,63.00,34.00,41.80,Crystal  Cloud,N,2021-10-20,,Arrived,,,NO BGM  no black
HZOZ5,229915,HK,G,round,0.50,H,VS2,EX,EX,EX,N,5.06-5.10x3.18,GIA,6401416346,3700,-27.10%,$1348.65,WH,M0,,,BT1,BC1,EC0,,Y,55.00,62.70,32.50,41.80,Crystal  Cloud,N,2021-10-18,,Arrived,,,NO BGM
GZOZ5,229914,HK,G,round,0.60,F,VS2,EX,EX,EX,N,5.40-5.43x3.36,GIA,3405417195,3900,-27.60%,$1694.16,WH,M0,,,BT2,BC0,EC0,,Y,59.00,61.90,34.00,41.80,Crystal  Cloud  Feather,N,2021-10-18,,Arrived,,,NO BGM
FZOZ5,229913,HK,G,round,0.50,H,VS1,VG,EX,VG,N,5.05-5.09x3.08,GIA,2404509439,3800,-36.50%,$1206.50,WH,M0,,,BT0,BC0,EC0,,Y,64.00,60.80,31.50,41.60,Cloud,N,2021-10-19,,Arrived,,,NO BGM  no black
EZOZ5,229912,HK,G,round,0.50,G,VS2,GD,EX,GD,N,5.17-5.23x3.04,GIA,6401452258,3800,-48.60%,$976.60,WH,M0,,,BT1,BC0,EC0,,Y,58.00,58.40,30.00,40.40,Feather  Crystal  Cavity,N,2021-10-18,,Arrived,,,NO BGM
DZOZ5,229911,HK,G,round,0.50,E,VS2,VG,EX,VG,N,4.97-5.03x3.17,GIA,5221089002,4000,-41.50%,$1170.00,WH,M0,,,BT0,BC0,EC0,,Y,59.00,63.50,35.00,41.40,Cloud  Crystal  Feather  Indented Natural,N,2021-10-20,,Arrived,,,NO BGM  no black
CZOZ5,229910,HK,G,round,0.50,G,VS2,VG,EX,VG,N,4.88-4.97x3.19,GIA,6401568110,3800,-39.90%,$1141.90,WH,M0,,,BT1,BC1,EC0,,Y,56.00,64.80,38.50,40.00,Indented Natural  Crystal  Needle,N,2021-10-19,,Arrived,,,NO BGM
BZOZ5,229909,HK,G,round,0.50,D,VS1,EX,EX,EX,N,5.04-5.07x3.17,GIA,2225080793,4600,-30.60%,$1596.20,WH,M0,,,BT0,BC1,EC0,,Y,57.00,62.60,36.50,40.80,Crystal  Feather  Pinpoint  Indented Natural,N,2021-10-14,,Arrived,,,NO BGM  table no black
AZOZ5,229908,HK,G,round,0.50,D,VS1,EX,EX,EX,N,5.11-5.14x3.10,GIA,2225068155,4600,-30.40%,$1600.80,WH,M0,,,BT0,BC0,EC0,,Y,60.00,60.40,35.50,40.60,Crystal  Indented Natural  Feather  Pinpoint,N,2021-10-11,,Arrived,,,NO BGM  no black
9ZOZ5,229907,HK,G,round,0.50,D,VS1,VG,EX,VG,N,4.92-4.98x3.16,GIA,2404357508,4600,-45.20%,$1260.40,WH,M0,,,BT0,BC0,EC0,,Y,58.00,63.80,38.50,40.00,Cavity  Pinpoint,N,2021-09-13,,Arrived,,,NO BGM  no black
8ZOZ5,229906,HK,G,round,0.50,E,VS2,EX,EX,EX,N,5.10-5.13x3.15,GIA,6224072966,4000,-30.10%,$1398.00,WH,M0,,,BT1,BC0,EC0,,Y,60.00,61.60,33.00,41.80,Crystal  Feather,N,2021-10-13,,Arrived,,,NO BGM
7ZOZ5,229905,HK,G,round,0.50,E,VS1,VG,EX,VG,N,4.96-5.02x3.19,GIA,5222074864,4400,-45.00%,$1210.00,WH,M0,,,BT1,BC0,EC0,,Y,56.00,63.90,37.50,40.60,Crystal  Cloud,N,2021-10-13,,Arrived,,,NO BGM
6ZOZ5,229904,HK,G,round,0.50,D,VS1,EX,EX,EX,N,5.08-5.11x3.16,GIA,2225074625,4600,-29.70%,$1616.90,WH,M0,,,BT0,BC0,EC0,,Y,59.00,62.00,36.00,41.20,Crystal  Pinpoint,N,2021-10-11,,Arrived,,,NO BGM  no black
