stock_no,item_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
WNNZ5,227940,HK,G,round,0.40,G,VS2,EX,EX,EX,N,4.66-4.70x2.95,GIA,6392474892,2500,-28.20%,$718.00,WH,M0,,,BT1,BC0,EC0,EX,Y,56.00,63.10,36.00,40.80,Crystal,N,2021-07-15,,Arrived,,,NO BGM
TNNZ5,227937,HK,G,round,0.40,D,VS2,EX,EX,EX,N,4.72-4.74x2.92,GIA,5393658913,2800,-31.90%,$762.72,WH,M0,,,BT1,BC1,EC0,EX,Y,58.00,61.80,36.00,40.80,Crystal  Knot  Feather,N,2021-09-14,,Arrived,,,NO BGM
SNNZ5,227936,HK,G,round,0.40,D,VS2,EX,EX,EX,N,4.69-4.70x2.93,GIA,5393847347,2800,-32.20%,$759.36,WH,M0,,,BT1,BC0,EC0,EX,Y,56.00,62.40,35.50,40.60,Crystal,N,2021-08-12,,Arrived,,,NO BGM
RNNZ5,227935,HK,G,round,0.40,D,VS2,EX,EX,EX,N,4.67-4.70x2.95,GIA,2397507891,2800,-31.10%,$771.68,WH,M0,,,BT0,BC0,EC0,EX,Y,55.00,63.00,35.00,40.80,Crystal  Cloud,N,2021-07-17,,Arrived,,,NO BGM  no black
QNNZ5,227934,HK,G,round,0.40,D,VS2,EX,EX,EX,N,4.72-4.75x2.88,GIA,6395507872,2800,-31.90%,$762.72,WH,M0,,,BT1,BC1,EC0,,Y,61.00,60.80,35.00,41.00,Feather  Crystal,N,2021-07-17,,Arrived,,,NO BGM
PNNZ5,227933,HK,G,round,0.40,F,VS1,EX,EX,EX,N,4.75-4.77x2.88,GIA,7391854078,2800,-30.40%,$779.52,WH,M0,,,BT0,BC0,EC0,,Y,61.00,60.50,33.50,41.20,Feather  Pinpoint  Cloud,N,2021-08-11,,Arrived,,,NO BGM  no black
ONNZ5,227932,HK,G,round,0.40,D,VS1,EX,EX,EX,N,4.71-4.73x2.90,GIA,2407034810,3000,-31.10%,$826.80,WH,M0,,,BT1,BC0,EC0,,Y,58.00,61.40,35.00,40.60,Crystal  Pinpoint,N,2021-08-27,,Arrived,,,NO BGM
NNNZ5,227931,HK,G,round,0.40,G,VS2,EX,EX,EX,N,4.69-4.72x2.92,GIA,2397815778,2500,-27.10%,$729.00,WH,M0,,,BT0,BC0,EC0,,Y,60.00,62.10,35.00,41.40,Cloud  Crystal  Feather,N,2021-09-08,,Arrived,,,NO BGM  no black
LNNZ5,227929,HK,G,round,0.40,G,VS2,EX,EX,EX,N,4.68-4.71x2.94,GIA,1409409893,2500,-27.60%,$724.00,WH,M0,,,BT0,BC1,EC0,EX,Y,55.00,62.50,36.50,40.60,Crystal,N,2021-09-15,,Arrived,,,NO BGM  table no black
JNNZ5,227927,HK,G,round,0.40,F,VS1,EX,EX,EX,N,4.68-4.70x2.94,GIA,2406511246,2800,-30.40%,$779.52,WH,M0,,,BT0,BC0,EC0,,Y,57.00,62.80,36.50,40.80,Indented Natural  Pinpoint,N,2021-09-22,,Arrived,,,NO BGM  no black
