field_stock_refno,field_stock_location,field_stock_certno,field_stock_diamond_image,field_stock_videopath,field_stock_shape,field_stock_carat,field_stock_color,field_stock_clarity,field_stock_cut,field_stock_polish,field_stock_symmetry,field_stock_fluorescence,field_stock_diameter,field_stock_table,field_stock_depth,field_stock_certificate,field_stock_rap,field_stock_discount,field_stock_pr_pc,price__number,field_stock_bgm,field_stock_tabinc,field_stock_blackinc,field_stock_eyeclean,field_stock_parishicomments,field_stock_hacode,field_stock_weight,field_stock_girdle,field_stock_girdlecondition,field_stock_ca,field_stock_ch,field_stock_pa,field_stock_ph,field_stock_culet,field_stock_keytosymbols,field_stock_comments,field_stock_status1
25530,HK,1369845381,https:\/\/videop.co.in\/imaged\/HK-4364\/HK-4364.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-4364\u0026zoomslide=1\u0026id=25530,RD,0.42,F,I2,GD,GD,GD,FNT,4.6-4.64*3.05,56.00,66.10,GIA,1000,-57.50,425,178.500000,null,null,null,null,null,null,0.42,STK-VTK,Faceted,35.00,15.50,41.80,44.00,N,Feather  Twinning Wisp,null,S
25539,HK,6362845258,https:\/\/videop.co.in\/imaged\/HK-4373\/HK-4373.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-4373\u0026zoomslide=1\u0026id=25539,RD,0.42,H,I2,GD,VG,GD,MED,4.6-4.65*3.09,56.00,66.80,GIA,900,-57.50,382,160.650000,null,null,null,null,null,null,0.42,THK-VTK,Faceted,38.00,17.50,41.40,43.50,N,Twinning Wisp  Feather,null,S
26274,HK,1375274123,https:\/\/videop.co.in\/imaged\/HK-5034\/HK-5034.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-5034\u0026zoomslide=1\u0026id=26274,RD,0.40,D,SI2,EX,EX,EX,FNT,4.67-4.71*2.94,57.00,62.70,GIA,2200,-35.50,1419,567.600000,null,null,null,null,null,null,0.40,MED-STK,Faceted,35.50,15.50,40.80,43.00,N,Crystal  Feather  Cavity,null,S
220223,HK,2376800434,https:\/\/videop.co.in\/imaged\/S-74L-30900\/S-74L-30900.jpg,https:\/\/videop.co.in\/vision360.html?d=S-74L-30900\u0026zoomslide=1\u0026id=220223,RD,0.58,D,VVS1,EX,EX,EX,NONE,5.41-5.45*3.3,57.00,60.80,GIA,5600,-17.50,4620,2679.600000,null,-,-,0,null,NO,0.58,THN-MED,null,31.50,13.00,41.80,44.50,N,Pinpoint  Feather,null,S
221617,HK,5383066499,https:\/\/videop.co.in\/imaged\/S-112F-1900\/S-112F-1900.jpg,https:\/\/videop.co.in\/vision360.html?d=S-112F-1900\u0026zoomslide=1\u0026id=221617,RD,1.00,G,VS2,VG,VG,GD,NONE,6.14-6.22*4.03,56.00,65.30,GIA,9000,-55.50,4005,4005.000000,null,-,-,0,null,NO,1.00,STK-THK,null,38.50,18.00,40.20,42.00,N,Crystal  Cloud  Needle  Natural,null,S
222502,HK,1388285159,https:\/\/videop.co.in\/imaged\/S-114E-4001\/S-114E-4001.jpg,https:\/\/videop.co.in\/vision360.html?d=S-114E-4001\u0026zoomslide=1\u0026id=222502,RD,0.35,F,IF,EX,EX,EX,NONE,4.51-4.53*2.79,60.00,61.70,GIA,2900,-23.50,2218,776.480000,null,-,-,0,null,NO,0.35,MED-STK,null,32.00,13.00,41.80,44.50,N,Minor Details of Polish,null,S
222517,HK,7382286840,https:\/\/videop.co.in\/imaged\/S-96C-303\/S-96C-303.jpg,https:\/\/videop.co.in\/vision360.html?d=S-96C-303\u0026zoomslide=1\u0026id=222517,RD,0.30,D,SI1,EX,EX,EX,NONE,4.27-4.3*2.64,61.00,61.60,GIA,2200,-32.50,1485,445.500000,null,-,-,0,null,NO,0.30,STK-,null,32.50,12.50,41.80,44.50,N,Cloud  Feather,null,S
26897,HK,5211612851,https:\/\/videop.co.in\/imaged\/HK-5579\/HK-5579.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-5579\u0026zoomslide=1\u0026id=26897,RD,1.01,J,SI1,EX,EX,EX,NONE,6.38-6.42*3.99,56.00,62.40,GIA,4900,-33.50,3258,3291.090000,null,null,null,null,null,null,1.01,THN-STK,Faceted,36.50,16.00,40.60,42.50,VSM,Crystal  Feather  Cavity  Needle,Clouds are not shown. Pinpoints are not shown.,S
26996,HK,6375133015,https:\/\/videop.co.in\/imaged\/HK-5675\/HK-5675.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-5675\u0026zoomslide=1\u0026id=26996,RD,0.50,H,VS2,VG,EX,GD,NONE,5.02-5.07*0,56.00,62.50,GIA,3700,-40.50,2201,1100.750000,null,null,null,null,null,null,0.50,-,null,35.00,0.16,40.60,0.43,NON,Feather,null,S
27007,HK,6385518201,https:\/\/videop.co.in\/imaged\/HK-5696\/HK-5696.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-5696\u0026zoomslide=1\u0026id=27007,RD,1.01,D,VS1,EX,EX,EX,NONE,6.54-6.57*3.88,60.00,59.20,GIA,12000,-34.50,7860,7938.600000,null,null,null,null,null,null,1.01,MED-STK,Faceted,31.50,12.50,41.00,43.50,N,Crystal  Cloud  Needle,Pinpoints are not shown. Internal graining is not shown.,L
