REPORT_NO,STAGE,LOCATION,PACKET_NO,SHAPE,CTS,COLOR,PURITY,CUT,POLISH,SYMM,FLS,LAB,LENGTH_1,WIDTH,DEPTH,DEPTH_PER,TABLE_PER,DISC_PER,RATE,VALUE,NET_RATE,NET_VALUE,CROWN_ANGLE,CROWN_HEIGHT,PAV_ANGLE,PAV_HEIGHT,LWD,SHADE,PROPORTION,CULET,GIRDLE,CENTER_BLACK,SIDE_BLACK,CENTER_WHITE,SIDE_WHITE,MILKY,COMMENT_1,COMMENT_2,LASER_INSCRIPTION,ROUGH_MINE,BRILLIANCY,COP,POP,EYE_CLEAN,GIRDLE_PER,GRAINING,HA,LUSTER,NATURAL,RATIO,REPORT_COMMENT,KEY_TO_SYMBOLS,REPORT_DATE,STAR,DNA_LINK,VIDEO_JSON,VIDEO_MP4,CERTI_PDF,CERTI_JPG,REAL_IMAGE,ASST_SCOPE_IMAGE,HEART_IMAGE,DIAGRAM_IMAGE,ARROW_IMAGE
7232314427,M,INDIA,DB-282,ROUND,0.530,E,VVS2,EX,EX,EX,NON,GIA,5.19,5.15,3.24,62.60,57.00,7.140,4600.00,2438.00,4928.44,2612.07,36.00,15.50,41.20,43.50,5.19-5.15*3.24,NONE,3EX,NON,MED,,,,,ML-0,,,,,,,,,3.50,,GD,,,,,,28-07-2016,,null,null,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/DB-282/7232314427.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/DB-282/7232314427.jpg,null,null,null,null,null
7388080150,A,INDIA,91912,ROUND,1.000,E,IF,EX,EX,EX,NON,GIA,6.39,6.35,3.98,62.50,59.00,-29.000,14800.00,14800.00,10508.00,10508.00,34.50,14.00,41.60,44.50,6.39-6.35*3.98,NONE,3EX,NON,STK,0,0,0,0,ML-0,,,GIA 7388080150,,,,,YES,4.00,N,GD,,N,,Minor details of polish are not shown.,,16-04-2021,50.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=91912,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91912/91912.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91912/7388080150.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91912/7388080150.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91912/91912_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91912/91912_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91912/91912_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91912/91912_AR.jpg
5376726463,A,INDIA,90710,ROUND,1.000,J,VS2,EX,EX,EX,MED,GIA,6.43,6.40,3.94,61.30,61.00,-32.000,5300.00,5300.00,3604.00,3604.00,32.50,12.50,41.60,44.50,6.43-6.40*3.94,NONE,3EX,NON,STK,0,0,1,1,ML-0,,,GIA 5376726463,,,,,YES,4.50,,GD,,N,,Additional clouds are not shown. Pinpoints are not shown.,Crystal  Cloud,14-07-2021,55.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=90710,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/90710/90710.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/90710/5376726463.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/90710/5376726463.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/90710/90710_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/90710/90710_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/90710/90710_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/90710/90710_AR.jpg
5396496658,A,INDIA,95174,ROUND,1.000,I,VS1,EX,EX,EX,MED,GIA,6.34,6.29,4.01,63.60,58.00,-36.000,6800.00,6800.00,4352.00,4352.00,35.00,15.00,41.60,44.50,6.34-6.29*4.01,LIGHT BROWN,3EX,NON,THN to STK,0,0,1,0,ML-0,,,GIA 5396496658,,,,,YES,4.00,,GD,,Y,,Additional pinpoints  clouds and surface graining are not shown.,Crystal  Feather  Pinpoint  Natural,15-07-2021,55.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=95174,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95174/95174.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95174/5396496658.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95174/5396496658.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95174/95174_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95174/95174_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95174/95174_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95174/95174_AR.jpg
7356423997,A,INDIA,82097,ROUND,0.970,E,VVS1,EX,EX,EX,VST,GIA,6.38,6.33,3.88,61.10,59.00,-29.000,10100.00,9797.00,7171.00,6955.87,32.00,13.00,41.40,44.00,6.38-6.33*3.88,NONE,3EX,NON,MED TO STK,0,0,0,0,ML-0,,,GIA 7356423997,,,,,YES,4.50,,GD,,N,,,FEATHER,22-06-2020,50.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=82097,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82097/82097.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82097/7356423997.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82097/7356423997.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82097/82097_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82097/82097_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82097/82097_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82097/82097_AR.jpg
5212298084,A,INDIA,86644,ROUND,0.810,D,VVS1,EX,EX,EX,NON,GIA,6.06,6.04,3.66,60.40,57.00,5.000,6900.00,5589.00,7245.00,5868.45,34.00,14.50,40.60,43.00,6.06-6.04*3.66,NONE,3EX,NON,THN TO MED,0,0,0,0,ML-0,,,GIA 5212298084,,,,,YES,3.00,N,GD,,N,,,PINPOINT,23-11-2020,55.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=86644,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86644/86644.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86644/5212298084.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86644/5212298084.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86644/86644_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86644/86644_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86644/86644_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86644/86644_AR.jpg
5211298073,A,INDIA,86992,ROUND,0.810,D,VVS1,EX,EX,EX,NON,GIA,6.06,6.02,3.70,61.20,58.00,4.000,6900.00,5589.00,7176.00,5812.56,32.50,13.50,41.60,44.00,6.06-6.02*3.70,NONE,3EX,NON,MED TO STK,0,0,0,0,ML-0,,,GIA 5211298073,,,,,YES,3.50,N,GD,,N,,,NEEDLE,23-11-2020,50.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=86992,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86992/86992.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86992/5211298073.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86992/5211298073.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86992/86992_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86992/86992_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86992/86992_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/86992/86992_AR.jpg
7386563178,A,INDIA,KS20-17,ROUND,0.830,D,VVS1,EX,EX,EX,FNT,GIA,6.05,6.00,3.77,62.50,56.00,-8.000,6900.00,5727.00,6348.00,5268.84,35.50,15.50,41.20,44.00,6.05-6.00*3.77,NONE,3EX,NON,THN to MED,,,,,ML-0,,,GIA 7386563178,,,,,,3.00,,GD,,,,,Feather,07-05-2021,55.00,null,null,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KS20-17/7386563178.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KS20-17/7386563178.jpg,null,null,null,null,null
2377456381,A,INDIA,89380,ROUND,0.830,D,VVS1,EX,EX,EX,FNT,GIA,6.06,6.02,3.74,61.80,58.00,-2.000,6900.00,5727.00,6762.00,5612.46,34.50,14.50,41.20,43.50,6.06-6.02*3.74,NONE,3EX,NON,MED to STK,0,0,0,0,ML-0,,,GIA 2377456381,,,,,YES,3.50,N,GD,,N,,,Pinpoint  Feather,04-02-2021,50.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=89380,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89380/89380.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89380/2377456381.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89380/2377456381.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89380/89380_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89380/89380_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89380/89380_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/89380/89380_AR.jpg
2377112150,A,INDIA,PB20-392,ROUND,0.940,D,VVS1,EX,EX,EX,FNT,GIA,6.35,6.33,3.81,60.10,60.00,-12.000,11000.00,10340.00,9680.00,9099.20,32.00,12.50,41.20,43.50,6.35-6.33*3.81,NONE,3EX,NON,MED TO SL THK,,,,,ML-0,,,,,,,,,4.00,,GD,,,,,,29-12-2020,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=PB20-392,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/PB20-392/PB20-392.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/PB20-392/2377112150.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/PB20-392/2377112150.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/PB20-392/PB20-392_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/PB20-392/PB20-392_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/PB20-392/PB20-392_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/PB20-392/PB20-392_AR.jpg
