stock_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
10250671,INDIA,G,round,0.81,H,VS1,EX,EX,EX,N,5.9x5.92x3.74,GIA,6341502655,4700,-22.94%,$2933.67,WH,M0,,,,,EC0,,Y,57.00,63.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250670,INDIA,G,round,0.81,F,VS1,EX,EX,EX,N,5.9x5.93x3.72,GIA,6411570981,5300,-18.20%,$3511.67,WH,M0,,,,,EC0,,Y,55.00,62.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250669,INDIA,G,round,0.80,F,VS2,EX,EX,EX,N,5.86x5.89x3.71,GIA,1405880575,5000,-21.10%,$3156.00,WH,M0,,,,,EC0,,Y,58.00,63.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250668,INDIA,G,round,0.80,E,VS1,EX,EX,EX,N,5.85x5.89x3.69,GIA,1405933964,5600,-20.50%,$3561.60,WH,M0,,,,,EC0,,Y,57.00,62.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250667,INDIA,G,round,0.80,E,VS1,EX,EX,EX,N,5.87x5.89x3.68,GIA,1407770513,5600,-20.50%,$3561.60,WH,M0,,,,,EC0,,Y,58.00,62.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250666,INDIA,G,round,0.80,F,VVS2,EX,EX,EX,N,5.88x5.92x3.66,GIA,5403681329,5600,-15.10%,$3803.52,WH,M0,,,,,EC0,,Y,61.00,62.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250665,INDIA,G,round,0.80,G,VS2,EX,EX,EX,N,5.9x5.94x3.7,GIA,5403612779,4800,-21.40%,$3018.24,WH,M0,,,,,EC0,,Y,57.00,62.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250664,INDIA,G,round,0.70,D,SI1,EX,VG,EX,N,5.68x5.71x3.48,GIA,5376447240,4600,-42.20%,$1861.16,WH,M0,,,,,EC0,,Y,57.00,61.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250663,INDIA,G,round,0.61,G,VS2,EX,EX,EX,N,5.41x5.44x3.38,GIA,7413498338,3800,-28.96%,$1646.71,WH,M0,,,,,EC0,,Y,55.00,62.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250662,INDIA,G,round,0.60,J,SI1,EX,EX,EX,N,5.35x5.38x3.37,GIA,6415549281,2200,-26.20%,$974.16,WH,M0,,,,,EC0,,Y,56.00,62.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250661,INDIA,G,round,0.60,F,VVS1,EX,EX,EX,N,5.43x5.45x3.37,GIA,7413600764,4600,-25.50%,$2056.20,WH,M0,,,,,EC0,,Y,56.00,62.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250660,INDIA,G,round,0.60,D,VVS1,EX,EX,EX,N,5.32x5.36x3.39,GIA,6372693391,5600,-30.00%,$2352.00,WH,M0,,,,,EC0,,Y,55.00,63.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250659,INDIA,G,round,0.55,F,SI2,VG,VG,VG,N,5.18x5.23x3.21,GIA,1408585018,2700,-44.00%,$831.60,WH,M0,,,,,EC0,,Y,63.00,61.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250658,INDIA,G,round,0.51,H,SI1,EX,EX,EX,N,5.09x5.12x3.15,GIA,7406387659,3100,-27.80%,$1141.48,WH,M0,,,,,EC0,,Y,58.00,61.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250657,INDIA,G,round,0.51,E,VS2,EX,EX,EX,N,5.11x5.12x3.15,GIA,6412114106,4000,-31.44%,$1398.62,WH,M0,,,,,EC0,,Y,60.00,61.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250656,INDIA,G,round,0.51,E,VS2,EX,EX,EX,N,5.08x5.1x3.17,GIA,6405783892,4000,-31.44%,$1398.62,WH,M0,,,,,EC0,,Y,59.00,62.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250655,INDIA,G,round,0.51,D,VS2,EX,EX,EX,N,5.06x5.09x3.21,GIA,6392106065,4200,-31.34%,$1470.70,WH,M0,,,,,EC0,,Y,55.00,63.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250654,INDIA,G,round,0.51,G,VS1,EX,EX,EX,N,5.15x5.18x3.09,GIA,1408973784,4000,-29.77%,$1432.69,WH,M0,,,,,EC0,,Y,62.00,59.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250653,INDIA,G,round,0.51,G,VS1,EX,EX,EX,N,5.13x5.17x3.1,GIA,1405784052,4000,-29.77%,$1432.69,WH,M0,,,,,EC0,,Y,61.00,60.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250652,INDIA,G,round,0.51,F,VS1,EX,EX,EX,N,5.16x5.18x3.12,GIA,1385941012,4200,-31.25%,$1472.63,WH,M0,,,,,EC0,,Y,61.00,60.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250651,INDIA,G,round,0.51,F,VS1,EX,EX,EX,N,5.1x5.13x3.16,GIA,6405810606,4200,-31.25%,$1472.63,WH,M0,,,,,EC0,,Y,59.00,61.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250650,INDIA,G,round,0.51,D,VS1,VG,VG,EX,N,4.98x5.01x3.19,GIA,1395804730,4600,-47.03%,$1242.68,WH,M0,,,,,EC0,,Y,56.00,63.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250649,INDIA,G,round,0.51,D,VS1,VG,EX,VG,N,4.97x5x3.2,GIA,6402885229,4600,-47.03%,$1242.68,WH,M0,,,,,EC0,,Y,57.00,64.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250648,INDIA,G,round,0.51,D,VS1,VG,EX,EX,N,4.98x5.01x3.22,GIA,6392423797,4600,-47.03%,$1242.68,WH,M0,,,,,EC0,,Y,56.00,64.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250647,INDIA,G,round,0.51,G,VVS2,EX,EX,EX,N,5.17x5.2x3.1,GIA,1413557622,4100,-29.68%,$1470.39,WH,M0,,,,,EC0,,Y,62.00,59.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250646,INDIA,G,round,0.51,E,VVS2,EX,EX,EX,N,5.24x5.26x3.06,GIA,5416557494,4600,-33.70%,$1555.40,WH,M0,,,,,EC0,,Y,61.00,58.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250645,INDIA,G,round,0.51,G,VVS1,VG,EX,EX,N,4.96x5.01x3.21,GIA,2406692207,4200,-43.21%,$1216.44,WH,M0,,,,,EC0,,Y,57.00,64.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250644,INDIA,G,round,0.51,F,VVS1,VG,EX,VG,N,4.96x5.01x3.21,GIA,1405945570,4600,-44.97%,$1291.00,WH,M0,,,,,EC0,,Y,57.00,64.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250643,INDIA,G,round,0.51,E,VS2,EX,EX,EX,N,5.09x5.12x3.15,GIA,6401811119,4000,-31.44%,$1398.62,WH,M0,,,,,EC0,,Y,61.00,61.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250642,INDIA,G,round,0.51,D,VVS2,EX,EX,EX,N,5.11x5.13x3.17,GIA,3395998592,5000,-34.48%,$1670.76,WH,M0,,,,,EC0,,Y,56.00,61.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250641,INDIA,G,round,0.50,H,SI2,EX,EX,EX,N,5.07x5.11x3.14,GIA,7402415364,2500,-31.70%,$853.75,WH,M0,,,,,EC0,,Y,59.00,61.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250640,INDIA,G,round,0.50,H,SI1,EX,EX,EX,N,5.03x5.06x3.14,GIA,6412102605,3100,-26.40%,$1140.80,WH,M0,,,,,EC0,,Y,57.00,62.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250639,INDIA,G,round,0.50,H,SI1,EX,EX,EX,N,5.02x5.06x3.15,GIA,2406632514,3100,-26.40%,$1140.80,WH,M0,,,,,EC0,,Y,56.00,62.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250638,INDIA,G,round,0.50,H,VS2,VG,EX,VG,N,4.88x4.94x3.19,GIA,6412046917,3700,-37.30%,$1159.95,WH,M0,,,,,EC0,,Y,56.00,65.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250637,INDIA,G,round,0.50,H,VS2,EX,EX,VG,N,4.98x5.05x3.19,GIA,6402292246,3700,-37.30%,$1159.95,WH,M0,,,,,EC0,,Y,56.00,63.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250636,INDIA,G,round,0.50,G,VS2,EX,EX,EX,N,5.05x5.08x3.2,GIA,6402668622,3800,-27.60%,$1375.60,WH,M0,,,,,EC0,,Y,56.00,63.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250635,INDIA,G,round,0.50,G,VS2,EX,EX,EX,N,5.02x5.06x3.14,GIA,1407568470,3800,-27.60%,$1375.60,WH,M0,,,,,EC0,,Y,59.00,62.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250634,INDIA,G,round,0.50,E,VS2,EX,EX,EX,N,5.21x5.25x3.04,GIA,2416576050,4000,-30.10%,$1398.00,WH,M0,,,,,EC0,,Y,60.00,58.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250633,INDIA,G,round,0.50,D,VS2,EX,EX,EX,F,5.02x5.05x3.19,GIA,1407674159,4200,-39.60%,$1268.40,WH,M0,,,,,EC0,,Y,57.00,63.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250632,INDIA,G,round,0.50,D,VS2,GD,VG,VG,N,4.81x4.85x3.23,GIA,1408784120,4200,-52.50%,$997.50,WH,M0,,,,,EC0,,Y,56.00,66.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250631,INDIA,G,round,0.50,D,VS2,EX,EX,EX,N,5.01x5.05x3.19,GIA,5403220944,4200,-30.00%,$1470.00,WH,M0,,,,,EC0,,Y,56.00,63.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250630,INDIA,G,round,0.50,D,VS2,EX,EX,EX,N,5.08x5.11x3.1,GIA,7411576369,4200,-30.00%,$1470.00,WH,M0,,,,,EC0,,Y,60.00,60.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250629,INDIA,G,round,0.50,D,VS2,EX,EX,EX,N,5.18x5.2x3.1,GIA,7406095062,4200,-30.00%,$1470.00,WH,M0,,,,,EC0,,Y,61.00,59.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250628,INDIA,G,round,0.50,G,VS1,EX,EX,EX,N,5.07x5.12x3.08,GIA,2408785832,4000,-28.40%,$1432.00,WH,M0,,,,,EC0,,Y,61.00,60.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250627,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.15x5.18x3.04,GIA,7401532600,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,61.00,58.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250626,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.2x5.23x3.05,GIA,6415044872,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,60.00,58.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250625,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.19x5.21x3.06,GIA,2407882104,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,61.00,58.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250624,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.13x5.16x3.09,GIA,6402783140,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,61.00,60.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250623,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.07x5.11x3.17,GIA,6402120800,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,54.00,62.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250622,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.09x5.11x3.09,GIA,1403595927,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,61.00,60.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250621,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.09x5.12x3.11,GIA,5396893507,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,61.00,60.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250620,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.16x5.19x3.07,GIA,6402466465,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,61.00,59.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250619,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.01x5.04x3.17,GIA,5403400445,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,55.00,63.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250618,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.18x5.21x3.04,GIA,7398944027,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,61.00,58.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250617,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.12x5.14x3.07,GIA,6395912207,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,61.00,59.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250616,INDIA,G,round,0.50,F,VS1,EX,EX,EX,N,5.17x5.22x3.08,GIA,2397575526,4200,-29.90%,$1472.10,WH,M0,,,,,EC0,,Y,61.00,59.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250615,INDIA,G,round,0.50,D,VS1,VG,EX,VG,F,5.01x5.08x3.12,GIA,1413048636,4600,-49.90%,$1152.30,WH,M0,,,,,EC0,,Y,56.00,61.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250614,INDIA,G,round,0.50,D,VS1,VG,EX,VG,F,5x5.05x3.21,GIA,2406179700,4600,-49.90%,$1152.30,WH,M0,,,,,EC0,,Y,55.00,63.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250613,INDIA,G,round,0.50,D,VS1,VG,EX,VG,F,4.93x4.97x3.18,GIA,5396580033,4600,-49.90%,$1152.30,WH,M0,,,,,EC0,,Y,58.00,64.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250612,INDIA,G,round,0.50,D,VS1,VG,EX,VG,F,4.91x4.94x3.17,GIA,7398366348,4600,-49.90%,$1152.30,WH,M0,,,,,EC0,,Y,58.00,64.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250611,INDIA,G,round,0.50,D,VS1,VG,EX,EX,F,4.94x4.97x3.19,GIA,2408014044,4600,-49.90%,$1152.30,WH,M0,,,,,EC0,,Y,56.00,64.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250610,INDIA,G,round,0.50,D,VS1,VG,EX,EX,F,4.96x4.98x3.19,GIA,6395954401,4600,-49.90%,$1152.30,WH,M0,,,,,EC0,,Y,58.00,64.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250609,INDIA,G,round,0.50,D,VS1,VG,VG,VG,N,5.01x5.04x3.16,GIA,5413257273,4600,-46.00%,$1242.00,WH,M0,,,,,EC0,,Y,62.00,62.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250608,INDIA,G,round,0.50,D,VS1,VG,VG,VG,N,5.03x5.04x3.13,GIA,7396737088,4600,-46.00%,$1242.00,WH,M0,,,,,EC0,,Y,57.00,62.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250607,INDIA,G,round,0.50,D,VS1,VG,VG,EX,N,4.92x4.95x3.2,GIA,2387803025,4600,-46.00%,$1242.00,WH,M0,,,,,EC0,,Y,57.00,64.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250606,INDIA,G,round,0.50,D,VS1,VG,EX,VG,N,4.9x4.97x3.16,GIA,7406182589,4600,-46.00%,$1242.00,WH,M0,,,,,EC0,,Y,57.00,64.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250605,INDIA,G,round,0.50,D,VS1,VG,EX,VG,N,4.97x4.99x3.17,GIA,1405052225,4600,-46.00%,$1242.00,WH,M0,,,,,EC0,,Y,55.00,63.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250604,INDIA,G,round,0.50,D,VS1,VG,EX,VG,N,4.93x4.98x3.18,GIA,6401049213,4600,-46.00%,$1242.00,WH,M0,,,,,EC0,,Y,57.00,64.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250603,INDIA,G,round,0.50,D,VS1,VG,EX,VG,N,4.91x4.95x3.18,GIA,6405009376,4600,-46.00%,$1242.00,WH,M0,,,,,EC0,,Y,57.00,64.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250602,INDIA,G,round,0.50,D,VS1,VG,EX,VG,N,4.89x4.96x3.18,GIA,7398953412,4600,-46.00%,$1242.00,WH,M0,,,,,EC0,,Y,56.00,64.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250601,INDIA,G,round,0.50,D,VS1,VG,EX,VG,N,4.89x4.95x3.16,GIA,2397870224,4600,-46.00%,$1242.00,WH,M0,,,,,EC0,,Y,57.00,64.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250600,INDIA,G,round,0.50,D,VS1,VG,EX,VG,N,4.88x4.95x3.2,GIA,7396690372,4600,-46.00%,$1242.00,WH,M0,,,,,EC0,,Y,56.00,65.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250599,INDIA,G,round,0.50,D,VS1,VG,EX,VG,N,4.94x5x3.2,GIA,1397690106,4600,-46.00%,$1242.00,WH,M0,,,,,EC0,,Y,60.00,64.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
