stock_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
10250707,INDIA,G,round,5.02,F,VS2,EX,EX,EX,N,10.78x10.86x6.79,GIA,6224132400,47500,-27.30%,$173353.15,WH,M0,,,,,EC0,,Y,57.00,62.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250706,INDIA,G,round,5.01,H,VVS2,EX,EX,EX,N,11.16x11.09x6.69,GIA,7376545058,41000,-26.70%,$150565.53,WH,M0,,,,,EC0,,Y,56.00,60.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250705,INDIA,G,round,2.00,E,SI1,EX,EX,EX,N,7.93x8x5.05,GIA,7376963075,15500,-24.70%,$23343.00,WH,M0,,,,,EC0,,Y,56.00,63.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250704,INDIA,G,round,1.51,E,SI1,EX,EX,EX,N,7.48x7.52x4.41,GIA,6412040082,11300,-26.48%,$12544.72,WH,M0,,,,,EC0,,Y,61.00,58.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250703,INDIA,G,round,1.50,H,VS1,EX,EX,EX,N,7.39x7.43x4.42,GIA,6411597106,11200,-24.80%,$12633.60,WH,M0,,,,,EC0,,Y,61.00,59.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250702,INDIA,G,round,1.50,H,VS1,EX,EX,EX,N,7.46x7.5x4.38,GIA,5403972511,11200,-24.80%,$12633.60,WH,M0,,,,,EC0,,Y,61.00,58.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250701,INDIA,G,round,1.50,G,VS1,EX,EX,EX,N,7.24x7.29x4.56,GIA,1409567342,13000,-26.20%,$14391.00,WH,M0,,,,,EC0,,Y,57.00,62.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250700,INDIA,G,round,1.50,D,VVS2,EX,EX,EX,N,7.24x7.29x4.48,GIA,6405395814,18900,-29.00%,$20128.50,WH,M0,,,,,EC0,,Y,61.00,61.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250699,INDIA,G,round,1.50,F,VVS1,EX,EX,EX,N,7.22x7.27x4.53,GIA,6405557538,18100,-23.80%,$20688.30,WH,M0,,,,,EC0,,Y,57.00,62.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250698,INDIA,G,round,1.02,H,VVS1,EX,EX,EX,N,6.5x6.54x3.88,GIA,6412344646,9600,-28.90%,$6962.11,WH,M0,,,,,EC0,,Y,62.00,59.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250696,INDIA,G,round,1.01,G,VS1,EX,EX,EX,N,6.55x6.59x3.89,GIA,6415145477,10100,-28.50%,$7293.72,WH,M0,,,,,EC0,,Y,62.00,59.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250695,INDIA,G,round,1.00,G,VS2,EX,EX,EX,N,6.3x6.34x3.99,GIA,1408470325,9300,-27.10%,$6779.70,WH,M0,,,,,EC0,,Y,58.00,63.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250694,INDIA,G,round,1.00,F,VS2,EX,EX,EX,N,6.43x6.47x3.89,GIA,7412598559,9800,-28.10%,$7046.20,WH,M0,,,,,EC0,,Y,61.00,60.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250693,INDIA,G,round,1.00,J,VS1,EX,EX,EX,N,6.43x6.47x3.89,GIA,5383552865,5700,-24.50%,$4303.50,WH,M0,,,,,EC0,,Y,59.00,60.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250692,INDIA,G,round,1.00,F,VS1,EX,EX,EX,N,6.3x6.35x4.01,GIA,2406469640,11000,-29.20%,$7788.00,WH,M0,,,,,EC0,,Y,58.00,63.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250691,INDIA,G,round,1.00,D,VS1,EX,EX,EX,N,6.32x6.36x4.01,GIA,5403470645,12400,-30.80%,$8580.80,WH,M0,,,,,EC0,,Y,55.00,63.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250690,INDIA,G,round,1.00,G,VVS2,EX,EX,EX,N,6.31x6.36x3.98,GIA,6401684620,10600,-27.00%,$7738.00,WH,M0,,,,,EC0,,Y,57.00,62.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250689,INDIA,G,round,1.00,F,VVS2,EX,EX,EX,N,6.35x6.39x3.99,GIA,5403678305,11800,-27.70%,$8531.40,WH,M0,,,,,EC0,,Y,57.00,62.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250688,INDIA,G,round,1.00,F,VVS2,EX,EX,EX,N,6.37x6.42x3.96,GIA,1413495525,11800,-27.70%,$8531.40,WH,M0,,,,,EC0,,Y,60.00,62.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250687,INDIA,G,round,1.00,F,VVS2,EX,EX,EX,N,6.3x6.34x4.02,GIA,6402790737,11800,-27.70%,$8531.40,WH,M0,,,,,EC0,,Y,56.00,63.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250686,INDIA,G,round,1.00,F,VVS2,EX,EX,EX,N,6.51x6.54x3.87,GIA,6391994087,11800,-27.70%,$8531.40,WH,M0,,,,,EC0,,Y,59.00,59.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250685,INDIA,G,round,1.00,G,VVS1,EX,EX,EX,N,6.3x6.34x3.97,GIA,1403472092,11100,-27.90%,$8003.10,WH,M0,,,,,EC0,,Y,57.00,62.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250684,INDIA,G,round,1.00,D,VVS1,EX,EX,EX,N,6.37x6.42x4.01,GIA,6392789934,16000,-26.70%,$11728.00,WH,M0,,,,,EC0,,Y,58.00,62.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250683,INDIA,G,round,1.00,F,VS2,EX,EX,EX,N,6.37x6.42x3.97,GIA,2416027990,9800,-28.10%,$7046.20,WH,M0,,,,,EC0,,Y,60.00,62.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250682,INDIA,G,round,1.00,H,VS1,EX,EX,EX,N,6.32x6.36x3.96,GIA,2406405643,8800,-24.50%,$6644.00,WH,M0,,,,,EC0,,Y,59.00,62.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250681,INDIA,G,round,1.00,G,VS1,VG,EX,VG,N,6.28x6.34x4.05,GIA,7413040127,10100,-43.30%,$5726.70,WH,M0,,,,,EC0,,Y,55.00,64.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250680,INDIA,G,round,1.00,G,VS1,VG,EX,EX,N,6.19x6.22x4,GIA,6411040142,10100,-43.30%,$5726.70,WH,M0,,,,,EC0,,Y,58.00,64.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250679,INDIA,G,round,1.00,G,VS1,VG,EX,VG,N,6.12x6.2x4.04,GIA,6402183055,10100,-43.30%,$5726.70,WH,M0,,,,,EC0,,Y,56.00,65.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250678,INDIA,G,round,1.00,G,VS1,VG,EX,VG,N,6.17x6.23x4.03,GIA,1408473667,10100,-43.30%,$5726.70,WH,M0,,,,,EC0,,Y,55.00,65.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250677,INDIA,G,round,1.00,G,VS1,VG,EX,VG,N,6.12x6.2x4.02,GIA,1385175761,10100,-43.30%,$5726.70,WH,M0,,,,,EC0,,Y,56.00,65.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250676,INDIA,G,round,1.00,G,VVS2,EX,EX,EX,N,6.32x6.36x3.97,GIA,2394990658,10600,-27.00%,$7738.00,WH,M0,,,,,EC0,,Y,59.00,62.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250675,INDIA,G,round,1.00,G,VVS2,EX,EX,EX,N,6.36x6.4x3.92,GIA,1409544058,10600,-27.00%,$7738.00,WH,M0,,,,,EC0,,Y,60.00,61.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250674,INDIA,G,round,1.00,G,VVS1,VG,EX,VG,N,6.13x6.22x3.98,GIA,2406066990,11100,-45.80%,$6016.20,WH,M0,,,,,EC0,,Y,59.00,64.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250673,INDIA,G,round,1.00,G,VVS1,VG,EX,VG,N,6.18x6.24x3.98,GIA,2404356412,11100,-45.80%,$6016.20,WH,M0,,,,,EC0,,Y,57.00,64.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10250672,INDIA,G,round,0.83,F,VS1,EX,EX,EX,N,5.98x6.01x3.76,GIA,3375550641,5300,-20.14%,$3513.04,WH,M0,,,,,EC0,,Y,58.00,62.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
