Stock_No,Shape,Weight,Color,Clarity,Cut_Grade,Polish,Symmetry,Fluorescence_Intensity,Fluorescence_Color,Measurements,Lab,Certificate,Treatment,Rapa_Rate,Rate,Discount_x0025_,Amount,Fancy_Color,Fancy_Color_Intensity,Fancy_Color_Overtone,Depth_x0025_,Table_x0025_,Girdle_Thin,Girdle_Thick,Girdle_x0025_,Girdle_Condition,Culet_Size,Culet_Condition,Crown_Height,Crown_Angle,Pavilion_Depth,Pavilion_Angle,Laser_Inscription,Key_To_Symbol,Milky,Tinge,EyeClean,Comment,ImageLink,VideoLink,CertifateLink
K26187,RBC,0.31,G,IF,EX,EX,EX,FNT,,4.34 - 4.36 * 2.69,Gia,2347854753,,2700.00,1431.00,-47.00,443.61,,,,61.80,60.00,MED to STK,MED to STK,4.00,F,,NON,13.50,34.00,44.50,41.80,GIA 2347854753,Minor Details of Polish,N ,N ,YES,,,,
K26783,RBC,0.30,G,IF,EX,EX,EX,FNT,,4.24 - 4.28 * 2.69,Gia,2354499925,,2700.00,1458.00,-46.00,437.40,,,,63.20,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,34.50,44.50,41.60,GIA 2354499925,Minor Details of Polish,N,N ,YES,,,,
K27426,RBC,0.35,F,VVS1,EX,EX,EX,STG,,4.47 - 4.50 * 2.78,Gia,2357819953,,2700.00,1566.00,-42.00,548.10,,,,62.00,59.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.50,43.50,41.00,GIA 2357819953,Pinpoint,N,N ,YES,,,,
K27998,RBC,0.30,L,VVS1,EX,EX,EX,STG,,4.26 - 4.28 * 2.67,Gia,1369382479,,1500.00,840.00,-44.00,252.00,,,,62.60,57.00,THN to STK,THN to STK,4.00,F,,NON,15.00,35.00,43.50,41.20,GIA 1369382479,Pinpoint  Indented Natural  Feather  Manufacturing Remnant,NO,N ,YES,,,,
K28047,RBC,0.31,I,VVS1,EX,EX,EX,VST,,4.30 - 4.32 * 2.68,Gia,6365088745,,2200.00,924.00,-58.00,286.44,,,,62.10,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.00,40.80,GIA 6365088745,Pinpoint  Feather  Manufacturing Remnant,N ,,YES,,,,
K28418,RBC,0.32,K,IF,VG,EX,EX,No,,4.36 - 4.38 * 2.75,Gia,6365383935,,1800.00,990.00,-45.00,316.80,,,,62.80,55.00,VTN to STK,VTN to STK,3.50,F,,NON,16.00,35.50,43.00,40.80,GIA 6365383935,Minor Details of Polish,NO,N ,YES,,,,
K28592,RBC,0.30,J,IF,EX,EX,VG,No,,4.28 - 4.30 * 2.68,Gia,6365698700,,2000.00,1160.00,-42.00,348.00,,,,62.40,55.00,STK,STK,0.04,F,,NON,0.15,33.50,0.44,41.00,GIA 6365698700,Surface Graining  Minor Details of Polish,NO,,YES,,,,
K28609,RBC,0.30,F,IF,EX,EX,EX,MED,,4.36 - 4.38 * 2.60,Gia,6362698935,,2900.00,1508.00,-48.00,452.40,,,,59.50,61.00,MED to STK,MED to STK,0.04,F,,NON,0.13,33.00,0.44,41.00,GIA 6362698935,Minor Details of Polish,NO,N ,YES,,,,
K28633,RBC,0.30,G,IF,EX,EX,EX,FNT,,4.24 - 4.27 * 2.68,Gia,2368698866,,2700.00,1458.00,-46.00,437.40,,,,63.10,57.00,MED to STK,MED to STK,0.04,F,,NON,0.15,35.00,0.44,41.40,GIA 2368698866,Natural  Minor Details of Polish,NO,N ,YES,,,,
K28676,RBC,0.30,J,I1,EX,EX,EX,FNT,,4.29 - 4.31 * 2.66,Gia,2364707444,,800.00,552.00,-31.00,165.60,,,,61.90,59.00,THN to STK,THN to STK,0.04,F,,NON,0.14,35.00,0.44,41.20,GIA 2364707444,Feather,N ,N ,YES,,,,
K28698,RBC,0.31,,IF,,EX,EX,No,,4.39 - 4.42 * 2.65,Gia,5212305741,,3800.00,3800.00,0.00,1178.00,P,F,,60.00,61.00,MED to STK,MED to STK,,F,,NON,,,,,GIA 5212305741,,N ,N,YES,Minor details of polish are not shown.,,,
K28711,RBC,0.31,J,SI2,EX,EX,EX,MED,,4.33 - 4.34 * 2.71,Gia,3365707493,,1300.00,806.00,-38.00,249.86,,,,62.50,58.00,MED to STK,MED to STK,0.04,F,,NON,0.15,35.00,0.44,41.40,GIA 3365707493,Crystal  Feather,N ,,YES,,,,
K28944,RBC,0.37,D,IF,EX,EX,EX,STG,,4.61 - 4.63 * 2.84,Gia,1369984145,,3800.00,1862.00,-51.00,688.94,,,,61.40,60.00,MED to STK,MED to STK,4.00,F,,NON,14.00,35.00,43.50,41.00,GIA 1369984145,Minor Details of Polish,N,N,YES,,,,
K28971,RBC,0.30,I,VS2,EX,EX,EX,MED,,4.30 - 4.32 * 2.65,Gia,6361974891,,1900.00,1159.00,-39.00,347.70,,,,61.50,61.00,MED to STK,MED to STK,4.00,F,,NON,13.50,34.00,44.00,41.60,GIA 6361974891,Feather,N,,YES,,,,
K28999,RBC,0.35,D,IF,EX,EX,EX,FNT,,4.48 - 4.51 * 2.77,Gia,1363974853,,3800.00,2318.00,-39.00,811.30,,,,61.60,60.00,STK,STK,4.00,F,,NON,14.00,35.00,43.50,41.00,GIA 1363974853,Surface Graining  Minor Details of Polish,N,N,YES,,,,
K29038,RBC,0.37,F,VS2,EX,EX,EX,No,,4.61 - 4.63 * 2.80,Gia,6214409101,,2200.00,1364.00,-38.00,504.68,,,,60.70,61.00,MED to STK,MED to STK,4.00,F,,NON,14.00,35.00,43.00,40.80,GIA 6214409101,Cloud  Crystal  Feather,MILKEY1,N ,YES,,,,
K29196,RBC,0.30,G,IF,EX,EX,EX,FNT,,4.27 - 4.29 * 2.67,Gia,5212409208,,2700.00,1458.00,-46.00,437.40,,,,62.40,59.00,MED to STK,MED to STK,4.00,F,,NON,14.00,34.50,44.50,41.60,GIA 5212409208,Minor Details of Polish,N ,N ,YES,,,,
K29451,RBC,0.33,H,VS1,EX,VG,EX,FNT,,4.45 - 4.47 * 2.70,Gia,1379391148,,2100.00,1302.00,-38.00,429.66,,,,60.50,59.00,STK,STK,4.00,F,,NON,13.50,33.00,43.00,41.00,GIA 1379391148,Crystal  Cloud,NO,,YES,,,,
K29555,RBC,0.31,G,IF,EX,EX,EX,No,,4.32 - 4.34 * 2.69,Gia,1375529872,,2700.00,1728.00,-36.00,535.68,,,,62.20,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.00,41.00,GIA 1375529872,,NO,N,YES,,,,
K29558,RBC,0.30,G,IF,EX,EX,EX,FNT,,4.26 - 4.28 * 2.68,Gia,5376529676,,2700.00,1458.00,-46.00,437.40,,,,62.70,57.00,STK,STK,4.00,F,,NON,15.00,34.50,43.50,41.20,GIA 5376529676,Minor Details of Polish,NO,N,YES,,,,
K29656,RBC,0.34,F,VS2,EX,EX,EX,MED,,4.46 - 4.48 * 2.75,Gia,1375823301,,2200.00,1276.00,-42.00,433.84,,,,61.50,57.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.50,42.50,40.60,GIA 1375823301,Feather  Crystal,N,N ,YES,,,,
K29718,RBC,0.30,I,IF,EX,EX,EX,STG,,4.30 - 4.33 * 2.64,Gia,6371824114,,2300.00,1288.00,-44.00,386.40,,,,61.10,61.00,STK,STK,4.00,F,,NON,13.00,33.00,44.00,41.60,GIA 6371824114,Minor Details of Polish,N,N ,YES,,,,
K29731,RBC,0.31,F,IF,EX,EX,EX,FNT,,4.31 - 4.33 * 2.70,Gia,2377824101,,2900.00,1682.00,-42.00,521.42,,,,62.40,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 2377824101,Minor Details of Polish,N,,YES,,,,
K29762,RBC,0.32,H,IF,EX,EX,EX,No,,4.42 - 4.44 * 2.66,Gia,1377825400,,2500.00,1550.00,-38.00,496.00,,,,60.00,61.00,MED,MED,3.50,F,,NON,13.50,34.50,43.00,40.80,GIA 1377825400,Minor Details of Polish,N,N ,YES,,,,
K29775,RBC,0.30,I,VS2,EX,EX,EX,No,,4.27 - 4.29 * 2.66,Gia,7378823114,,1900.00,1387.00,-27.00,416.10,,,,62.20,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.50,41.00,GIA 7378823114,Feather,N,,YES,,,,
K29786,RBC,0.33,I,VS2,EX,EX,EX,MED,,4.41 - 4.43 * 2.76,Gia,6371824004,,1900.00,1197.00,-37.00,395.01,,,,62.40,55.00,MED to STK,MED to STK,3.50,F,,NON,16.00,35.00,43.00,40.80,GIA 6371824004,Crystal  Cloud  Feather,N,,YES,,,,
K29823,RBC,0.31,K,VS2,EX,EX,EX,FNT,,4.32 - 4.33 * 2.64,Gia,7381168552,,1400.00,672.00,-52.00,208.32,,,,61.10,59.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.00,42.50,40.60,GIA 7381168552,Crystal  Cloud,N ,FB,YES,,,,
K29850,RBC,0.32,F,VVS2,EX,EX,EX,STG,,4.35 - 4.38 * 2.74,Gia,5376824391,,2500.00,1350.00,-46.00,432.00,,,,62.90,58.00,STK,STK,4.00,F,,NON,14.50,34.50,44.00,41.60,GIA 5376824391,Pinpoint  Internal Graining  Indented Natural  Surface Graining,N,N ,YES,,,,
K29865,RBC,0.36,J,SI2,EX,EX,EX,MED,,4.57 - 4.58 * 2.86,Gia,2376823444,,1300.00,845.00,-35.00,304.20,,,,62.50,57.00,MED to STK,MED to STK,3.50,F,,NON,14.50,34.50,44.00,41.60,GIA 2376823444,Crystal,N,,YES,,,,
K29920,RBC,0.31,I,VVS2,EX,EX,EX,STG,,4.29 - 4.32 * 2.69,Gia,2378824464,,2100.00,1176.00,-44.00,364.56,,,,62.50,56.00,STK,STK,4.00,F,,NON,15.50,35.50,43.00,40.60,GIA 2378824464,Feather  Pinpoint,N,,YES,,,,
K29961,RBC,0.36,H,IF,EX,EX,EX,FNT,,4.56 - 4.59 * 2.80,Gia,2376823148,,2500.00,1625.00,-35.00,585.00,,,,61.10,61.00,MED to STK,MED to STK,4.00,F,,NON,13.00,33.50,44.00,41.60,GIA 2376823148,Minor Details of Polish,N,,YES,,,,
K29979,RBC,0.35,D,VVS1,EX,EX,EX,No,,4.50 - 4.52 * 2.82,Gia,6375822889,,3000.00,2340.00,-22.00,819.00,,,,62.60,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 6375822889,Feather  Surface Graining,N,N ,YES,,,,
K30004,RBC,0.31,D,VS1,EX,VG,EX,MED,,4.30 - 4.33 * 2.71,Gia,6371887211,,2600.00,1326.00,-49.00,411.06,,,,63.00,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 6371887211,Cloud  Crystal  Pinpoint,N ,N ,YES,,,,
K30034,RBC,0.30,I,VS2,VG,EX,EX,FNT,,4.17 - 4.19 * 2.69,Gia,2376886809,,1900.00,1216.00,-36.00,364.80,,,,64.30,58.00,STK to THK,STK to THK,5.00,F,,NON,16.50,38.00,42.50,40.60,GIA 2376886809,Crystal  Cloud  Feather,N ,,YES,,,,
K30073,RBC,0.33,I,VS1,EX,VG,EX,FNT,,4.40 - 4.43 * 2.78,Gia,5383265732,,2000.00,1340.00,-33.00,442.20,,,,63.00,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 5383265732,Crystal  Pinpoint  Needle  Cloud,N ,,YES,,,,
K30120,RBC,0.31,J,IF,EX,EX,EX,FNT,,4.34 - 4.36 * 2.71,Gia,6381265926,,2000.00,1240.00,-38.00,384.40,,,,62.30,57.00,MED to STK,MED to STK,3.50,F,,NON,15.50,35.50,43.50,41.00,GIA 6381265926,Minor Details of Polish,N ,N ,YES,,,,
K30135,RBC,0.37,D,VS1,EX,EX,EX,STG,,4.63 - 4.66 * 2.82,Gia,6381178171,,2600.00,1508.00,-42.00,557.96,,,,60.60,57.00,MED to STK,MED to STK,3.50,F,,NON,14.00,33.50,43.00,40.80,GIA 6381178171,Crystal  Cloud  Needle  Pinpoint,N ,N ,YES,,,,
K30141,RBC,0.33,I,VS2,EX,EX,EX,STG,,4.41 - 4.44 * 2.78,Gia,7381178160,,1900.00,1159.00,-39.00,382.47,,,,62.80,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,43.50,41.40,GIA 7381178160,Crystal,N ,,YES,,,,
K30151,RBC,0.32,E,IF,EX,EX,EX,FNT,,4.38 - 4.40 * 2.71,Gia,6385168737,,3000.00,1650.00,-45.00,528.00,,,,61.70,59.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.50,43.00,40.80,GIA 6385168737,Minor Details of Polish,N ,N ,YES,,,,
K30154,RBC,0.30,K,IF,EX,EX,EX,No,,4.27 - 4.29 * 2.68,Gia,7388265797,,1800.00,954.00,-47.00,286.20,,,,62.60,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,43.50,41.20,GIA 7388265797,Minor Details of Polish,N ,FB,YES,,,,
K30179,RBC,0.34,J,IF,EX,EX,EX,No,,4.48 - 4.51 * 2.77,Gia,6381178211,,2000.00,1300.00,-35.00,442.00,,,,61.60,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.00,40.80,GIA 6381178211,Minor Details of Polish,N ,,YES,,,,
K30193,RBC,0.34,I,VS2,EX,EX,EX,STG,,4.44 - 4.46 * 2.77,Gia,7381169140,,1900.00,1159.00,-39.00,394.06,,,,62.10,59.00,MED to STK,MED to STK,4.00,F,,NON,14.00,35.00,44.00,41.40,GIA 7381169140,Feather,N ,,YES,,,,
K30220,RBC,0.30,,VVS2,,VG,EX,No,,4.26 - 4.29 * 2.66,Gia,1389169046,,2100.00,2100.00,0.00,630.00,P,F,,62.30,59.00,MED to STK,MED to STK,,F,,NON,,,,,GIA 1389169046,,N ,N,YES,Clarity grade is based on internal graining that is not shown. Surface graining is not shown.,,,
K30316,RBC,0.30,F,SI1,EX,EX,EX,MED,,4.26 - 4.28 * 2.69,Gia,1388937842,,2000.00,1320.00,-34.00,396.00,,,,62.90,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 1388937842,Crystal  Cloud,N ,N ,YES,,,,
K30371,RBC,0.30,L,VS1,EX,EX,EX,FNT,,4.28 - 4.30 * 2.63,Gia,1389736212,,1300.00,689.00,-47.00,206.70,,,,61.30,59.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.50,42.50,40.60,GIA 1389736212,Crystal,N,FB,YES,,,,
K30398,RBC,0.30,F,VS1,EX,VG,EX,MED,,4.26 - 4.29 * 2.67,Gia,6382744993,,2300.00,1403.00,-39.00,420.90,,,,62.50,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.50,41.00,GIA 6382744993,Crystal  Pinpoint,N,N,YES,,,,
K30415,RBC,0.33,E,SI2,EX,EX,EX,MED,,4.45 - 4.47 * 2.67,Gia,6382736413,,1800.00,1134.00,-37.00,374.22,,,,59.90,61.00,MED to STK,MED to STK,4.00,F,,NON,13.00,33.50,43.00,40.80,GIA 6382736413,Cloud  Crystal  Knot,N,N,YES,,,,
K30426,RBC,0.33,E,SI1,EX,EX,EX,STG,,4.40 - 4.43 * 2.77,Gia,2387503168,,2100.00,1281.00,-39.00,422.73,,,,62.70,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,34.50,44.00,41.60,GIA 2387503168,Cloud  Crystal,NO,N,YES,,,,
K30436,RBC,0.31,F,VVS1,EX,EX,EX,FNT,,4.35 - 4.37 * 2.66,Gia,3385503053,,2700.00,1674.00,-38.00,518.94,,,,61.10,61.00,MED to STK,MED to STK,4.00,F,,NON,14.00,35.00,43.00,41.00,GIA 3385503053,Pinpoint,NO,N,YES,,,,
K30437,RBC,0.30,I,VS2,EX,EX,EX,No,,4.30 - 4.31 * 2.67,Gia,2386744885,,1900.00,1387.00,-27.00,416.10,,,,62.10,56.00,MED to STK,MED to STK,3.50,F,,NON,14.50,34.00,43.50,41.20,GIA 2386744885,Feather  Crystal  Cloud,N,,YES,,,,
K30448,RBC,0.30,H,VS2,EX,EX,VG,MED,,4.23 - 4.29 * 2.69,Gia,3385744920,,2000.00,1320.00,-34.00,396.00,,,,63.10,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,34.50,44.00,41.60,GIA 3385744920,Crystal  Feather  Cloud,N,,YES,,,,
K30470,RBC,0.31,G,VVS1,EX,EX,EX,MED,,4.32 - 4.34 * 2.70,Gia,6381504482,,2500.00,1450.00,-42.00,449.50,,,,62.40,56.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.60,GIA 6381504482,Pinpoint,NO,N,YES,,,,
K30475,RBC,0.30,I,VVS1,VG,EX,EX,FNT,,4.18 - 4.20 * 2.71,Gia,5386937795,,2200.00,1452.00,-34.00,435.60,,,,64.70,58.00,THK,THK,5.00,F,,NON,15.50,36.50,44.00,41.20,GIA 5386937795,Manufacturing Remnant  Feather,N ,,YES,,,,
K30478,RBC,0.30,E,SI2,EX,VG,VG,No,,4.25 - 4.28 * 2.66,Gia,6381937720,,1800.00,1206.00,-33.00,361.80,,,,62.40,55.00,MED to STK,MED to STK,4.00,F,,NON,16.00,35.50,42.50,40.60,GIA 6381937720,Twinning Wisp  Feather,N ,N ,YES,,,,
K30481,RBC,0.30,K,VS2,EX,EX,EX,STG,,4.27 - 4.29 * 2.70,Gia,2387736396,,1400.00,924.00,-34.00,277.20,,,,63.00,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 2387736396,Crystal  Feather,N,N,YES,,,,
K30541,RBC,0.30,J,VVS2,EX,VG,VG,FNT,,4.27 - 4.29 * 2.67,Gia,6381939783,,1800.00,1170.00,-35.00,351.00,,,,62.30,58.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.50,44.00,41.40,GIA 6381939783,Cloud  Indented Natural  Pinpoint  Surface Graining,N ,,YES,,,,
K30579,RBC,0.33,E,VS1,EX,EX,EX,MED,,4.41 - 4.43 * 2.74,Gia,1385736132,,2400.00,1344.00,-44.00,443.52,,,,62.10,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.00,40.80,GIA 1385736132,Crystal  Pinpoint,N,N,YES,,,,
K30587,RBC,0.32,J,IF,EX,EX,EX,No,,4.37 - 4.40 * 2.71,Gia,1389938567,,2000.00,1300.00,-35.00,416.00,,,,61.80,58.00,MED to STK,MED to STK,3.50,F,,NON,15.00,35.50,43.00,41.00,GIA 1389938567,Minor Details of Polish,N ,N ,YES,,,,
K30589,RBC,0.30,L,SI1,EX,EX,EX,FNT,,4.28 - 4.30 * 2.67,Gia,6382938466,,1100.00,583.00,-47.00,174.90,,,,62.20,57.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.50,43.50,41.40,GIA 6382938466,Crystal,N ,FB,YES,,,,
K30600,RBC,0.31,F,IF,EX,EX,EX,FNT,,4.33 - 4.35 * 2.68,Gia,2386745172,,2900.00,1740.00,-40.00,539.40,,,,61.60,58.00,STK,STK,4.00,F,,NON,15.00,35.50,42.50,40.60,GIA 2386745172,Minor Details of Polish,N,N,YES,,,,
K30602,RBC,0.30,H,IF,EX,EX,EX,FNT,,4.27 - 4.29 * 2.68,Gia,6382736381,,2500.00,1525.00,-39.00,457.50,,,,62.50,57.00,MED to STK,MED to STK,4.00,F,,,15.50,35.50,43.00,40.80,GIA 6382736381,Minor Details of Polish,N,N,YES,,,,
K30605,RBC,0.32,D,IF,EX,EX,EX,No,,4.38 - 4.40 * 2.74,Gia,1389736324,,3800.00,2356.00,-38.00,753.92,,,,62.30,58.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.50,44.00,41.40,GIA 1389736324,Minor Details of Polish,N,N,YES,,,,
K30613,RBC,0.38,E,IF,EX,EX,EX,No,,4.60 - 4.62 * 2.89,Gia,1385745168,,3000.00,2070.00,-31.00,786.60,,,,62.60,56.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.60,GIA 1385745168,Surface Graining  Minor Details of Polish,N,N,YES,,,,
K30619,RBC,0.30,E,VVS2,VG,EX,EX,No,,4.21 - 4.22 * 2.66,Gia,7386939024,,2600.00,1560.00,-40.00,468.00,,,,63.10,58.00,STK to THK,STK to THK,5.00,F,,NON,15.50,36.50,42.50,40.40,GIA 7386939024,Needle  Pinpoint  Cloud,N ,N ,YES,,,,
K30622,RBC,0.30,J,SI1,VG,EX,VG,No,,4.18 - 4.20 * 2.67,Gia,6385939186,,1500.00,1050.00,-30.00,315.00,,,,63.80,57.00,STK to THK,STK to THK,5.50,F,,NON,16.50,37.50,42.00,40.20,GIA 6385939186,Crystal  Cloud  Feather,N ,,YES,,,,
K30633,RBC,0.30,G,VVS2,VG,EX,VG,No,,4.21 - 4.23 * 2.67,Gia,2386938359,,2300.00,1449.00,-37.00,434.70,,,,63.20,59.00,STK to THK,STK to THK,5.00,F,,NON,15.00,36.00,43.50,41.00,GIA 2386938359,Pinpoint  Indented Natural,N ,,YES,,,,
K30643,RBC,0.30,E,SI1,EX,EX,EX,MED,,4.26 - 4.28 * 2.67,Gia,1387938263,,2100.00,1344.00,-36.00,403.20,,,,62.50,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.50,41.00,GIA 1387938263,Crystal  Cloud,N ,N ,YES,,,,
K30649,RBC,0.35,F,IF,EX,EX,EX,No,,4.49 - 4.52 * 2.83,Gia,5383736583,,2900.00,2088.00,-28.00,730.80,,,,62.70,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.50,41.00,GIA 5383736583,Minor Details of Polish,N,N,YES,,,,
K30662,RBC,0.38,F,IF,EX,EX,EX,No,,4.63 - 4.67 * 2.85,Gia,1385938695,,2900.00,2088.00,-28.00,793.44,,,,61.30,57.00,STK,STK,4.00,F,,NON,14.50,34.50,42.50,40.60,GIA 1385938695,Minor Details of Polish,N ,N ,YES,,,,
K30664,RBC,0.30,G,IF,EX,EX,EX,No,,4.28 - 4.30 * 2.67,Gia,6381938661,,2700.00,1701.00,-37.00,510.30,,,,62.30,58.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.50,44.00,41.60,GIA 6381938661,Minor Details of Polish,N ,N ,YES,,,,
K30665,RBC,0.35,E,VVS1,EX,EX,EX,No,,4.50 - 4.53 * 2.82,Gia,1389938801,,2800.00,2324.00,-17.00,813.40,,,,62.40,56.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 1389938801,Pinpoint,N ,N ,YES,,,,
K30666,RBC,0.30,G,VVS2,EX,EX,EX,MED,,4.31 - 4.33 * 2.64,Gia,7388938790,,2300.00,1380.00,-40.00,414.00,,,,61.00,60.00,MED to STK,MED to STK,4.00,F,,NON,13.00,33.50,44.00,41.40,GIA 7388938790,Pinpoint,N ,N ,YES,,,,
K30676,RBC,0.35,E,IF,EX,EX,EX,No,,4.47 - 4.49 * 2.81,Gia,1389942663,,3000.00,2070.00,-31.00,724.50,,,,62.80,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.50,41.00,GIA 1389942663,Surface Graining  Minor Details of Polish,N ,N ,YES,,,,
K30677,RBC,0.30,E,VVS1,EX,EX,EX,MED,,4.31 - 4.32 * 2.63,Gia,1383942639,,2800.00,1484.00,-47.00,445.20,,,,61.00,60.00,MED to STK,MED to STK,4.00,F,,NON,13.00,33.00,44.00,41.60,GIA 1383942639,Pinpoint  Feather,N ,N ,YES,,,,
K30678,RBC,0.30,E,VVS1,EX,EX,EX,MED,,4.26 - 4.29 * 2.67,Gia,7388942624,,2800.00,1484.00,-47.00,445.20,,,,62.50,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,34.50,44.00,41.40,GIA 7388942624,Feather  Manufacturing Remnant,N ,N ,YES,,,,
K30680,RBC,0.34,J,IF,EX,EX,EX,No,,4.49 - 4.51 * 2.73,Gia,7386942024,,2000.00,1300.00,-35.00,442.00,,,,60.60,59.00,MED to STK,MED to STK,4.00,F,,NON,14.00,34.50,43.00,40.60,GIA 7386942024,Minor Details of Polish,N ,N ,YES,,,,
