Stock_No,Shape,Weight,Color,Clarity,Cut_Grade,Polish,Symmetry,Fluorescence_Intensity,Fluorescence_Color,Measurements,Lab,Certificate,Treatment,Rapa_Rate,Rate,Discount_x0025_,Amount,Fancy_Color,Fancy_Color_Intensity,Fancy_Color_Overtone,Depth_x0025_,Table_x0025_,Girdle_Thin,Girdle_Thick,Girdle_x0025_,Girdle_Condition,Culet_Size,Culet_Condition,Crown_Height,Crown_Angle,Pavilion_Depth,Pavilion_Angle,Laser_Inscription,Key_To_Symbol,Milky,Tinge,EyeClean,Comment,ImageLink,VideoLink,CertifateLink
K13419,RBC,0.32,I,IF,EX,EX,EX,STG,,4.34 - 4.36 * 2.72,Gia,2287740240,,2300.00,1242.00,-46.00,397.44,,,,62.50,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.50,41.20,GIA 2287740240,Minor Details of Polish,N,,YES,,,,
K17100,RBC,0.35,F,IF,EX,EX,EX,FNT,,4.47 - 4.50 * 2.83,Gia,1307498785,,2900.00,1827.00,-37.00,639.45,,,,63.00,58.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.50,44.50,41.60,GIA 1307498785,Minor Details of Polish,N,N,YES,,,,
K21043,RBC,0.30,E,IF,EX,EX,VG,No,,4.25 - 4.30 * 2.66,Gia,2326467451,,3000.00,1620.00,-46.00,486.00,,,,62.20,60.00,THN to STK,THN to STK,4.00,F,,NON,13.50,34.00,44.50,41.80,GIA 2326467451,Natural  Minor Details of Polish,N,N,YES,,,,
K21549,RBC,0.30,,SI1,,EX,EX,MED,,4.28 - 4.30 * 2.63,Gia,2328597189,,1300.00,1300.00,0.00,390.00,G,F,,61.40,61.00,MED to STK,MED to STK,,F,,NON,,,,,GIA 2328597189,Crystal  Feather,N,N,YES,,,,
K22490,RBC,0.32,F,IF,EX,EX,EX,STG,,4.39 - 4.40 * 2.71,Gia,6204321471,,2900.00,1392.00,-52.00,445.44,,,,61.70,59.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.50,43.00,40.80,GIA 6204321471,Minor Details of Polish,N,N,YES,,,,
K23183.,RBC,0.36,F,IF,EX,EX,EX,MED,,4.61 - 4.62 * 2.77,Gia,6335118093,,2900.00,1885.00,-35.00,678.60,,,,60.00,60.00,,,3.50,F,N,NON,13.00,33.00,43.50,41.00,GIA 6335118093,Minor Details of Polish,NO,N ,YES,,,,
K23926,RBC,0.30,D,IF,VG,EX,EX,FNT,,4.20 - 4.23 * 2.69,Gia,6331581678,,3800.00,2052.00,-46.00,615.60,,,,63.90,59.00,STK to THK,STK to THK,5.00,F,,NON,14.50,35.50,44.50,41.60,GIA 6331581678,Minor Details of Polish,N,N,YES,,,,
K24814,RBC,0.35,K,IF,EX,EX,EX,FNT,,4.49 - 4.52 * 2.83,Gia,6335984491,,1800.00,1008.00,-44.00,352.80,,,,62.70,56.00,MED to STK,MED to STK,4.00,F,,NON,16.00,35.50,43.00,40.80,GIA 6335984491,Minor Details of Polish,N,N,YES,,,,
K24919,RBC,0.33,K,IF,EX,EX,EX,STG,,4.47 - 4.49 * 2.73,Gia,6331984734,,1800.00,882.00,-51.00,291.06,,,,61.00,59.00,MED to STK,MED to STK,4.00,F,,NON,13.00,33.00,44.00,41.40,GIA 6331984734,Minor Details of Polish,N,,YES,,,,
K25363,RBC,0.34,G,IF,EX,EX,EX,MED,,4.44 - 4.47 * 2.79,Gia,6342161416,,2700.00,1377.00,-49.00,468.18,,,,62.50,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.50,41.00,GIA 6342161416,Minor Details of Polish,N,N,YES,,,,
