Stock No,Shape,Carat,Color,Clarity,Cut,Polish,Symm,Fluor,Cert,Cert No,Measurements,Rap,back,Amount,Depth,Table,Shade,Milky,Eye Clean,Black Tab,Black Crn,Location,Comments,Arrive,Img
DYJZ5,round,0.30,D,SI1,EX,EX,EX,N,GIA,7393144580,4.37-4.40x2.59,2200,-35.90%,$423.06,59.00%,59.00%,WH,M0,EC0,BT1,BC1,HK,NO  BGM,Arrived,7393144580
GXJZ5,round,1.50,H,VS2,VG,EX,VG,N,GIA,6395089365,7.05-7.13x4.56,10500,-32.90%,$10568.25,64.30%,58.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
AXJZ5,round,1.50,G,VS1,VG,EX,VG,N,GIA,2387883288,7.02-7.11x4.58,12700,-34.10%,$12553.95,64.80%,57.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
7XJZ5,round,1.00,G,VS2,VG,VG,VG,N,GIA,2211674072,6.13-6.20x3.98,9000,-43.90%,$5049.00,64.50%,57.00%,WH,M0,EC0,,,HK,NO  BGM,Arrived,
VWJZ5,round,1.00,D,SI2,VG,EX,VG,N,GIA,6382769460,6.28-6.38x3.98,6900,-39.40%,$4181.40,62.90%,58.00%,WH,M0,EC0,BT1,BC1,HK,NO  BGM,Arrived,6382769460
HWJZ5,round,1.00,L,VS1,GD,VG,GD,N,GIA,2397244506,6.02-6.11x4.02,4000,-44.00%,$2240.00,66.20%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,2397244506
ZUJZ5,round,0.70,I,VS1,EX,EX,EX,N,GIA,1216811644,5.67-5.70x3.55,3900,-28.40%,$1954.68,62.40%,57.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,1216811644
OUJZ5,round,0.70,I,VS1,EX,EX,EX,N,GIA,2211734932,5.68-5.72x3.48,3900,-28.60%,$1949.22,61.10%,56.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,2211734932
RTJZ5,round,0.50,G,SI2,EX,EX,EX,N,GIA,1395300491,5.07-5.09x3.19,2600,-31.20%,$894.40,62.70%,57.00%,WH,M0,EC0,BT1,BC1,HK,NO  BGM,Arrived,
VSJZ5,round,0.50,D,SI2,EX,EX,EX,N,GIA,2396230536,5.11-5.13x3.11,2900,-30.40%,$1009.20,60.70%,59.00%,WH,M0,EC0,BT1,BC0,HK,NO  BGM,Arrived,2396230536
JSJZ5,round,0.50,D,SI1,GD,EX,GD,N,GIA,2387868060,4.87-4.91x3.22,3600,-50.00%,$900.00,65.80%,55.00%,WH,M0,EC0,BT1,BC1,HK,NO  BGM,Arrived,2387868060
ARJZ5,round,0.50,D,SI2,VG,EX,VG,N,GIA,7388437230,4.92-4.99x3.16,2900,-38.90%,$885.95,63.80%,57.00%,WH,M0,EC0,BT1,BC0,HK,NO  BGM,Arrived,7388437230
HQJZ5,round,0.50,H,SI1,GD,EX,VG,N,GIA,2386553768,4.79-4.85x3.21,3100,-44.90%,$854.05,66.50%,57.00%,WH,M0,EC0,BT1,BC0,HK,NO  BGM,Arrived,2386553768
5OJZ5,round,0.50,G,VS2,VG,EX,VG,F,GIA,6381811073,4.99-5.06x3.19,3800,-44.20%,$1060.20,63.40%,57.00%,WH,M0,EC0,BT1,BC0,HK,NO  BGM,Arrived,
4NJZ5,round,0.61,F,IF,EX,EX,EX,N,GIA,2215732338,5.37-5.41x3.38,4800,-26.10%,$2163.79,62.70%,56.00%,WH,M0,EC0,BT0,BC0,HK,NO  BGM   no  black,Arrived,2215732338
