Stock No,Shape,Carat,Color,Clarity,Cut,Polish,Symm,Fluor,Cert,Cert No,Measurements,Rap,back,Amount,Depth,Table,Shade,Milky,Eye Clean,Black Tab,Black Crn,Location,Comments,Arrive,Img
DTOZ5,round,0.30,H,VVS2,EX,EX,EX,N,GIA,1403947735,4.26-4.29x2.65,2200,-32.30%,$446.82,62.00%,56.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
CTOZ5,round,0.30,H,VS2,EX,EX,EX,N,GIA,2404829128,4.27-4.30x2.67,2000,-26.80%,$439.20,62.40%,58.00%,WH,M0,EC0,,,INDIA,NO BGM,,
BTOZ5,round,0.30,H,VS2,EX,EX,EX,N,GIA,2407264366,4.33-4.35x2.66,2000,-26.80%,$439.20,61.20%,57.00%,WH,M0,EC0,,,INDIA,NO BGM,,
ATOZ5,round,0.30,H,VS2,EX,EX,EX,N,GIA,6405281195,4.26-4.28x2.67,2000,-27.30%,$436.20,62.50%,57.00%,WH,M0,EC0,,,INDIA,NO BGM,,
9TOZ5,round,0.30,H,VS1,VG,VG,VG,N,GIA,1419212709,4.19-4.24x2.69,2100,-35.00%,$409.50,63.80%,58.00%,WH,M0,EC0,,,INDIA,NO BGM,,
8TOZ5,round,0.30,H,VS1,VG,VG,VG,N,GIA,2418210277,4.25-4.29x2.58,2100,-35.40%,$406.98,60.30%,60.00%,WH,M0,EC0,,,INDIA,NO BGM,,
7TOZ5,round,0.30,H,VS1,VG,VG,VG,N,GIA,7416214701,4.16-4.20x2.68,2100,-35.40%,$406.98,64.10%,56.00%,WH,M0,EC0,,,INDIA,NO BGM,,
6TOZ5,round,0.30,H,VS1,VG,EX,EX,N,GIA,7401941381,4.17-4.20x2.68,2100,-35.80%,$404.46,64.10%,60.00%,WH,M0,EC0,,,INDIA,NO BGM,,
5TOZ5,round,0.30,H,VS1,EX,EX,EX,N,GIA,3415004041,4.28-4.31x2.66,2100,-27.60%,$456.12,62.00%,59.00%,WH,M0,EC0,,,INDIA,NO BGM,,
4TOZ5,round,0.30,H,VS1,EX,EX,EX,N,GIA,1405455917,4.26-4.28x2.67,2100,-28.00%,$453.60,62.40%,57.00%,WH,M0,EC0,,,INDIA,NO BGM,,
3TOZ5,round,0.30,H,VS1,EX,EX,EX,N,GIA,1405458642,4.25-4.29x2.65,2100,-28.40%,$451.08,62.10%,59.00%,WH,M0,EC0,,,INDIA,NO BGM,,
2TOZ5,round,0.30,G,VVS2,VG,VG,VG,N,GIA,1418032298,4.19-4.22x2.68,2300,-40.40%,$411.24,63.80%,60.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
1TOZ5,round,0.30,G,VVS2,EX,EX,EX,N,GIA,2407599443,4.28-4.30x2.63,2300,-32.60%,$465.06,61.40%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
0TOZ5,round,0.30,G,VVS1,VG,VG,VG,N,GIA,2406512210,4.31-4.35x2.60,2500,-43.60%,$423.00,60.00%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
ZSOZ5,round,0.30,G,VS1,VG,VG,VG,N,GIA,1417215350,4.17-4.19x2.68,2200,-37.30%,$413.82,64.10%,56.00%,WH,M0,EC0,,,INDIA,NO BGM,,
YSOZ5,round,0.30,G,VS1,VG,VG,VG,N,GIA,2417210207,4.16-4.20x2.65,2200,-36.90%,$416.46,63.20%,58.00%,WH,M0,EC0,,,INDIA,NO BGM,,
XSOZ5,round,0.30,G,VS1,VG,VG,EX,N,GIA,1419214424,4.20-4.23x2.67,2200,-36.90%,$416.46,63.30%,59.00%,WH,M0,EC0,,,INDIA,NO BGM,,
WSOZ5,round,0.30,G,VS1,EX,EX,EX,N,GIA,7411210454,4.30-4.33x2.65,2200,-29.20%,$467.28,61.40%,56.00%,WH,M0,EC0,,,INDIA,NO BGM,,
VSOZ5,round,0.30,G,VS1,EX,EX,EX,N,GIA,1403937646,4.29-4.32x2.66,2200,-28.80%,$469.92,61.80%,58.00%,WH,M0,EC0,,,INDIA,NO BGM,,
USOZ5,round,0.30,G,VS1,EX,EX,EX,N,GIA,1409829202,4.25-4.28x2.66,2200,-30.00%,$462.00,62.30%,56.00%,WH,M0,EC0,,,INDIA,NO BGM,,
TSOZ5,round,0.30,G,VS1,EX,EX,EX,N,GIA,2404700612,4.29-4.31x2.66,2200,-29.60%,$464.64,61.80%,59.00%,WH,M0,EC0,,,INDIA,NO BGM,,
SSOZ5,round,0.30,G,VS1,EX,EX,EX,N,GIA,6402470432,4.30-4.33x2.65,2200,-29.60%,$464.64,61.40%,59.00%,WH,M0,EC0,,,INDIA,NO BGM,,
RSOZ5,round,0.30,G,VS1,EX,EX,EX,N,GIA,3395189816,4.24-4.28x2.66,2200,-29.60%,$464.64,62.40%,57.00%,WH,M0,EC0,,,INDIA,NO BGM,,
QSOZ5,round,0.30,F,VVS2,VG,VG,VG,N,GIA,6411212458,4.16-4.21x2.69,2500,-44.60%,$415.50,64.30%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
PSOZ5,round,0.30,F,VVS2,VG,VG,VG,N,GIA,7418031651,4.18-4.23x2.69,2500,-44.60%,$415.50,64.00%,56.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
OSOZ5,round,0.30,F,VVS2,VG,VG,VG,N,GIA,2416031237,4.15-4.19x2.66,2500,-44.10%,$419.25,63.70%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
NSOZ5,round,0.30,F,VVS2,VG,VG,VG,N,GIA,1405822139,4.22-4.25x2.67,2500,-44.10%,$419.25,63.00%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
MSOZ5,round,0.30,F,VVS2,VG,VG,VG,N,GIA,1408702084,4.19-4.22x2.68,2500,-44.10%,$419.25,63.70%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
LSOZ5,round,0.30,F,VVS2,VG,EX,EX,N,GIA,2404693575,4.18-4.20x2.67,2500,-44.60%,$415.50,63.70%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
KSOZ5,round,0.30,F,VVS2,VG,VG,VG,N,GIA,2407609253,4.13-4.18x2.68,2500,-44.30%,$417.75,64.50%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
JSOZ5,round,0.30,F,VVS2,VG,VG,VG,N,GIA,1403515277,4.16-4.20x2.69,2500,-44.10%,$419.25,64.30%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
ISOZ5,round,0.30,F,VVS2,VG,VG,VG,N,GIA,1409274554,4.24-4.27x2.66,2500,-44.30%,$417.75,62.60%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
HSOZ5,round,0.30,F,VVS2,EX,EX,EX,N,GIA,3405822680,4.28-4.30x2.67,2500,-34.60%,$490.50,62.30%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
GSOZ5,round,0.30,F,VVS2,EX,EX,EX,N,GIA,7408804414,4.28-4.30x2.65,2500,-34.60%,$490.50,61.80%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
FSOZ5,round,0.30,F,VVS2,EX,EX,EX,N,GIA,6402828671,4.27-4.30x2.67,2500,-34.30%,$492.75,62.20%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
ESOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,7418193129,4.30-4.32x2.62,2700,-34.80%,$528.12,60.80%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
DSOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,2414212154,4.28-4.31x2.68,2700,-35.10%,$525.69,62.40%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
CSOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,1418220960,4.25-4.28x2.64,2700,-35.30%,$524.07,61.90%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
BSOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,2417221572,4.29-4.32x2.65,2700,-35.10%,$525.69,61.60%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
ASOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,1419221807,4.31-4.34x2.63,2700,-35.10%,$525.69,60.80%,60.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
9SOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,1413221637,4.31-4.34x2.64,2700,-35.10%,$525.69,61.00%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
8SOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,7403938191,4.26-4.28x2.66,2700,-35.10%,$525.69,62.40%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
7SOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,7401947848,4.28-4.31x2.67,2700,-34.80%,$528.12,62.10%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
6SOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,6402953010,4.31-4.33x2.61,2700,-35.10%,$525.69,60.30%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
5SOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,2407937830,4.25-4.28x2.66,2700,-35.30%,$524.07,62.30%,56.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
4SOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,5403945707,4.32-4.33x2.64,2700,-34.80%,$528.12,61.00%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
3SOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,6415030227,4.29-4.31x2.69,2700,-35.10%,$525.69,62.50%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
2SOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,2417036977,4.29-4.31x2.66,2700,-35.10%,$525.69,61.90%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
1SOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,3405940862,4.25-4.28x2.66,2700,-35.10%,$525.69,62.30%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
0SOZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,2418033532,4.31-4.34x2.64,2700,-35.10%,$525.69,61.00%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
ZROZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,1403829991,4.31-4.34x2.63,2700,-35.30%,$524.07,60.70%,60.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
YROZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,2407803876,4.29-4.31x2.64,2700,-35.10%,$525.69,61.30%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
XROZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,1407805337,4.29-4.32x2.67,2700,-35.30%,$524.07,61.90%,56.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
WROZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,2407804474,4.27-4.30x2.68,2700,-35.10%,$525.69,62.40%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
VROZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,3405700895,4.25-4.28x2.66,2700,-35.10%,$525.69,62.40%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
UROZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,7402707018,4.36-4.38x2.62,2700,-35.10%,$525.69,60.10%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
TROZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,6401594434,4.30-4.32x2.66,2700,-34.80%,$528.12,61.70%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
SROZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,1408597957,4.32-4.34x2.63,2700,-35.10%,$525.69,60.80%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
RROZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,7402597908,4.33-4.36x2.67,2700,-34.80%,$528.12,61.40%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
QROZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,5403599324,4.26-4.29x2.67,2700,-34.80%,$528.12,62.60%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
PROZ5,round,0.30,F,VVS1,EX,EX,EX,N,GIA,2406239220,4.28-4.31x2.66,2700,-35.10%,$525.69,61.90%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
OROZ5,round,0.30,F,VS1,VG,VG,VG,N,GIA,1413030211,4.17-4.21x2.68,2300,-39.20%,$419.52,64.00%,56.00%,WH,M0,EC0,,,INDIA,NO BGM,,
NROZ5,round,0.30,F,VS1,VG,VG,VG,N,GIA,2406864111,4.23-4.27x2.62,2300,-39.60%,$416.76,61.70%,60.00%,WH,M0,EC0,,,INDIA,NO BGM,,
MROZ5,round,0.30,F,VS1,VG,EX,VG,N,GIA,1403863759,4.15-4.19x2.66,2300,-40.00%,$414.00,63.90%,60.00%,WH,M0,EC0,,,INDIA,NO BGM,,
LROZ5,round,0.30,F,VS1,VG,EX,VG,N,GIA,2406866968,4.20-4.23x2.65,2300,-39.60%,$416.76,62.90%,59.00%,WH,M0,EC0,,,INDIA,NO BGM,,
KROZ5,round,0.30,F,VS1,VG,VG,VG,N,GIA,1403692110,4.15-4.19x2.68,2300,-40.00%,$414.00,64.20%,57.00%,WH,M0,EC0,,,INDIA,NO BGM,,
JROZ5,round,0.30,E,VVS2,VG,EX,EX,N,GIA,6411203564,4.19-4.22x2.69,2600,-44.60%,$432.12,63.90%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
IROZ5,round,0.30,E,VVS2,VG,EX,EX,N,GIA,1419213147,4.17-4.19x2.67,2600,-44.60%,$432.12,63.80%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
HROZ5,round,0.30,E,VVS2,VG,VG,VG,N,GIA,6415053785,4.13-4.19x2.68,2600,-44.90%,$429.78,64.60%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
GROZ5,round,0.30,E,VVS2,EX,VG,VG,N,GIA,1419211586,4.28-4.30x2.65,2600,-45.10%,$428.22,61.70%,60.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
FROZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,7412213858,4.25-4.28x2.66,2600,-44.20%,$435.24,62.40%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
EROZ5,round,0.30,E,VVS2,EX,VG,EX,N,GIA,6415212528,4.26-4.28x2.67,2600,-44.90%,$429.78,62.50%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
DROZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,6412031743,4.26-4.29x2.66,2600,-44.90%,$429.78,62.30%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
CROZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,6401947669,4.33-4.36x2.63,2600,-44.60%,$432.12,60.50%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
BROZ5,round,0.30,E,VVS2,EX,VG,VG,N,GIA,7408937872,4.26-4.29x2.66,2600,-44.60%,$432.12,62.20%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
AROZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,1403936278,4.28-4.30x2.66,2600,-45.10%,$428.22,62.00%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
9ROZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,5413032193,4.31-4.34x2.62,2600,-45.10%,$428.22,60.60%,56.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
8ROZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,5403945924,4.26-4.30x2.66,2600,-45.10%,$428.22,62.10%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
7ROZ5,round,0.30,E,VVS2,EX,VG,VG,N,GIA,3405947493,4.25-4.28x2.65,2600,-44.90%,$429.78,62.20%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
6ROZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,2406942506,4.30-4.32x2.62,2600,-45.10%,$428.22,60.90%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
5ROZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,5416053838,4.22-4.28x2.68,2600,-44.90%,$429.78,63.00%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
4ROZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,2407942467,4.24-4.29x2.65,2600,-44.60%,$432.12,62.10%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
3ROZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,6405844217,4.32-4.33x2.65,2600,-43.70%,$439.14,61.30%,56.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
2ROZ5,round,0.30,E,VVS2,EX,EX,EX,N,GIA,7406822012,4.28-4.31x2.65,2600,-36.60%,$494.52,61.70%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
1ROZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,6402829336,4.26-4.30x2.64,2600,-44.90%,$429.78,61.60%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
0ROZ5,round,0.30,E,VVS2,EX,VG,EX,N,GIA,6402822120,4.32-4.35x2.63,2600,-44.90%,$429.78,60.80%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
ZQOZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,1409702102,4.25-4.29x2.66,2600,-43.70%,$439.14,62.20%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
YQOZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,3405691782,4.25-4.29x2.64,2600,-45.10%,$428.22,61.90%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
XQOZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,2406700432,4.23-4.28x2.65,2600,-44.90%,$429.78,62.30%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
WQOZ5,round,0.30,E,VVS2,EX,VG,VG,N,GIA,6401603609,4.32-4.35x2.61,2600,-44.60%,$432.12,60.10%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
VQOZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,6402613550,4.27-4.30x2.64,2600,-43.20%,$443.04,61.70%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
UQOZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,2407460457,4.26-4.29x2.65,2600,-43.20%,$443.04,62.10%,56.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
TQOZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,7406473531,4.27-4.29x2.64,2600,-45.10%,$428.22,61.60%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
SQOZ5,round,0.30,E,VVS2,EX,EX,VG,N,GIA,6401460284,4.28-4.31x2.62,2600,-44.90%,$429.78,60.90%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
RQOZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,1403522572,4.26-4.27x2.66,2600,-43.20%,$443.04,62.30%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
QQOZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,2406513629,4.37-4.39x2.60,2600,-43.20%,$443.04,59.20%,60.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
PQOZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,6405274196,4.26-4.29x2.66,2600,-43.20%,$443.04,62.10%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
OQOZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,6402238877,4.29-4.31x2.66,2600,-43.20%,$443.04,62.00%,55.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
NQOZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,6391947194,4.31-4.34x2.63,2600,-43.20%,$443.04,60.80%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
MQOZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,2396951660,4.25-4.27x2.69,2600,-43.70%,$439.14,63.10%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
LQOZ5,round,0.30,E,VVS2,EX,EX,EX,F,GIA,3395787358,4.33-4.36x2.62,2600,-43.20%,$443.04,60.20%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
KQOZ5,round,0.30,E,VVS1,VG,VG,VG,N,GIA,2408613778,4.26-4.30x2.61,2800,-46.10%,$452.76,60.80%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
JQOZ5,round,0.30,E,VVS1,VG,EX,VG,N,GIA,6402270731,4.25-4.27x2.61,2800,-46.40%,$450.24,61.30%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
IQOZ5,round,0.30,E,VVS1,VG,EX,EX,N,GIA,3395551991,4.21-4.24x2.69,2800,-46.40%,$450.24,63.70%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
HQOZ5,round,0.30,E,VVS1,EX,EX,VG,N,GIA,2414211968,4.27-4.33x2.67,2800,-46.40%,$450.24,62.00%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
GQOZ5,round,0.30,E,VVS1,EX,EX,VG,N,GIA,2416210404,4.32-4.35x2.60,2800,-46.40%,$450.24,60.00%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
FQOZ5,round,0.30,E,VVS1,EX,VG,VG,N,GIA,7412210403,4.24-4.30x2.64,2800,-46.40%,$450.24,61.90%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
EQOZ5,round,0.30,E,VVS1,EX,VG,EX,N,GIA,6415211850,4.27-4.30x2.66,2800,-46.10%,$452.76,62.10%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
DQOZ5,round,0.30,E,VVS1,EX,VG,EX,N,GIA,7401948595,4.25-4.28x2.67,2800,-46.60%,$448.56,62.50%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
CQOZ5,round,0.30,E,VVS1,EX,EX,EX,F,GIA,7411031676,4.35-4.38x2.63,2800,-46.20%,$451.92,60.20%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
BQOZ5,round,0.30,E,VVS1,EX,EX,EX,F,GIA,2406805152,4.32-4.34x2.65,2800,-46.20%,$451.92,61.20%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
AQOZ5,round,0.30,E,VVS1,EX,EX,VG,N,GIA,2407805574,4.32-4.36x2.60,2800,-46.40%,$450.24,59.80%,60.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
9QOZ5,round,0.30,E,VVS1,EX,EX,EX,F,GIA,6402829968,4.32-4.35x2.61,2800,-46.50%,$449.40,60.10%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
8QOZ5,round,0.30,E,VVS1,EX,EX,VG,N,GIA,6401803898,4.25-4.30x2.64,2800,-46.40%,$450.24,61.80%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
7QOZ5,round,0.30,E,VVS1,EX,EX,EX,F,GIA,2408843455,4.28-4.30x2.66,2800,-46.50%,$449.40,61.90%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
6QOZ5,round,0.30,E,VVS1,EX,EX,VG,N,GIA,6401803708,4.29-4.34x2.62,2800,-46.10%,$452.76,60.80%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
5QOZ5,round,0.30,E,VVS1,EX,EX,EX,F,GIA,6405821284,4.32-4.34x2.62,2800,-46.50%,$449.40,60.60%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
4QOZ5,round,0.30,E,VVS1,EX,EX,VG,N,GIA,2406702067,4.26-4.30x2.64,2800,-46.10%,$452.76,61.70%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
3QOZ5,round,0.30,E,VVS1,EX,EX,EX,F,GIA,3405699065,4.30-4.33x2.63,2800,-47.00%,$445.20,60.90%,60.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
2QOZ5,round,0.30,E,VVS1,EX,EX,EX,F,GIA,7403698646,4.27-4.30x2.66,2800,-46.50%,$449.40,62.00%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
1QOZ5,round,0.30,E,VVS1,EX,EX,EX,F,GIA,1409697123,4.29-4.31x2.67,2800,-46.20%,$451.92,62.10%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
0QOZ5,round,0.30,E,VVS1,EX,EX,EX,F,GIA,5403706550,4.28-4.30x2.67,2800,-46.20%,$451.92,62.20%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
ZPOZ5,round,0.30,E,VVS1,EX,EX,VG,N,GIA,5406462288,4.30-4.31x2.63,2800,-46.40%,$450.24,61.00%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
YPOZ5,round,0.30,E,VVS1,EX,EX,VG,N,GIA,1407463476,4.25-4.31x2.66,2800,-46.40%,$450.24,62.10%,59.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
XPOZ5,round,0.30,E,VVS1,EX,EX,EX,F,GIA,6402454206,4.29-4.31x2.68,2800,-46.50%,$449.40,62.20%,56.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
WPOZ5,round,0.30,E,VVS1,EX,EX,VG,N,GIA,2404458596,4.23-4.26x2.66,2800,-46.10%,$452.76,62.70%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
VPOZ5,round,0.30,E,VVS1,EX,EX,VG,N,GIA,5403457577,4.22-4.27x2.67,2800,-46.60%,$448.56,63.00%,58.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
UPOZ5,round,0.30,E,VVS1,EX,EX,VG,N,GIA,1409452619,4.24-4.29x2.67,2800,-46.40%,$450.24,62.70%,57.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
