Stock_No,Shape,Weight,Color,Clarity,Cut_Grade,Polish,Symmetry,Fluorescence_Intensity,Fluorescence_Color,Measurements,Lab,Certificate,Treatment,Rapa_Rate,Rate,Discount_x0025_,Amount,Fancy_Color,Fancy_Color_Intensity,Fancy_Color_Overtone,Depth_x0025_,Table_x0025_,Girdle_Thin,Girdle_Thick,Girdle_x0025_,Girdle_Condition,Culet_Size,Culet_Condition,Crown_Height,Crown_Angle,Pavilion_Depth,Pavilion_Angle,Laser_Inscription,Key_To_Symbol,Milky,Tinge,EyeClean,Comment,ImageLink,VideoLink,CertifateLink
K17100,RBC,0.35,F,IF,EX,EX,EX,FNT,,4.47 - 4.50 * 2.83,Gia,1307498785,,2900.00,2030.00,-30.00,710.50,,,,63.00,58.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.50,44.50,41.60,GIA 1307498785,Minor Details of Polish,N,N,YES,,,,
K21549,RBC,0.30,,SI1,,EX,EX,MED,,4.28 - 4.30 * 2.63,Gia,2328597189,,1000.00,1000.00,0.00,300.00,,F,GREEN,61.40,61.00,MED to STK,MED to STK,,F,,NON,,,,,GIA 2328597189,Crystal  Feather,N,N,YES,,,,
K23926,RBC,0.30,D,IF,VG,EX,EX,FNT,,4.20 - 4.23 * 2.69,Gia,6331581678,,3900.00,1833.00,-53.00,549.90,,,,63.90,59.00,STK to THK,STK to THK,5.00,F,,NON,14.50,35.50,44.50,41.60,GIA 6331581678,Minor Details of Polish,N,N,YES,,,,
K24814,RBC,0.35,K,IF,EX,EX,EX,FNT,,4.49 - 4.52 * 2.83,Gia,6335984491,,1600.00,912.00,-43.00,319.20,,,,62.70,56.00,MED to STK,MED to STK,4.00,F,,NON,16.00,35.50,43.00,40.80,GIA 6335984491,Minor Details of Polish,N,N,YES,,,,
K26187,RBC,0.31,G,IF,EX,EX,EX,FNT,,4.34 - 4.36 * 2.69,Gia,2347854753,,2600.00,1404.00,-46.00,435.24,,,,61.80,60.00,MED to STK,MED to STK,4.00,F,,NON,13.50,34.00,44.50,41.80,GIA 2347854753,Minor Details of Polish,N ,N ,YES,,,,
K26783,RBC,0.30,G,IF,EX,EX,EX,FNT,,4.24 - 4.28 * 2.69,Gia,2354499925,,2600.00,1404.00,-46.00,421.20,,,,63.20,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,34.50,44.50,41.60,GIA 2354499925,Minor Details of Polish,N,N ,YES,,,,
K27998,RBC,0.30,L,VVS1,EX,EX,EX,STG,,4.26 - 4.28 * 2.67,Gia,1369382479,,1300.00,663.00,-49.00,198.90,,,,62.60,57.00,THN to STK,THN to STK,4.00,F,,NON,15.00,35.00,43.50,41.20,GIA 1369382479,Pinpoint  Indented Natural  Feather  Manufacturing Remnant,NO,N ,YES,,,,
K28592,RBC,0.30,J,IF,EX,EX,VG,No,,4.28 - 4.30 * 2.68,Gia,6365698700,,1800.00,900.00,-50.00,270.00,,,,62.40,55.00,STK,STK,0.04,F,,NON,0.15,33.50,0.44,41.00,GIA 6365698700,Surface Graining  Minor Details of Polish,NO,,YES,,,,
K28633,RBC,0.30,G,IF,EX,EX,EX,FNT,,4.24 - 4.27 * 2.68,Gia,2368698866,,2600.00,1404.00,-46.00,421.20,,,,63.10,57.00,MED to STK,MED to STK,0.04,F,,NON,0.15,35.00,0.44,41.40,GIA 2368698866,Natural  Minor Details of Polish,NO,N ,YES,,,,
K28698,RBC,0.31,,IF,,EX,EX,No,,4.39 - 4.42 * 2.65,Gia,5212305741,,3000.00,3000.00,0.00,930.00,P,F,,60.00,61.00,MED to STK,MED to STK,,F,,NON,,,,,GIA 5212305741,,N ,N,YES,Minor details of polish are not shown.,,,
