Stock_No,Shape,Weight,Color,Clarity,Cut_Grade,Polish,Symmetry,Fluorescence_Intensity,Fluorescence_Color,Measurements,Lab,Certificate,Treatment,Rapa_Rate,Rate,Discount_x0025_,Amount,Fancy_Color,Fancy_Color_Intensity,Fancy_Color_Overtone,Depth_x0025_,Table_x0025_,Girdle_Thin,Girdle_Thick,Girdle_x0025_,Girdle_Condition,Culet_Size,Culet_Condition,Crown_Height,Crown_Angle,Pavilion_Depth,Pavilion_Angle,Laser_Inscription,Key_To_Symbol,Milky,Tinge,EyeClean,Comment,ImageLink,VideoLink,CertifateLink
K28944,RBC,0.37,D,IF,EX,EX,EX,STG,,4.61 - 4.63 * 2.84,Gia,1369984145,,3900.00,2028.00,-48.00,750.36,,,,61.40,60.00,MED to STK,MED to STK,4.00,F,,NON,14.00,35.00,43.50,41.00,GIA 1369984145,Minor Details of Polish,N,N,YES,,,,
K29196,RBC,0.30,G,IF,EX,EX,EX,FNT,,4.27 - 4.29 * 2.67,Gia,5212409208,,2600.00,1404.00,-46.00,421.20,,,,62.40,59.00,MED to STK,MED to STK,4.00,F,,NON,14.00,34.50,44.50,41.60,GIA 5212409208,Minor Details of Polish,N ,N ,YES,,,,
K29451,RBC,0.33,H,VS1,EX,VG,EX,FNT,,4.45 - 4.47 * 2.70,Gia,1379391148,,2000.00,1080.00,-46.00,356.40,,,,60.50,59.00,STK,STK,4.00,F,,NON,13.50,33.00,43.00,41.00,GIA 1379391148,Crystal  Cloud,NO,,YES,,,,
K29656,RBC,0.34,F,VS2,EX,EX,EX,MED,,4.46 - 4.48 * 2.75,Gia,1375823301,,2000.00,1040.00,-48.00,353.60,,,,61.50,57.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.50,42.50,40.60,GIA 1375823301,Feather  Crystal,N,N ,YES,,,,
K29718,RBC,0.30,I,IF,EX,EX,EX,STG,,4.30 - 4.33 * 2.64,Gia,6371824114,,2100.00,1008.00,-52.00,302.40,,,,61.10,61.00,STK,STK,4.00,F,,NON,13.00,33.00,44.00,41.60,GIA 6371824114,Minor Details of Polish,N,N ,YES,,,,
K29731,RBC,0.31,F,IF,EX,EX,EX,FNT,,4.31 - 4.33 * 2.70,Gia,2377824101,,2900.00,1421.00,-51.00,440.51,,,,62.40,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 2377824101,Minor Details of Polish,N,,YES,,,,
K29823,RBC,0.31,K,VS2,EX,EX,EX,FNT,,4.32 - 4.33 * 2.64,Gia,7381168552,,1200.00,600.00,-50.00,186.00,,,,61.10,59.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.00,42.50,40.60,GIA 7381168552,Crystal  Cloud,N ,FB,YES,,,,
K30004,RBC,0.31,D,VS1,EX,VG,EX,MED,,4.30 - 4.33 * 2.71,Gia,6371887211,,2500.00,1225.00,-51.00,379.75,,,,63.00,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 6371887211,Cloud  Crystal  Pinpoint,N ,N ,YES,,,,
K30073,RBC,0.33,I,VS1,EX,VG,EX,FNT,,4.40 - 4.43 * 2.78,Gia,5383265732,,1800.00,882.00,-51.00,291.06,,,,63.00,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 5383265732,Crystal  Pinpoint  Needle  Cloud,N ,,YES,,,,
K30135,RBC,0.37,D,VS1,EX,EX,EX,STG,,4.63 - 4.66 * 2.82,Gia,6381178171,,2500.00,1425.00,-43.00,527.25,,,,60.60,57.00,MED to STK,MED to STK,3.50,F,,NON,14.00,33.50,43.00,40.80,GIA 6381178171,Crystal  Cloud  Needle  Pinpoint,N ,N ,YES,,,,
K30151,RBC,0.32,E,IF,EX,EX,EX,FNT,,4.38 - 4.40 * 2.71,Gia,6385168737,,3100.00,1674.00,-46.00,535.68,,,,61.70,59.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.50,43.00,40.80,GIA 6385168737,Minor Details of Polish,N ,N ,YES,,,,
K30154,RBC,0.30,K,IF,EX,EX,EX,No,,4.27 - 4.29 * 2.68,Gia,7388265797,,1600.00,816.00,-49.00,244.80,,,,62.60,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,43.50,41.20,GIA 7388265797,Minor Details of Polish,N ,FB,YES,,,,
K30220,RBC,0.30,,VVS2,,VG,EX,No,,4.26 - 4.29 * 2.66,Gia,1389169046,,2700.00,2700.00,0.00,810.00,P,F,,62.30,59.00,MED to STK,MED to STK,,F,,NON,,,,,GIA 1389169046,,N ,N,YES,Clarity grade is based on internal graining that is not shown. Surface graining is not shown.,,,
K30398,RBC,0.30,F,VS1,EX,VG,EX,MED,,4.26 - 4.29 * 2.67,Gia,6382744993,,2200.00,1144.00,-48.00,343.20,,,,62.50,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.50,41.00,GIA 6382744993,Crystal  Pinpoint,N,N,YES,,,,
K30426,RBC,0.33,E,SI1,EX,EX,EX,STG,,4.40 - 4.43 * 2.77,Gia,2387503168,,1900.00,931.00,-51.00,307.23,,,,62.70,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,34.50,44.00,41.60,GIA 2387503168,Cloud  Crystal,NO,N,YES,,,,
K30475,RBC,0.30,I,VVS1,VG,EX,EX,FNT,,4.18 - 4.20 * 2.71,Gia,5386937795,,2000.00,980.00,-51.00,294.00,,,,64.70,58.00,THK,THK,5.00,F,,NON,15.50,36.50,44.00,41.20,GIA 5386937795,Manufacturing Remnant  Feather,N ,,YES,,,,
K30541,RBC,0.30,J,VVS2,EX,VG,VG,FNT,,4.27 - 4.29 * 2.67,Gia,6381939783,,1600.00,752.00,-53.00,225.60,,,,62.30,58.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.50,44.00,41.40,GIA 6381939783,Cloud  Indented Natural  Pinpoint  Surface Graining,N ,,YES,,,,
K30579,RBC,0.33,E,VS1,EX,EX,EX,MED,,4.41 - 4.43 * 2.74,Gia,1385736132,,2300.00,1173.00,-49.00,387.09,,,,62.10,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.00,40.80,GIA 1385736132,Crystal  Pinpoint,N,N,YES,,,,
K30600,RBC,0.31,F,IF,EX,EX,EX,FNT,,4.33 - 4.35 * 2.68,Gia,2386745172,,2900.00,1508.00,-48.00,467.48,,,,61.60,58.00,STK,STK,4.00,F,,NON,15.00,35.50,42.50,40.60,GIA 2386745172,Minor Details of Polish,N,N,YES,,,,
K30602,RBC,0.30,H,IF,EX,EX,EX,FNT,,4.27 - 4.29 * 2.68,Gia,6382736381,,2300.00,1219.00,-47.00,365.70,,,,62.50,57.00,MED to STK,MED to STK,4.00,F,,,15.50,35.50,43.00,40.80,GIA 6382736381,Minor Details of Polish,N,N,YES,,,,
K30680,RBC,0.34,J,IF,EX,EX,EX,No,,4.49 - 4.51 * 2.73,Gia,7386942024,,1800.00,1044.00,-42.00,354.96,,,,60.60,59.00,MED to STK,MED to STK,4.00,F,,NON,14.00,34.50,43.00,40.60,GIA 7386942024,Minor Details of Polish,N ,N ,YES,,,,
K30698,RBC,0.30,F,VS1,EX,EX,EX,MED,,4.27 - 4.30 * 2.64,Gia,7388937215,,2200.00,1210.00,-45.00,363.00,,,,61.50,60.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.50,43.50,41.00,GIA 7388937215,Crystal  Pinpoint,N ,N ,YES,,,,
K30704,RBC,0.30,H,VVS2,EX,EX,EX,MED,,4.31 - 4.33 * 2.62,Gia,7383937406,,2100.00,1134.00,-46.00,340.20,,,,60.80,61.00,STK,STK,4.50,F,,NON,13.00,33.00,43.50,41.20,GIA 7383937406,Pinpoint,N ,N ,YES,,,,
K30721,RBC,0.30,E,VVS1,VG,EX,EX,No,,4.20 - 4.22 * 2.70,Gia,7381937536,,2900.00,1566.00,-46.00,469.80,,,,64.00,57.00,STK to THK,STK to THK,4.50,F,,NON,16.50,37.50,43.00,40.60,GIA 7381937536,Cavity,N ,N ,YES,,,,
K30754,RBC,0.32,H,IF,EX,EX,EX,MED,,4.38 - 4.41 * 2.70,Gia,2387942451,,2300.00,1150.00,-50.00,368.00,,,,61.40,61.00,MED to STK,MED to STK,4.00,F,,NON,13.00,34.00,44.00,41.60,GIA 2387942451,Minor Details of Polish,N ,N ,YES,,,,
K30755,RBC,0.30,D,SI1,EX,EX,EX,MED,,4.30 - 4.32 * 2.67,Gia,2387942432,,2000.00,1080.00,-46.00,324.00,,,,61.90,57.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.00,43.50,41.20,GIA 2387942432,Crystal  Feather,N ,N ,YES,,,,
K30757,RBC,0.31,D,SI1,EX,EX,EX,MED,,4.30 - 4.31 * 2.68,Gia,1387937570,,2000.00,1080.00,-46.00,334.80,,,,62.30,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.60,GIA 1387937570,Crystal,N ,N ,YES,,,,
K30816,RBC,0.31,E,VVS2,EX,EX,EX,MED,,4.30 - 4.31 * 2.70,Gia,6381938146,,2600.00,1326.00,-49.00,411.06,,,,62.70,56.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 6381938146,Pinpoint  Indented Natural,N ,N ,YES,,,,
K30834,RBC,0.32,F,VS1,EX,EX,EX,MED,,4.35 - 4.38 * 2.76,Gia,6385937636,,2200.00,1210.00,-45.00,387.20,,,,63.20,57.00,STK,STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 6385937636,Crystal  Cloud,N ,N ,YES,,,,
K30862,RBC,0.31,M,VS2,EX,EX,EX,MED,,4.31 - 4.33 * 2.70,Gia,1389937204,,900.00,531.00,-41.00,164.61,,,,62.40,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 1389937204,Crystal  Feather,N ,N ,YES,,,,
K30971,RBC,0.32,,SI1,,EX,EX,No,,4.38 - 4.39 * 2.73,Gia,7398457115,,1200.00,1200.00,0.00,384.00,BN,F,PINKISH,62.30,58.00,MED to STK,MED to STK,,F,,NON,,,,,GIA 7398457115,Crystal  Feather  Needle  Natural,N ,N,YES,Clouds  pinpoints  internal graining and surface graining are not shown.,,,
K30996,RBC,0.30,F,VS2,EX,EX,EX,FNT,,4.25 - 4.29 * 2.67,Gia,6391457828,,2000.00,1120.00,-44.00,336.00,,,,62.60,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.50,41.00,GIA 6391457828,Twinning Wisp  Feather,N ,N,YES,,,,
K31086,RBC,0.30,G,SI2,EX,EX,EX,MED,,4.34 - 4.36 * 2.63,Gia,7391457336,,1400.00,812.00,-42.00,243.60,,,,60.40,58.00,MED to STK,MED to STK,3.50,F,,NON,14.50,34.50,42.50,40.60,GIA 7391457336,Twinning Wisp  Feather  Crystal,N ,N ,YES,,,,
K31110,RBC,0.32,G,SI2,EX,EX,EX,MED,,4.38 - 4.41 * 2.75,Gia,7392498230,,1400.00,812.00,-42.00,259.84,,,,62.50,56.00,MED to STK,MED to STK,3.50,F,,NON,15.50,35.50,43.50,41.00,GIA 7392498230,Crystal  Feather,N ,N ,YES,,,,
K31144,RBC,0.32,G,IF,EX,EX,EX,No,,4.38 - 4.40 * 2.72,Gia,1395485406,,2600.00,1534.00,-41.00,490.88,,,,61.90,57.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.50,43.50,41.00,GIA 1395485406,Minor Details of Polish,N ,N ,YES,,,,
K31170,RBC,0.30,G,VVS2,EX,EX,EX,MED,,4.26 - 4.30 * 2.67,Gia,7392495666,,2200.00,1188.00,-46.00,356.40,,,,62.30,55.00,MED to STK,MED to STK,4.00,F,,NON,16.00,35.00,42.50,40.60,GIA 7392495666,Pinpoint  Feather,N ,N ,YES,,,,
K31171,RBC,0.35,I,SI1,EX,EX,EX,STG,,4.51 - 4.53 * 2.81,Gia,1398494513,,1400.00,798.00,-43.00,279.30,,,,62.20,57.00,MED,MED,3.50,F,,NON,15.00,35.00,43.50,41.20,GIA 1398494513,Crystal  Twinning Wisp  Feather,N ,N ,YES,,,,
K31174,RBC,0.30,F,VS1,EX,EX,EX,MED,,4.27 - 4.28 * 2.67,Gia,2215893859,,2200.00,1210.00,-45.00,363.00,,,,62.40,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.50,41.00,GIA 2215893859,Cloud  Pinpoint,NO,N,YES,,,,
K31193,RBC,0.30,I,VVS2,EX,EX,VG,STG,,4.31 - 4.34 * 2.63,Gia,7396496200,,1900.00,855.00,-55.00,256.50,,,,60.70,59.00,MED to STK,MED to STK,4.00,F,,NON,14.00,34.00,43.00,40.80,GIA 7396496200,Pinpoint  Feather,N ,N ,YES,,,,
K31218,RBC,0.35,F,SI1,EX,EX,EX,MED,,4.49 - 4.52 * 2.81,Gia,5396495349,,1800.00,1062.00,-41.00,371.70,,,,62.50,57.00,MED to STK,MED to STK,3.50,F,,NON,16.00,36.50,43.00,40.80,GIA 5396495349,Crystal,N ,N ,YES,,,,
K31245,RBC,0.30,I,IF,EX,EX,EX,No,,4.36 - 4.37 * 2.63,Gia,2397494306,,2100.00,1113.00,-47.00,333.90,,,,60.40,61.00,MED to STK,MED to STK,4.00,F,,NON,13.00,34.00,43.50,41.20,GIA 2397494306,Minor Details of Polish,N ,,YES,,,,
K31249,RBC,0.36,E,SI2,EX,EX,EX,MED,,4.57 - 4.58 * 2.84,Gia,7398494661,,1600.00,912.00,-43.00,328.32,,,,62.00,59.00,MED to STK,MED to STK,4.00,F,,NON,14.00,34.50,44.00,41.60,GIA 7398494661,Crystal,N ,N ,YES,,,,
K31286,RBC,0.31,I,VS2,EX,EX,EX,STG,,4.31 - 4.33 * 2.70,Gia,6395497264,,1600.00,816.00,-49.00,252.96,,,,62.50,56.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 6395497264,Crystal,N ,N ,YES,,,,
K31348,RBC,0.34,D,VS1,EX,EX,EX,MED,,4.43 - 4.46 * 2.80,Gia,7396496883,,2500.00,1275.00,-49.00,433.50,,,,63.00,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 7396496883,Crystal  Pinpoint,N ,N ,YES,,,,
K31350,RBC,0.32,G,VVS2,EX,EX,EX,STG,,4.36 - 4.38 * 2.74,Gia,6395496898,,2200.00,1144.00,-48.00,366.08,,,,62.70,56.00,MED,MED,3.50,F,,NON,16.00,36.50,43.00,40.80,GIA 6395496898,Cloud  Pinpoint,N ,N ,YES,,,,
K31352,RBC,0.35,G,VVS1,EX,EX,EX,MED,,4.47 - 4.51 * 2.83,Gia,1399496923,,2400.00,1488.00,-38.00,520.80,,,,63.00,57.00,STK,STK,4.00,F,,NON,14.50,34.00,44.50,41.80,GIA 1399496923,Feather  Manufacturing Remnant,N ,N ,YES,,,,
K31360,RBC,0.30,I,VVS2,VG,EX,EX,MED,,4.16 - 4.19 * 2.70,Gia,6395498972,,1900.00,931.00,-51.00,279.30,,,,64.70,56.00,STK to THK,STK to THK,5.00,F,,NON,17.00,38.00,42.50,40.40,GIA 6395498972,Pinpoint  Needle  Indented Natural,N ,N ,YES,,,,
K31365,RBC,0.37,D,SI2,EX,EX,EX,No,,4.58 - 4.59 * 2.84,Gia,1399498531,,1700.00,1105.00,-35.00,408.85,,,,62.00,58.00,MED to STK,MED to STK,3.50,F,,NON,15.50,36.50,43.00,40.80,GIA 1399498531,Crystal,N ,N ,YES,,,,
K31371,RBC,0.30,D,VS1,EX,EX,EX,MED,,4.24 - 4.27 * 2.69,Gia,1393498428,,2500.00,1300.00,-48.00,390.00,,,,63.10,58.00,STK,STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 1393498428,Crystal  Pinpoint,N ,N ,YES,,,,
K31377,RBC,0.31,G,VVS2,EX,EX,EX,FNT,,4.30 - 4.32 * 2.70,Gia,3395494288,,2200.00,1232.00,-44.00,381.92,,,,62.70,58.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.00,44.00,41.40,GIA 3395494288,Pinpoint  Needle  Cloud  Indented Natural,N ,N,YES,,,,
K31380,RBC,0.30,I,VVS1,VG,EX,EX,STG,,4.20 - 4.21 * 2.71,Gia,1398494358,,2000.00,940.00,-53.00,282.00,,,,64.50,57.00,STK to THK,STK to THK,5.00,F,,NON,16.50,37.50,43.00,40.80,GIA 1398494358,Pinpoint  Indented Natural,N ,N ,YES,,,,
K31386,RBC,0.32,G,VVS2,EX,EX,EX,MED,,4.39 - 4.42 * 2.71,Gia,7398494676,,2200.00,1188.00,-46.00,380.16,,,,61.50,57.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.00,43.00,40.60,GIA 7398494676,Pinpoint  Cloud  Surface Graining,N ,N ,YES,,,,
K31390,RBC,0.32,G,VS1,EX,EX,EX,MED,,4.35 - 4.38 * 2.71,Gia,2396494389,,2100.00,1155.00,-45.00,369.60,,,,62.20,57.00,STK,STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 2396494389,Crystal  Pinpoint,N ,N ,YES,,,,
K31391,RBC,0.33,D,VVS2,EX,EX,EX,No,,4.40 - 4.44 * 2.75,Gia,1399494410,,2800.00,1820.00,-35.00,600.60,,,,62.10,59.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.50,43.50,41.00,GIA 1399494410,Needle  Cloud  Pinpoint  Indented Natural,N ,N ,YES,,,,
K31395,RBC,0.30,J,VVS1,VG,EX,EX,MED,,4.16 - 4.19 * 2.70,Gia,2397494344,,1700.00,850.00,-50.00,255.00,,,,64.50,57.00,STK to THK,STK to THK,5.00,F,,NON,17.00,38.00,43.00,40.60,GIA 2397494344,Pinpoint  Feather,N ,N ,YES,,,,
K31397,RBC,0.31,D,VVS2,EX,EX,EX,FNT,,4.36 - 4.38 * 2.67,Gia,2398494409,,2800.00,1484.00,-47.00,460.04,,,,61.20,61.00,STK,STK,4.00,F,,NON,13.00,33.50,44.00,41.60,GIA 2398494409,Cloud  Pinpoint  Indented Natural,N ,N ,YES,,,,
K31403,RBC,0.34,J,IF,EX,EX,EX,No,,4.46 - 4.49 * 2.81,Gia,2215893686,,1800.00,1044.00,-42.00,354.96,,,,62.80,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 2215893686,Minor Details of Polish,NO,N,YES,,,,
K31421,RBC,0.30,I,VVS2,VG,EX,EX,FNT,,4.19 - 4.23 * 2.70,Gia,7396537417,,1900.00,1007.00,-47.00,302.10,,,,64.10,58.00,STK to THK,STK to THK,5.50,F,,NON,16.50,37.50,42.50,40.40,GIA 7396537417,Pinpoint  Indented Natural,NO,N,YES,,,,
K31439,RBC,0.30,D,IF,VG,EX,EX,FNT,,4.19 - 4.21 * 2.71,Gia,7396536455,,3900.00,1833.00,-53.00,549.90,,,,64.50,56.00,STK to THK,STK to THK,5.00,F,,NON,16.50,37.00,43.00,40.80,GIA 7396536455,Minor Details of Polish,NO,N,YES,,,,
K31452,RBC,0.30,D,VS2,EX,EX,EX,STG,,4.26 - 4.28 * 2.68,Gia,7391536201,,2200.00,1144.00,-48.00,343.20,,,,62.80,56.00,THN to STK,THN to STK,3.50,F,,NON,16.00,36.50,43.00,40.80,GIA 7391536201,Crystal,NO,N,YES,,,,
K31464,RBC,0.31,G,VVS2,EX,EX,EX,MED,,4.33 - 4.37 * 2.74,Gia,6395537459,,2200.00,1188.00,-46.00,368.28,,,,62.90,57.00,MED,MED,3.50,F,,NON,15.50,35.50,44.00,41.40,GIA 6395537459,Cloud  Pinpoint,NO,N,YES,,,,
K31467,RBC,0.33,G,VS1,EX,EX,EX,MED,,4.41 - 4.43 * 2.74,Gia,7391537415,,2100.00,1134.00,-46.00,374.22,,,,62.10,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,42.50,40.60,GIA 7391537415,Crystal  Pinpoint,NO,N,YES,,,,
K31469,RBC,0.31,H,VVS2,EX,EX,EX,MED,,4.31 - 4.33 * 2.71,Gia,2397536794,,2100.00,1134.00,-46.00,351.54,,,,62.80,55.00,MED to STK,MED to STK,3.50,F,,NON,16.50,36.50,42.50,40.60,GIA 2397536794,Pinpoint,NO,N,YES,,,,
K31470,RBC,0.30,E,VVS1,VG,EX,EX,STG,,4.20 - 4.24 * 2.67,Gia,2396536783,,2900.00,1305.00,-55.00,391.50,,,,63.20,57.00,STK to THK,STK to THK,5.00,F,,NON,16.00,37.00,42.00,40.20,GIA 2396536783,Pinpoint  Feather,NO,N,YES,,,,
K31479,RBC,0.33,H,VVS2,EX,EX,EX,MED,,4.39 - 4.41 * 2.76,Gia,6391537324,,2100.00,1113.00,-47.00,367.29,,,,62.70,56.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 6391537324,Pinpoint,NO,N,YES,,,,
K31484,RBC,0.30,D,VVS2,EX,EX,EX,FNT,,4.25 - 4.28 * 2.68,Gia,7396537849,,2800.00,1484.00,-47.00,445.20,,,,62.80,56.00,MED to STK,MED to STK,4.00,F,,NON,16.00,35.50,43.00,40.80,GIA 7396537849,Cloud  Indented Natural  Pinpoint,NO,N,YES,,,,
K31493,RBC,0.32,H,VVS1,EX,EX,EX,MED,,4.34 - 4.36 * 2.71,Gia,6392535522,,2200.00,1188.00,-46.00,380.16,,,,62.40,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,36.00,42.50,40.60,GIA 6392535522,Feather,NO,N,YES,,,,
K31497,RBC,0.30,J,VVS1,EX,EX,EX,MED,,4.30 - 4.32 * 2.68,Gia,1395536161,,1700.00,918.00,-46.00,275.40,,,,62.30,58.00,MED to STK,MED to STK,3.50,F,,NON,14.00,34.00,44.50,41.80,GIA 1395536161,Pinpoint,NO,N,YES,,,,
K31521,RBC,0.30,I,VVS2,EX,EX,EX,MED,,4.28 - 4.29 * 2.68,Gia,7398536839,,1900.00,988.00,-48.00,296.40,,,,62.50,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,41.00,GIA 7398536839,Pinpoint,NO,N,YES,,,,
K31528,RBC,0.30,F,VS2,EX,EX,EX,FNT,,4.28 - 4.29 * 2.66,Gia,6395536864,,2000.00,1120.00,-44.00,336.00,,,,62.10,56.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.00,43.00,40.60,GIA 6395536864,Crystal  Feather,NO,N,YES,,,,
K31536,RBC,0.30,D,SI2,EX,EX,VG,No,,4.25 - 4.28 * 2.67,Gia,5211887391,,1700.00,1020.00,-40.00,306.00,,,,62.60,56.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.60,GIA 5211887391,Crystal,NO,N,YES,,,,
K31585,RBC,0.34,G,VS1,EX,EX,EX,STG,,4.45 - 4.46 * 2.80,Gia,1395537882,,2100.00,1071.00,-49.00,364.14,,,,62.90,56.00,MED,MED,3.50,F,,NON,16.00,36.50,43.50,41.00,GIA 1395537882,Crystal  Pinpoint,NO,N,YES,,,,
K31586,RBC,0.30,G,VS1,EX,EX,EX,MED,,4.28 - 4.30 * 2.68,Gia,1397537889,,2100.00,1155.00,-45.00,346.50,,,,62.40,56.00,MED to STK,MED to STK,3.50,F,,NON,16.50,36.50,42.50,40.60,GIA 1397537889,Crystal  Feather,NO,N,YES,,,,
K31592,RBC,0.33,H,VS1,EX,EX,EX,STG,,4.40 - 4.43 * 2.77,Gia,7391537822,,2000.00,1040.00,-48.00,343.20,,,,62.80,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 7391537822,Cloud  Needle,NO,N,YES,,,,
K31593,RBC,0.30,I,VVS1,VG,EX,VG,MED,,4.18 - 4.22 * 2.70,Gia,1399537807,,2000.00,940.00,-53.00,282.00,,,,64.40,57.00,STK to THK,STK to THK,5.00,F,,NON,17.50,38.50,42.00,40.20,GIA 1399537807,Pinpoint  Chip,NO,N,YES,,,,
