Stone_NO,Shape,Weight,Color,Clarity,Cut,Polish,Symm,FlrIntens,FlrColor,FColor,FCIntens,FCOverton,Measurement,Diameter_Min,Diameter_Max,Total_Depth,Lab,LabLocation,Lab_Report_No,LabLink,Lab_Report_Date,Laser_Inscription,Treatment,Location,Total_Depth_Per,Table_Diameter_Per,GirdleName,GirdleThin_ID,GirdleThick_ID,Girdle_Per,GirdleCon,CuletSize,CuletCon,CrownHeight,CrownAngle,PavillionHeight,PavillionAngle,PairStock_No,Parcels_Stone,Comment,KeyToSymbols,Shade,StarLength,LowerHalve,Table_Inclusion,Black_Inclusion,Side_Inclusion,Open_Inclusion,Brand,HnA,Ratio,Eyeclean,Tinge,Feather_Inclusion,Milkey,Luster,Internal_Graining,Surface_Graining,Natural_Type,ExtraFacet,Fancy_Color_Description,Stone_Comment,NewArrival,StockStatus,Is_VedioExist,Is_imgExist,Is_CertyExist,Certificate_file_url,Stone_Img_url,Video_url,Lab_Report_Comment,Remarks,Control_No,LiveRAP,SaleDis,SaleRate,SaleAmt,BIS,BIC,WIS,WIC
KG-72440,ROUND,0.250,D,VVS1,VG,EX,EX,FNT,,,,,3.99 - 4.02 * 2.51,3.99,4.02,2.51,GIA,MUMBAI,5423201443,https://www.gia.edu/report-check?reportno=5423201443,02/03/2022,GIA 5423201443 ,,IND,62.60,58.00,STK to THK,STK,THK,4.00,FACETED,NONE,,15.00,35.00,44.00,41.40,,,,Pinpoint  Feather  Indented Natural,,50.00,80.00,SB0,TB0,SF0,SC0,,,0.992537,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,15/02/2022,AVAILABLE,NO,NO,NO,,,,,,23,1830.0,5.0,1921.52,480.38,,,,
KG-72758,ROUND,0.230,E,VVS2,EX,VG,EX,NON,,,,,3.95 - 3.97 * 2.49,3.95,3.97,2.49,GIA,MUMBAI,7428201554,https://www.gia.edu/report-check?reportno=7428201554,02/03/2022,GIA 7428201554 ,,IND,62.90,56.00,MED,MED,,3.50,FACETED,NONE,,15.00,34.50,44.00,41.60,,,,Pinpoint,,50.00,80.00,SB0,TB0,SF0,SC0,,,0.994962,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,15/02/2022,AVAILABLE,NO,NO,NO,,,,,,25,1830.0,-13.0,1592.09,366.18,,,,
KG-73172,ROUND,0.310,I,VVS1,EX,EX,EX,MED,BLU,,,,4.35 - 4.38 * 2.66,4.35,4.38,2.66,GIA,NEW YORK,6224328726,https://www.gia.edu/report-check?reportno=6224328726,14/03/2022,GIA 6224328726,,IND,60.90,58.00,MED,MED,,3.50,FACETED,NONE,,15.00,35.50,42.50,40.60,,,,Pinpoint,,50.00,80.00,SB0,TB0,SF0,SC0,,,0.993151,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,301,2300.0,-42.0,1334.0,413.54,,,,
KG-73173,ROUND,0.300,G,SI1,EX,EX,EX,MED,BLU,,,,4.24 - 4.27 * 2.65,4.24,4.27,2.65,GIA,NEW YORK,2225328725,https://www.gia.edu/report-check?reportno=2225328725,14/03/2022,GIA 2225328725,,IND,62.40,59.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.00,35.50,43.50,41.00,,,,Crystal  Cloud,,50.00,80.00,SB0,TB0,SF0,SC0,,,0.992974,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-73173.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-73173,,,302,2000.0,-42.0,1160.0,348.0,,,,
KG-73181,ROUND,0.310,H,SI1,EX,EX,EX,MED,BLU,,,,4.33 - 4.35 * 2.73,4.33,4.35,2.73,GIA,NEW YORK,6227328753,https://www.gia.edu/report-check?reportno=6227328753,14/03/2022,GIA 6227328753,,IND,62.80,57.00,MED to STK,MED,STK,3.50,FACETED,NONE,,15.00,35.00,44.00,41.40,,,,Cloud  Crystal  Feather,,50.00,80.00,SB0,TB1,SF0,SC0,,,0.995402,,,TF1,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-73181.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-73181,,,306,1900.0,-40.0,1140.0,353.4,,,,
KG-71071,ROUND,0.400,F,SI1,VG,EX,EX,FNT,,,,,4.60 - 4.62 * 2.96,4.60,4.62,2.96,GIA,NEW YORK,2225328867,https://www.gia.edu/report-check?reportno=2225328867,14/03/2022,GIA 2225328867,,IND,64.20,58.00,THN to THK,THN,THK,5.50,FACETED,NONE,,16.00,37.00,43.00,40.80,,,,Crystal,,50.00,80.00,SB1,TB1,SF0,SC0,,,0.995671,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,163,2400.0,-37.0,1512.0,604.8,,,,
KG-71942,ROUND,0.300,L,VVS2,EX,EX,EX,NON,,,,,4.26 - 4.29 * 2.65,4.26,4.29,2.65,GIA,NEW YORK,1226328863,https://www.gia.edu/report-check?reportno=1226328863,14/03/2022,GIA 1226328863,,IND,62.00,58.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.50,36.00,42.50,40.60,,,,Cavity  Pinpoint  Brown patch of color  Natural,,50.00,75.00,SB0,TB0,SF0,SC0,,,0.993007,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,309,1500.0,-36.0,960.0,288.0,,,,
KG-71984,ROUND,0.300,E,SI2,VG,EX,EX,NON,,,,,4.17 - 4.19 * 2.68,4.17,4.19,2.68,GIA,NEW YORK,6227328859,https://www.gia.edu/report-check?reportno=6227328859,14/03/2022,GIA 6227328859,,IND,64.10,58.00,THK,THK,,5.50,FACETED,NONE,,16.00,37.50,42.50,40.60,,,,Crystal  Cloud,,50.00,80.00,SB0,TB1,SF0,SC0,,,0.995227,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,240,1900.0,-42.0,1102.0,330.6,,,,
KG-72493,ROUND,0.300,I,VVS2,VG,EX,EX,NON,,,,,4.23 - 4.26 * 2.70,4.23,4.26,2.70,GIA,NEW YORK,6223328854,https://www.gia.edu/report-check?reportno=6223328854,14/03/2022,GIA 6223328854,,IND,63.60,57.00,MED to STK,MED,STK,4.50,FACETED,NONE,,16.00,37.00,43.00,40.80,,,,Needle  Pinpoint  Feather  Natural,,50.00,80.00,SB0,TB0,SF1,SC0,,,0.992958,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,242,2200.0,-40.0,1320.0,396.0,,,,
KG-72620,ROUND,0.330,I,VS2,EX,EX,EX,NON,,,,,4.40 - 4.42 * 2.75,4.40,4.42,2.75,GIA,NEW YORK,6224329897,https://www.gia.edu/report-check?reportno=6224329897,08/03/2022,GIA 6224329897,,IND,62.40,58.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.50,34.50,43.50,41.40,,,,Crystal  Needle  Feather,,50.00,75.00,SB0,TB0,SF0,SC0,,,0.995475,,,TF1,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,2.00,1900.0,-33.0,1273.0,420.09,,,,
KG-72628,ROUND,0.300,J,VS2,EX,EX,EX,FNT,,,,,4.25 - 4.29 * 2.68,4.25,4.29,2.68,GIA,NEW YORK,5222329903,https://www.gia.edu/report-check?reportno=5222329903,14/03/2022,GIA 5222329903,,IND,62.90,58.00,THN to STK,THN,STK,4.00,FACETED,NONE,,15.00,35.00,44.00,41.40,,,,Crystal,,45.00,80.00,SB0,TB0,SF1,SC0,,,0.990676,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,311,1700.0,-36.0,1088.0,326.4,,,,
KG-72630,ROUND,0.300,F,SI1,EX,EX,EX,FNT,,,,,4.25 - 4.29 * 2.69,4.25,4.29,2.69,GIA,NEW YORK,2225329899,https://www.gia.edu/report-check?reportno=2225329899,14/03/2022,GIA 2225329899,,IND,63.10,56.00,THN to STK,THN,STK,3.50,FACETED,NONE,,16.50,36.50,43.50,41.00,,,,Crystal,,45.00,80.00,SB0,TB2,SF0,SC0,,,0.990676,,,TF0,,,,,,,,NO BGM 100% EYECLEAN,07/04/2022,AVAILABLE,NO,NO,NO,,,,,,534,2100.0,-40.0,1260.0,378.0,,,,
