availability,cash_price,comments,inclusion_center,color,girdle_min, city,country,cash_discount,cert_comment,lab,fancy_color_dominant_color,fancy_color_intensity,fancy_color_overtone,cut,girdle_condition,set_matched_pair_separable,milky,pair_stock_num,parcel_stones,state,polish,treatment,fancy_color_secondary_color, culet_condition,bgm,crown_angle,laser_inscription,trade_show.,eye_clean,shade,inclusion_black,inclusion_open,camera_type,size,symmetry,measurement,ratio, meas_length,meas_width, fluor_color, meas_depth,culet_size,image_url,stock_num,pavilion_angle,Star,Lower_Halves,video_url,shape,clarity, discount_percent,price_per_carat,total_sales_price, Girdle,girdle_percent,crown_height,pavilion_depth,camera_ref,cert_url,cert_num,fluor_intensity,table_percent,depth_percent
A,,Minor Details of Polish,NONE,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,32.5,GIA 6431668232,,100%,NONE,NB,NO OPEN,,0.32,EX,4.40 - 4.43 * 2.69,null,4.43,4.4,null,2.69,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-152713/still.jpg,15R-152713,41.8,45,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-152713/video.mp4,ROUND,IF,-35,1950,624,MED - STK,,13,44.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/6431668232.Pdf,6431668232,NONE,60,61
A,,Pinpoint  Internal Graining,CW0,F,,,HONGKONG,,null,GIA,null,null,null,VG,,,NONE,,,,EX,,,,,34,GIA 7388295938,,100%,BRN1,NB,NO OPEN,,0.3,VG,4.27 - 4.29 * 2.65,null,4.29,4.27,null,2.65,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-108945/still.jpg,15R-108945,42,50,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-108945/video.mp4,ROUND,VVS1,-52.5,1330,399,MED - STK,,12.5,45,,https://pckrstg.blob.core.windows.net/hdfile/Cert/7388295938.Pdf,7388295938,NONE,63,62
A,,Feather  Indented Natural,NONE,F,,,INDIA,,null,GIA,null,null,null,VG,,,NONE,,,,EX,,,,,38,GIA 1433062880,,100%,NONE,NB,NO OPEN,,0.31,EX,4.22 - 4.23 * 2.71,null,4.23,4.22,BLUE,2.71,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-148840/still.jpg,15R-148840,40.2,50,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-148840/video.mp4,ROUND,VVS1,-50.5,1386,429.66,STK - THK,,17,42,,https://pckrstg.blob.core.windows.net/hdfile/Cert/1433062880.Pdf,1433062880,MED,57,64.1
A,,Pinpoint,NONE,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,34,GIA 1398438939,,100%,NONE,NB,NO OPEN,,0.32,EX,4.38 - 4.40 * 2.67,null,4.4,4.38,null,2.67,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15B-21815/still.jpg,15B-21815,41,50,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15B-21815/video.mp4,ROUND,VVS1,-44.75,1547,495.04,,,13,43.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/1398438939.Pdf,1398438939,FNT,61,60.7
A,,Pinpoint  Feather  Chip,NONE,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,34.5,GIA 2404892067,,100%,NONE,NB,NO OPEN,,0.3,EX,4.28 - 4.30 * 2.63,null,4.3,4.28,null,2.63,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15B-21695/still.jpg,15B-21695,41.2,45,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15B-21695/video.mp4,ROUND,VVS1,-44.5,1554,466.2,,,13.5,43.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/2404892067.Pdf,2404892067,FNT,61,61.3
A,,Pinpoint  Feather,CW2,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,33,GIA 3395480863,,100%,NONE,NB,NO OPEN,,0.3,VG,4.31 - 4.33 * 2.62,null,4.33,4.31,null,2.62,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15B-21722/still.jpg,15B-21722,41.6,50,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15B-21722/video.mp4,ROUND,VVS1,-44.5,1554,466.2,,,12.5,44,,https://pckrstg.blob.core.windows.net/hdfile/Cert/3395480863.Pdf,3395480863,NONE,61,60.7
A,,Pinpoint  Feather,NONE,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,36.5,GIA 1429039490,,100%,NONE,NB,NO OPEN,,0.31,EX,4.31 - 4.32 * 2.71,null,4.32,4.31,null,2.71,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-141233/still.jpg,15R-141233,40.8,50,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-141233/video.mp4,ROUND,VVS1,-44.5,1554,481.74,MED,,16.5,43,,https://pckrstg.blob.core.windows.net/hdfile/Cert/1429039490.Pdf,1429039490,FNT,56,62.8
A,,Feather  Manufacturing Remnant,NONE,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,VG,,,,,36,GIA 2406891109,,100%,NONE,NB,NO OPEN,,0.3,VG,4.23 - 4.27 * 2.66,null,4.27,4.23,null,2.66,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-134255/still.jpg,15R-134255,40.8,50,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-134255/video.mp4,ROUND,VVS1,-44,1568,470.4,MED - STK,,15.5,43,,https://pckrstg.blob.core.windows.net/hdfile/Cert/2406891109.Pdf,2406891109,NONE,58,62.5
A,,Pinpoint,NONE,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,34.5,GIA 6395303564,,100%,NONE,NB,NO OPEN,,0.3,EX,4.31 - 4.32 * 2.67,null,4.32,4.31,null,2.67,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-120896/still.jpg,15R-120896,41,50,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-120896/video.mp4,ROUND,VVS1,-43.5,1582,474.6,MED - STK,,14.5,43.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/6395303564.Pdf,6395303564,FNT,58,61.9
A,,Pinpoint,CW0,F,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,33,GIA 6422151234,,100%,NONE,NB,NO OPEN,,0.31,EX,4.37 - 4.39 * 2.66,null,4.39,4.37,null,2.66,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-142162/still.jpg,15R-142162,41.8,45,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-142162/video.mp4,ROUND,VVS1,-43.5,1582,490.42,MED - STK,,12.5,44.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/6422151234.Pdf,6422151234,FNT,61,60.7
