Stock_No,Shape,Weight,Color,Clarity,Cut_Grade,Polish,Symmetry,Fluorescence_Intensity,Fluorescence_Color,Measurements,Lab,Certificate,Treatment,Rapa_Rate,Rate,Discount_x0025_,Amount,Fancy_Color,Fancy_Color_Intensity,Fancy_Color_Overtone,Depth_x0025_,Table_x0025_,Girdle_Thin,Girdle_Thick,Girdle_x0025_,Girdle_Condition,Culet_Size,Culet_Condition,Crown_Height,Crown_Angle,Pavilion_Depth,Pavilion_Angle,Laser_Inscription,Key_To_Symbol,Milky,Tinge,EyeClean,Comment,ImageLink,VideoLink,CertifateLink
K33471,RBC,0.30,F,SI1,VG,EX,EX,No,,4.18 - 4.19 * 2.70,Gia,6405255622,,2000.00,1380.00,-31.00,414.00,,,,64.60,56.00,STK to THK,STK to THK,5.00,F,,NON,17.00,37.50,43.00,40.60,GIA 6405255622,Crystal  Cloud,NO,N,YES,,,,
K33472,RBC,0.30,F,SI2,VG,EX,EX,No,,4.20 - 4.23 * 2.71,Gia,6405256847,,1700.00,1207.00,-29.00,362.10,,,,64.30,57.00,STK to THK,STK to THK,5.00,F,,NON,16.50,37.50,43.00,40.80,GIA 6405256847,Feather,NO,N,YES,,,,
K33475,RBC,0.30,H,SI1,VG,EX,EX,No,,4.18 - 4.19 * 2.69,Gia,1408256816,,1800.00,1350.00,-25.00,405.00,,,,64.20,54.00,STK to THK,STK to THK,5.00,F,,NON,17.50,37.00,42.00,40.00,GIA 1408256816,Crystal  Feather,NO,N,YES,,,,
K33479,RBC,0.30,G,SI1,VG,EX,EX,No,,4.20 - 4.21 * 2.70,Gia,6402256966,,1900.00,1349.00,-29.00,404.70,,,,64.30,58.00,STK to THK,STK to THK,5.00,F,,NON,16.50,38.00,42.50,40.60,GIA 6402256966,Crystal  Cloud  Feather,NO,N,YES,,,,
K33480,RBC,0.30,M,VS2,EX,EX,EX,STG,,4.26 - 4.28 * 2.67,Gia,7406256989,,1100.00,726.00,-34.00,217.80,,,,62.50,56.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.60,GIA 7406256989,Crystal,NO,N,YES,,,,
K33491,RBC,0.30,H,SI1,EX,EX,EX,No,,4.25 - 4.28 * 2.68,Gia,7401256676,,1800.00,1386.00,-23.00,415.80,,,,62.70,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 7401256676,Twinning Wisp,NO,N,YES,,,,
K33498,RBC,0.30,J,VS1,VG,EX,VG,MED,,4.14 - 4.19 * 2.70,Gia,2408256366,,1700.00,1156.00,-32.00,346.80,,,,64.80,57.00,STK to THK,STK to THK,5.00,F,,NON,17.00,38.00,43.00,40.60,GIA 2408256366,Crystal,NO,N,YES,,,,
K33499,RBC,0.30,F,SI1,VG,EX,EX,No,,4.20 - 4.23 * 2.69,Gia,2406256401,,2000.00,1380.00,-31.00,414.00,,,,63.80,56.00,STK to THK,STK to THK,5.00,F,,NON,17.50,38.50,41.50,39.80,GIA 2406256401,Crystal  Feather,NO,N,YES,,,,
K33501,RBC,0.30,E,VS2,VG,EX,EX,No,,4.19 - 4.22 * 2.69,Gia,1403256433,,2300.00,1449.00,-37.00,434.70,,,,64.10,58.00,MED to THK,MED to THK,4.50,F,,NON,16.00,37.00,43.50,41.00,GIA 1403256433,Feather,NO,N,YES,,,,
K33505,RBC,0.33,F,VVS1,EX,EX,EX,No,,4.45 - 4.47 * 2.71,Gia,1403370932,,2700.00,1836.00,-32.00,605.88,,,,60.60,59.00,MED to STK,MED to STK,4.00,F,,NON,13.50,33.00,43.50,41.20,GIA 1403370932,Cloud  Surface Graining,NO,N,YES,,,,
K33508,RBC,0.35,F,VS1,EX,EX,EX,VST,,4.51 - 4.54 * 2.82,Gia,2406256466,,2300.00,1449.00,-37.00,507.15,,,,62.50,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 2406256466,Crystal  Cloud  Pinpoint,NO,N,YES,,,,
