STATUS,PACKETCODE,SHAPE,CRTWT,COL,CLR,rapaport,CUT,POL,SYM,FLOURESENCE,NATTS,COL-SHADE,MILKY,eye_clean,DIA_MN,DIA_MX,DPL,TBL,HT,LW,LAB,type2a_name,heart_and_arrow,measurement,GIRDLE,LN,WD,CA,CH,PA,PD,KTSVIEW,CERT_NO,COMMENT,LOC,INS,ARRIMG,CERTIMG,VIDEOS,VIDEOS_MP4,ASSET_PATH,HRTIMG,DIAMONDIMG,TYPE2A_PATH,PLOTIMG,EFCM,culet,Origin,ROUGH_PHOTO_PATH,ROUGH_PLAN_PATH,Process Carat,final_carat,is_fancy,final_discount,RTE,final_amount
MKAV,6127007,ROUND,5.76,N,IF,14500.0,EX,EX,EX,NON,NO,NB,NO,EC0,11.33,11.39,62.6,57.0,7.12,null,GIA,null,null,11.33*11.39-7.12,STK,null,null,36.0,15.5,40.6,43.0,,2418669264,Minor details of polish are not shown.,HONGKONG,GIA 2418669264 ,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2418669264.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6127007.html,,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6127007.jpg,,,,NON,,,,null,5.76,0,-32.0,9860.0,56793.6
MKAV,1135052,ROUND,5.0,I,VVS1,34000.0,VG,VG,GD,NON,NO,LB,NO,EC0,10.58,10.74,64.3,57.0,6.86,null,GIA,null,NO,10.58*10.74-6.86,STK TO THK,null,null,34.0,14.5,41.4,44.0,NATURAL FEATHER EXTRA FACET,2223090303,null,MUMBAI,GIA 2223090303 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/1135052.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2223090303.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1135052.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1135052.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/1135052.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/1135052.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1135052.jpg,,https://d1wzmxdlubs910.cloudfront.net/PLOTIMG/1135052.png,NO,NON,ANGOLA,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PHOTO/1135052.jpg,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/1135052.png,7.68,5.0,0,-46.0,18360.0,91800.0
MKAV,1764502,ROUND,5.0,Q-R,VVS1,13500.0,VG,EX,VG,FNT,NO,NB,NO,EC0,10.61,10.76,64.0,55.0,6.83,null,GIA,null,NO,10.61*10.76-6.83,STK TO THK,null,null,37.0,17.0,40.2,42.5,Pinpoint  Feather,2223143558,null,MUMBAI,GIA 2223143558 ,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2223143558.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1764502.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1764502.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/1764502.jpg,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1764502.jpg,,https://d1wzmxdlubs910.cloudfront.net/PLOTIMG/1764502.png,NO,NON,CANADA,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PHOTO/1764502.jpg,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/1764502.png,8.47,5.0,0,-56.0,5940.0,29700.0
MKAV,6112006,ROUND,5.01,O-P,VVS2,13000.0,EX,EX,EX,NON,NO,NB,NO,EC0,10.84,10.91,62.3,59.0,6.78,null,GIA,null,null,10.84*10.91-6.78,STK,null,null,34.5,14.0,41.2,43.5,Pinpoint  Cloud,6395825690,null,HONGKONG,GIA 6395825690 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6112006.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6395825690.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6112006.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6112006.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6112006.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6112006.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6112006.jpg,,,,NON,NAMIBIA,,,null,5.01,0,-46.0,7020.0,35170.2
MKAV,6122005,ROUND,5.17,E,VS1,63000.0,EX,EX,EX,NON,YT,NB,NO,EC0,10.98,11.04,61.8,59.0,6.8,null,GIA,null,null,10.98*11.04-6.80,MED TO STK,null,null,35.5,15.0,40.6,43.0,Crystal  Feather  Needle,2408718524,Pinpoints are not shown.,HONGKONG,GIA 2408718524 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6122005.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2408718524.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6122005.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6122005.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6122005.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6122005.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6122005.jpg,,https://d1wzmxdlubs910.cloudfront.net/PLOTIMG/6122005.png,,NON,,,,null,5.17,0,-32.5,42525.0,219854.25
MKAV,1712848,ROUND,5.01,E,VS1,63000.0,EX,EX,EX,FNT,YT1,NB,NO,EC0,10.89,10.95,61.8,58.0,6.75,null,GIA,null,YES,10.89*10.95-6.75,STK,null,null,35.0,14.5,40.8,43.0,Crystal  Feather  Needle  Pinpoint,2225090281,Additional pinpoints are not shown.,MUMBAI,GIA 2225090281 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/1712848.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2225090281.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1712848.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1712848.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/1712848.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/1712848.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1712848.jpg,,https://d1wzmxdlubs910.cloudfront.net/PLOTIMG/1712848.png,NO,NON,ANGOLA,,,7.69,5.01,0,-44.0,35280.0,176752.8
MKAV,6126005,ROUND,5.05,H,VS1,37000.0,EX,EX,EX,NON,NO,NB,NO,EC0,10.96,11.02,61.3,59.0,6.74,null,GIA,null,null,10.96*11.02-6.74,MED TO STK,null,null,35.0,14.5,40.6,43.0,Crystal  Cloud  Feather  Needle,2417258068,Additional clouds  pinpoints and internal graining are not shown.,HONGKONG,GIA 2417258068 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6126005.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2417258068.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6126005.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6126005.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6126005.jpg,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6126005.jpg,,,,NON,,,,null,5.05,0,-28.9,26307.0,132850.35
MKAV,6119001,ROUND,5.42,J,VS1,22500.0,EX,EX,EX,NON,NO,NB,NO,EC0,11.19,11.27,62.3,59.0,6.99,null,GIA,null,null,11.19*11.27-6.99,STK,null,null,32.5,13.5,41.8,44.5,Crystal  Feather  Pinpoint  Cloud,7398825643,Additional pinpoints are not shown.,HONGKONG,GIA 7398825643 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6119001.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/7398825643.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6119001.html,,https://d1wzmxdlubs910.cloudfront.net/ASSET/6119001.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6119001.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6119001.jpg,,,,NON,NAMIBIA,,,null,5.42,0,-28.0,16200.0,87804.0
MKAV,6133007,ROUND,5.15,K,VS1,18000.0,EX,EX,EX,NON,NO,NB,NO,EC0,10.98,11.04,62.1,56.0,6.83,null,GIA,null,null,10.98*11.04-6.83,STK,null,null,34.5,15.0,40.8,43.0,Cloud  Feather  Needle,6411669283,Additional clouds are not shown. Pinpoints are not shown.,HONGKONG,GIA 6411669283 ,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6411669283.jpg,,,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6133007.jpg,,,,NON,,,,null,5.15,0,-25.0,13500.0,69525.0
MKAV,6122006,ROUND,5.02,E,VS2,53500.0,EX,EX,EX,NON,YT1,NB,NO,EC0,10.89,10.95,62.0,57.0,6.77,null,GIA,null,null,10.89*10.95-6.77,MED TO STK,null,null,35.5,15.5,40.6,43.0,Crystal  Feather  Cloud,6402718319,Additional clouds are not shown. Pinpoints are not shown.,HONGKONG,GIA 6402718319 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6122006.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6402718319.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6122006.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6122006.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6122006.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6122006.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6122006.jpg,,https://d1wzmxdlubs910.cloudfront.net/PLOTIMG/6122006.png,,NON,,,,null,5.02,0,-33.0,35845.0,179941.9
