stock_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
10235754,HK,G,round,1.00,F,SI1,VG,EX,EX,N,6.34x6.3x4.07,GIA,5403448540,7600,-41.50%,$4446.00,WH,M0,,,,,EC0,,Y,54.00,64.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235739,HK,G,round,0.30,J,VS2,EX,EX,EX,N,4.25x4.27x2.68,GIA,1403532048,1600,-35.50%,$309.60,WH,M0,,,,,EC0,,Y,55.00,62.80,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235738,HK,G,round,0.30,I,VS1,EX,EX,EX,N,4.23x4.25x2.68,GIA,2407753146,2000,-34.60%,$392.40,WH,M0,,,,,EC0,,Y,56.00,63.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235737,HK,G,round,0.30,I,VS1,EX,EX,EX,N,4.30x4.32x2.63,GIA,6395718765,2000,-34.60%,$392.40,WH,M0,,,,,EC0,,Y,60.00,61.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235735,HK,G,round,0.30,I,VS1,EX,EX,EX,N,4.26x4.29x2.68,GIA,1377733710,2000,-34.90%,$390.60,WH,M0,,,,,EC0,,Y,58.00,62.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235734,HK,G,round,0.30,I,VS1,EX,EX,EX,N,4.26x4.30x2.65,GIA,2387424524,2000,-34.90%,$390.60,WH,M0,,,,,EC0,,Y,58.00,62.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235732,HK,G,round,0.30,I,VS1,EX,EX,EX,N,4.35x4.38x2.61,GIA,2387742172,2000,-34.90%,$390.60,WH,M0,,,,,EC0,,Y,59.00,59.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235731,HK,G,round,0.30,G,VS1,EX,EX,EX,N,4.27x4.29x2.69,GIA,6405762121,2200,-32.00%,$448.80,WH,M0,,,,,EC0,,Y,56.00,62.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235730,HK,G,round,0.30,G,VS1,EX,EX,EX,N,4.29x4.31x2.67,GIA,7406756562,2200,-32.00%,$448.80,WH,M0,,,,,EC0,,Y,58.00,62.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235729,HK,G,round,0.30,G,VS1,EX,EX,EX,N,4.27x4.29x2.69,GIA,7401605532,2200,-32.20%,$447.48,WH,M0,,,,,EC0,,Y,56.00,62.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235728,HK,G,round,0.30,G,VS1,EX,EX,EX,N,4.24x4.27x2.70,GIA,6405411996,2200,-32.20%,$447.48,WH,M0,,,,,EC0,,Y,56.00,63.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
