REPORT_NO,STAGE,LOCATION,PACKET_NO,SHAPE,CTS,COLOR,PURITY,CUT,POLISH,SYMM,FLS,LAB,LENGTH_1,WIDTH,DEPTH,DEPTH_PER,TABLE_PER,DISC_PER,RATE,VALUE,NET_RATE,NET_VALUE,CROWN_ANGLE,CROWN_HEIGHT,PAV_ANGLE,PAV_HEIGHT,LWD,SHADE,PROPORTION,CULET,GIRDLE,CENTER_BLACK,SIDE_BLACK,CENTER_WHITE,SIDE_WHITE,MILKY,COMMENT_1,COMMENT_2,LASER_INSCRIPTION,ROUGH_MINE,BRILLIANCY,COP,POP,EYE_CLEAN,GIRDLE_PER,GRAINING,HA,LUSTER,NATURAL,RATIO,REPORT_COMMENT,KEY_TO_SYMBOLS,REPORT_DATE,STAR,DNA_LINK,VIDEO_JSON,VIDEO_MP4,CERTI_PDF,CERTI_JPG,REAL_IMAGE,ASST_SCOPE_IMAGE,HEART_IMAGE,DIAGRAM_IMAGE,ARROW_IMAGE
5396588914,A,INDIA,95378,ROUND,1.000,H,VVS2,GD,EX,GD,NON,GIA,6.15,6.01,4.03,66.30,64.00,-45.000,8900.00,8900.00,4895.00,4895.00,40.00,15.00,41.40,44.00,6.15-6.01*4.03,NONE,GD,NON,THK to VTK,0,0,0,0,ML-0,,,GIA 5396588914,,,,,YES,7.00,,GD,,N,,Additional pinpoints are not shown.,Pinpoint  Needle,22-07-2021,55.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=95378,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95378/95378.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95378/5396588914.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95378/5396588914.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95378/95378_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95378/95378_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95378/95378_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95378/95378_AR.jpg
355959664,A,INDIA,69450,ROUND,1.000,I,SI2,EX,EX,VG,NON,IGI,6.39,6.43,3.92,61.10,61.00,-52.000,5100.00,5100.00,2448.00,2448.00,32.20,12.50,41.50,44.50,6.39-6.43*3.92,NONE,EX,POINTED,MED TO SLT THK,0,,3,,ML-0,,,IGI 355959664,,,,,NO,4.70,,GD,,Y,,N/A,,20-02-2019,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=69450,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69450/69450.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69450/355959664.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69450/355959664.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69450/69450_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69450/69450_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69450/69450_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69450/69450_AR.jpg
1329185114,A,INDIA,69833,ROUND,1.000,G,I1,GD,VG,GD,NON,GIA,6.12,5.98,4.04,66.80,55.00,-32.000,4000.00,4000.00,2720.00,2720.00,40.00,19.00,39.00,40.50,6.12-5.98*4.04,NONE,GD,NON,VTN TO VTK,1,1,0,3,ML-0,,,GIA 1329185114,,,,,NO,7.00,,GD,,Y,,ADDITIONAL TWINNING WISPS  PINPOINTS AND SURFACE GRAINING ARE NOT SHOWN.,FEATHER  TWINNING WISP  CRYSTAL  INDENTED NATURAL  NATURAL  EXTRA FACET,03-07-2019,55.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=69833,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69833/69833.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69833/1329185114.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69833/1329185114.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69833/69833_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69833/69833_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69833/69833_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/69833/69833_AR.jpg
488127454,A,INDIA,KST-7206,ROUND,1.000,G,VVS2,VG,EX,VG,NON,IGI,6.15,6.24,3.99,64.30,59.50,-47.000,10300.00,10300.00,5459.00,5459.00,37.60,15.50,40.90,43.00,6.15-6.24*3.99,NONE,VG,Pointed,Slightly Thick To Thick (Faceted),-,-,-,-,ML-0,,,IGI 488127454,,,,,YES,5.60,NO,GD,,NO,,N/A,,18-08-2021,50.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=KST-7206,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7206/KST-7206.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7206/488127454.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7206/488127454.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7206/KST-7206_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7206/KST-7206_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7206/KST-7206_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7206/KST-7206_AR.jpg
7398654836,A,INDIA,95428,ROUND,1.000,D,VVS1,GD,EX,GD,MED,GIA,6.11,5.98,4.05,67.00,59.00,-59.000,15600.00,15600.00,6396.00,6396.00,40.00,17.50,40.40,42.50,6.11-5.98*4.05,NONE,GD,NON,STK to VTK,0,0,0,0,ML-0,,,GIA 7398654836,,,,,YES,7.00,,GD,,N,,,Feather,31-07-2021,60.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=95428,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95428/95428.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95428/7398654836.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95428/7398654836.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95428/95428_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95428/95428_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95428/95428_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95428/95428_AR.jpg
2387868149,A,INDIA,KST-7226,ROUND,1.000,F,VVS2,GD,EX,GD,NON,GIA,6.15,6.03,4.07,66.80,68.00,-52.000,11400.00,11400.00,5472.00,5472.00,40.00,13.50,42.80,46.00,6.15-6.03*4.07,NONE,GD,NON,THK to VTK,-,-,-,1,ML-0,,,GIA 2387868149,,,,,YES,7.00,NO,GD,,IN,,Surface graining is not shown.,Feather Pinpoint Indented Natural Natural,01-06-2021,55.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=KST-7226,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7226/KST-7226.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7226/2387868149.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7226/2387868149.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7226/KST-7226_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7226/KST-7226_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7226/KST-7226_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-7226/KST-7226_AR.jpg
6322610807,A,INDIA,70440,ROUND,1.000,N,VS1,EX,EX,EX,FNT,GIA,6.47,6.43,3.88,60.10,59.00,-27.000,3500.00,3500.00,2555.00,2555.00,34.00,13.50,40.60,42.50,6.47-6.43*3.88,NONE,3EX,NON,STK,,1,,,ML-0,,,GIA 6322610807,,,,,YES,4.00,N,EX,,N,,PINPOINTS ARE NOT SHOWN.,CRYSTAL  NEEDLE,10-05-2019,50.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=70440,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70440/70440.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70440/6322610807.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70440/6322610807.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70440/70440_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70440/70440_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70440/70440_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70440/70440_AR.jpg
365931728,A,INDIA,70631,ROUND,1.000,L,SI2,EX,EX,EX,NON,IGI,6.32,6.37,3.96,62.30,58.50,-51.000,3300.00,3300.00,1617.00,1617.00,36.00,15.00,40.70,43.00,6.32-6.37*3.96,LIGHT BROWN,3EX,POINTED,MED TO SLT THK,2,1,2,1,ML-0,,,IGI 365931728,,,,,NO,4.10,,GD,,Y,,IDEAL CUT ROUND BRILLIANT,,03-04-2019,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=70631,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70631/70631.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70631/365931728.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70631/365931728.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70631/70631_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70631/70631_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70631/70631_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/70631/70631_AR.jpg
6391671454,A,INDIA,95578,OVAL,1.010,D,VS2,,EX,EX,FNT,GIA,7.77,5.45,3.59,65.90,57.00,-31.000,7000.00,7070.00,4830.00,4878.30,0.00,0.00,0.00,0.00,7.77-5.45*3.59,NONE,3EX,NON,STK to THK,0,0,1,2,ML-0,,,GIA 6391671454,,,,,YES,,Y,,,N,1.43,Clouds  pinpoints and surface graining are not shown.,Crystal  Knot  Needle,31-07-2021,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=95578,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95578/95578.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95578/6391671454.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95578/6391671454.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95578/95578_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95578/95578_AS.jpg,null,null,null
499118471,A,INDIA,95581,ROUND,1.000,H,VVS1,EX,EX,EX,NON,IGI,6.30,6.37,3.96,62.40,59.50,-42.000,9300.00,9300.00,5394.00,5394.00,36.10,15.00,41.10,43.50,6.30-6.37*3.96,NONE,3EX,Pointed,Medium To Slightly Thick (Faceted),0,0,0,0,ML-0,,,IGI 499118471,,,,,YES,4.10,,GD,,N,,IDEAL CUT ROUND BRILLIANT,,28-10-2021,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=95581,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95581/95581.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95581/499118471.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95581/499118471.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95581/95581_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95581/95581_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95581/95581_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/95581/95581_AR.jpg
