No,STONEID,SHAPE,CARAT,COLOR,CLARITY,CUT,POLISH,SYMMETRY,FLOUR,CERTI_NAME,SHADE,EFAC,SINC,TINC,SOINC,TBINC,SBINC,EYECLEAN,LOCATION,HA,CULET,LUSTER,RAP,FINALGRATE,ISPHOTO,ISFANCY,ISNEWARRIVAL,PHOTOPATH,MOVIEPATH,CERTIPATH,CANGLE,CHEIGHT,PANGLE,PHEIGHT,CERTINO,DIAMETER,GIRDLE,GIRDLEDESC,HEIGHT,LENGTH,WIDTH,KEYTOSYMBOL,LOWERHALF,STARLENGTH,RATIO,TABLE,DEPTH,COMMENT,FANCYCOLOR,INTENSITY,OVERTONE,DISC,PERCARAT,AMOUNT
11,62724,CM,1.5,Fancy Yellow  Natural Even,SI1,,EX,VG,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,BXTL,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,2400,2364,false,true,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/62724.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=62724,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/6382277452.Pdf,0,0,0,0,6382277452,6.42,8.5,VTK to ETK,4.1,6.51,6.33,Crystal  Pinpoint,50,50,1.03,59,64.8,Additional pinpoints are not shown.,Yellow , Fancy,,1.5,2364,3546
12,58143,RA,3.01,Fancy Deep Brownish Yellow  Natural Even,VS1,,VG,VG,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,SM,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,2400,2364,false,true,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/361-1.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=361-1,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/5376618146.Pdf,0,0,0,0,5376618146,7.85,8,ETK,5.24,8.18,7.52,Indented Natural,50,50,1.09,57,69.7,Surface graining is not shown.,Yellow , Fancy Deep,Brownish,1.5,2364,7115.64
13,60084,RA,4.01,Fancy Deep Brownish Yellow  Natural Even,VS1,,EX,EX,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,FTR,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,3200,3152,false,true,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/60084.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=60084,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/6371858835.Pdf,0,0,0,0,6371858835,8.645,8,ETK,5.52,9.38,7.91,Cloud  Crystal  Feather  Needle  Indented Natural,50,50,1.19,63,69.7,Additional clouds  pinpoints  internal graining and surface graining are not shown.,Yellow , Fancy Deep,Brownish,1.5,3152,12639.52
14,70311,RA,0.41,E,VS1,,VG,G,FNT,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,2300,1076.11,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/70311.JPG,,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/5386747746.Pdf,0,0,0,0,5386747746,4.375,4.5,MED to VTK,2.61,5,3.75,Manufacturing Remnant  Cloud  Indented Natural,50,50,1.33,73,69.6,,,,,53.21260869566,1076.11,441.2051
15,70969,RA,0.34,D,VVS2,,EX,G,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,N,FTR,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,2200,964.32,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/70969.JPG,,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/6385682806.Pdf,0,0,0,0,6385682806,3.93,6,THK to VTK,2.4,4.08,3.78,Feather  Surface Graining,50,50,1.08,77,63.5,,,,,56.16727272728,964.32,327.8688
16,73912,RA,0.5,H,VS2,,G,G,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,BPP,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,2300,1110.1,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/73912.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=73912,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/6382932747.Pdf,0,0,0,0,6382932747,4.7,4.5,MED to THK,2.79,5.18,4.22,Feather  Cloud  Crystal  Indented Natural,50,50,1.23,78,66,,,,,51.7347826087,1110.1,555.05
17,59276,CM,1,J,VVS1,,EX,VG,FNT,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,4300,1778.91,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/367-82.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=367-82,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/1375706516.Pdf,0,0,0,0,1375706516,5.58,8,VTK to ETK,3.79,6.03,5.13,Feather  Chip  Natural,50,50,1.18,59,74,Surface graining is not shown.,,,,58.63,1778.91,1778.91
18,60695,RA,1.83,Y,VVS1,,EX,EX,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,3200,2505.84,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/60695.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=60695,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/2388103259.Pdf,0,0,0,0,2388103259,6.825,5,VTK,4.23,7.51,6.14,Feather  Natural,50,50,1.22,62,68.9,,,,,21.6925,2505.84,4585.6872
19,60969,CB,1,I,VVS2,,EX,VG,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,N,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,5000,2068.5,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/60969.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=60969,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/2376885061.Pdf,0,0,0,0,2376885061,5.805,7,VTK to ETK,3.97,5.91,5.7,Cloud  Pinpoint,50,50,1.04,63,69.6,,,,,58.63,2068.5,2068.5
20,65018,RA,1,I,VS1,,EX,VG,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,4800,2103.96,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/65018.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=65018,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/6381175493.Pdf,0,0,0,0,6381175493,5.545,6,VTK,3.62,6.06,5.03,Feather,50,50,1.2,70,72,,,,,56.1675,2103.96,2103.96
21,67709,SRD,0.52,G,IF,,EX,VG,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,N,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,3100,1496.22,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/67709.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=67709,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/2387333753.Pdf,0,0,0,0,2387333753,4.67,3,STK,3,4.76,4.58,Minor Details of Polish,50,50,1.04,65,65.5,,,,,51.73483870968,1496.22,778.0344
22,62725,PM,1,G,VVS2,,EX,VG,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,WPP,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,6800,3549.94,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/62725.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=62725,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/6372995276.Pdf,0,0,0,0,6372995276,5.5,3,STK,4,5.52,5.48,Chip  Pinpoint,50,50,1.01,70,73.1,,,,,47.795,3549.94,3549.94
23,64687,R,0.69,D,FL,EX,EX,EX,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,N,N,N,N,N,100%EYECLEAN,INDIA,80%,NON,EXCELLENT,7000,5033.35,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/64687.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=64687,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/2384446686.Pdf,33,13.5,40.8,43,2384446686,5.765,3.5,MED to STK,3.44,5.78,5.75,,75,50,1.01,59,59.6,,,,,28.095,5033.35,3473.0115
24,64933,R,1.5,M,I1,F,VG,G,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,WINC,N,BGPP,BGPP,75%EYECLEAN,INDIA,NO,NON,EXCELLENT,2800,1778.91,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/64933.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=64933,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/7388499330.Pdf,40,19,40.2,42,7388499330,7.01,6,STK to VTK,4.68,7.06,6.96,Feather  Cloud  Twinning Wisp  Crystal  Indented Natural  Needle  Natural  Extra Facet,75,45,1.01,55,66.7,Additional clouds  additional twinning wisps  pinpoints and surface graining are not shown.,,,,36.4675,1778.91,2668.365
25,73335,RA,0.36,D,VVS1,,VG,VG,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,WPP,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,2400,1193.82,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/73335.JPG,,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/1387907777.Pdf,0,0,0,0,1387907777,4.36,5,VTK,2.16,5.14,3.58,Internal Graining  Indented Natural  Surface Graining,50,50,1.44,72,60.3,,,,,50.2575,1193.82,429.7752
26,80500,E,0.4,D,IF,,VG,G,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,N,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,3200,1386.88,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/80500.JPG,,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/2397555210.Pdf,0,0,0,0,2397555210,4.235,3,MED to STK,2.25,4.89,3.58,Minor Details of Polish,50,50,1.37,67,62.7,,,,,56.66,1386.88,554.752
27,62716,SRD,1,G,VS1,,EX,EX,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,6400,2868.32,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/62716.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=62716,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/2377995260.Pdf,0,0,0,0,2377995260,5.535,3.5,THK,3.71,5.65,5.42,Feather  Cloud,50,50,1.04,67,68.4,,,,,55.1825,2868.32,2868.32
28,63167,R,0.76,I,VVS1,EX,EX,EX,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,WPP,N,N,N,N,100%EYECLEAN,INDIA,80%,NON,EXCELLENT,4200,2957.96,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/63167.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=63167,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/7382322905.Pdf,35,15,41.4,44,7382322905,5.81,4,MED to STK,3.66,5.83,5.79,Feather  Manufacturing Remnant  Surface Graining,80,45,1.01,57,63,,,,,29.57238095239,2957.96,2248.0496
29,63173,R,0.84,H,VS2,EX,EX,EX,FNT,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,N,SM,N,BPP,100%EYECLEAN,INDIA,80%,NON,EXCELLENT,4500,3102.75,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/63173.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=63173,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/5383321201.Pdf,35,15,41.4,44,5383321201,5.995,4,MED to STK,3.78,6.01,5.98,Crystal  Feather  Indented Natural,80,50,1.01,57,63.1,,,,,31.05,3102.75,2606.31
30,61611,RA,1,G,SI1,,EX,VG,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,FTR,FTR,N,BXTL,N,75%EYECLEAN,INDIA,NO,NON,EXCELLENT,5400,2101.01,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/61611.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=61611,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/2377885063.Pdf,0,0,0,0,2377885063,5.465,8,ETK,3.41,6.01,4.92,Crystal  Feather  Needle  Cloud  Natural,50,50,1.22,68,69.2,,,,,61.09240740741,2101.01,2101.01
31,63512,SRD,1,J,IF,,EX,EX,NON,GIA,NO BROWN   NO GREEN   NO MILKY,NONE,N,N,N,N,N,100%EYECLEAN,INDIA,NO,NON,EXCELLENT,4600,1993.64,false,false,0,https://pcknstg.blob.core.windows.net/hdfile/DimImg/63512.JPG,https://pcknstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/Vision360.html?d=63512,https://pcknstg.blob.core.windows.net/hdfile/DimCrt/2386062925.Pdf,0,0,0,0,2386062925,5.52,3.5,STK,3.67,5.63,5.41,,50,50,1.04,65,67.7,Minor details of polish are not shown.,,,,56.66,1993.64,1993.64
