field_stock_refno,field_stock_location,field_stock_certno,field_stock_diamond_image,field_stock_videopath,field_stock_shape,field_stock_carat,field_stock_color,field_stock_clarity,field_stock_cut,field_stock_polish,field_stock_symmetry,field_stock_fluorescence,field_stock_diameter,field_stock_table,field_stock_depth,field_stock_certificate,field_stock_rap,field_stock_discount,field_stock_pr_pc,price__number,field_stock_bgm,field_stock_tabinc,field_stock_blackinc,field_stock_eyeclean,field_stock_parishicomments,field_stock_hacode,field_stock_weight,field_stock_girdle,field_stock_girdlecondition,field_stock_ca,field_stock_ch,field_stock_pa,field_stock_ph,field_stock_culet,field_stock_keytosymbols,field_stock_comments,field_stock_status1
225778,India,5386734695,https:\/\/videop.co.in\/imaged\/S-143A-300\/S-143A-300.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-143A-300\u0026zoomslide=1\u0026id=225778,RD,1.10,E,VVS2,EX,EX,EX,FNT,6.6-6.57*4.09,56.00,62.20,GIA,12400,-38.70,7601,8361.320000,null,-,-,0,D  ,NO,1.10,MED-STK,Faceted,35.50,15.50,40.60,42.50,N,Pinpoint  Cloud,Additional clouds  additional pinpoints and surface graining are not shown.,S
225031,India,6214762238,https:\/\/videop.co.in\/imaged\/S-143D-3600\/S-143D-3600.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-143D-3600\u0026zoomslide=1\u0026id=225031,RD,1.00,E,VVS2,GD,EX,GD,NONE,6.02-6.13*4,56.00,65.80,GIA,12400,-62.70,4625,4625.200000,null,-,-,0,-,NO,1.00,STK-VTK,Faceted,40.00,18.50,39.00,40.00,VSM,Pinpoint  Indented Natural  Natural,Additional pinpoints are not shown.,S
226860,India,5212774681,https:\/\/videop.co.in\/imaged\/S-146D-4500\/S-146D-4500.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-146D-4500\u0026zoomslide=1\u0026id=226860,RD,1.09,E,VVS2,EX,EX,EX,FNT,6.58-6.6*4.08,57.00,61.90,GIA,12400,-38.70,7601,8285.310000,null,-,-,0,-,NO,1.09,MED-STK,Faceted,36.50,16.00,40.80,43.00,N,Needle  Feather  Pinpoint,Surface graining is not shown.,S
221587,India,7388067394,https:\/\/videop.co.in\/imaged\/S-108B-500\/S-108B-500.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-108B-500\u0026zoomslide=1\u0026id=221587,RD,1.00,E,VVS2,VG,EX,VG,NONE,6.39-6.45*3.9,63.00,60.80,GIA,12400,-47.70,6485,6485.200000,null,-,-,0,INSPECTION ADVISABLE   ,NO,1.00,THN-STK,Faceted,32.50,12.00,41.80,44.50,N,Pinpoint  Feather  Natural,Clouds  additional pinpoints and surface graining are not shown.,S
228713,India,6395567404,https:\/\/videop.co.in\/imaged\/T-10C-8700\/T-10C-8700.jpg ,https:\/\/videop.co.in\/vision360.html?d=T-10C-8700\u0026zoomslide=1\u0026id=228713,RD,1.00,E,VVS2,FR,VG,FR,NONE,5.85-6.04*4.06,55.00,68.40,GIA,12400,-67.70,4005,4005.200000,null,-,-,0,-,NO,1.00,VTK-ETK,Faceted,40.00,19.00,39.40,41.00,VSM,Pinpoint  Natural,Additional pinpoints are not shown.,S
231311,India,2398563164,https:\/\/videop.co.in\/imaged\/T-11G-8001\/T-11G-8001.jpg ,https:\/\/videop.co.in\/vision360.html?d=T-11G-8001\u0026zoomslide=1\u0026id=231311,RD,0.53,E,VVS2,EX,EX,EX,FNT,5.2-5.22*3.16,58.00,60.70,GIA,4600,-41.70,2681,1421.350000,null,-,-,0,-,NO,0.53,STK-,Faceted,34.00,14.00,40.60,43.00,N,Pinpoint  Cloud,null,S
226735,India,2215780650,https:\/\/videop.co.in\/imaged\/S-132D-1300\/S-132D-1300.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-132D-1300\u0026zoomslide=1\u0026id=226735,RD,0.81,E,VVS2,EX,EX,EX,FNT,6.04-6.05*3.68,57.00,60.90,GIA,5900,-23.70,4501,3646.380000,null,-,-,0,  FNT+,NO,0.81,THN-MED,Faceted,34.00,14.50,40.80,43.00,N,Cloud  Pinpoint,null,S
227448,India,2211802336,https:\/\/videop.co.in\/imaged\/S-148G-6300\/S-148G-6300.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-148G-6300\u0026zoomslide=1\u0026id=227448,RD,0.80,E,VVS2,EX,EX,EX,NONE,6.11-6.13*3.56,57.00,58.20,GIA,5900,-16.70,4914,3931.760000,null,-,-,0,-,NO,0.80,THN-MED,Faceted,32.00,13.50,40.80,42.50,VSM,Needle  Feather,null,S
227611,India,7391216858,https:\/\/videop.co.in\/imaged\/S-148G-6301\/S-148G-6301.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-148G-6301\u0026zoomslide=1\u0026id=227611,RD,0.76,E,VVS2,EX,EX,EX,NONE,6-6.03*3.53,59.00,58.70,GIA,5900,-20.70,4678,3555.810000,null,-,-,0,-,NO,0.76,THN-MED,Faceted,31.50,13.00,41.00,43.50,N,Indented Natural  Pinpoint  Needle,null,S
219748,India,7376718445,https:\/\/videop.co.in\/imaged\/S-85C-701\/S-85C-701.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-85C-701\u0026zoomslide=1\u0026id=219748,RD,1.00,E,IF,VG,VG,VG,NONE,6.36-6.42*3.91,64.00,61.20,GIA,14800,-46.70,7888,7888.400000,null,-,-,0,-,NO,1.00,MED-THK,Faceted,30.50,10.50,42.00,45.00,N,null,Minor details of polish are not shown.,S
