field_stock_refno,field_stock_location,field_stock_certno,field_stock_diamond_image,field_stock_videopath,field_stock_shape,field_stock_carat,field_stock_color,field_stock_clarity,field_stock_cut,field_stock_polish,field_stock_symmetry,field_stock_fluorescence,field_stock_diameter,field_stock_table,field_stock_depth,field_stock_certificate,field_stock_rap,field_stock_discount,field_stock_pr_pc,price__number,field_stock_bgm,field_stock_tabinc,field_stock_blackinc,field_stock_eyeclean,field_stock_parishicomments,field_stock_hacode,field_stock_weight,field_stock_girdle,field_stock_girdlecondition,field_stock_ca,field_stock_ch,field_stock_pa,field_stock_ph,field_stock_culet,field_stock_keytosymbols,field_stock_comments,field_stock_status1
231804,HK,2397709668,https:\/\/videop.co.in\/imaged\/T-18G-3300\/T-18G-3300.jpg,https:\/\/videop.co.in\/vision360.html?d=T-18G-3300\u0026zoomslide=1\u0026id=231804,RD,1.03,H,VVS2,EX,EX,EX,STR,6.44-6.47*4.01,56.00,62.20,GIA,9200,-42.50,5290,5448.700000,null,-,-,0,null,NO,1.03,MED-STK,null,35.00,15.50,40.80,43.00,N,Needle  Pinpoint,null,L
233082,HK,6401531618,https:\/\/videop.co.in\/imaged\/T-26E-6501\/T-26E-6501.jpg,https:\/\/videop.co.in\/vision360.html?d=T-26E-6501\u0026zoomslide=1\u0026id=233082,RD,1.03,G,VS2,EX,EX,EX,NONE,6.51-6.55*3.95,59.00,60.50,GIA,9300,-28.50,6649,6848.990000,null,-,-,0,null,NO,1.03,MED-STK,null,32.00,13.00,41.40,44.00,N,Crystal  Needle,null,L
28333,HK,2386108624,https:\/\/videop.co.in\/imaged\/HK-6873\/HK-6873.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6873\u0026zoomslide=1\u0026id=28333,RD,1.21,M,SI1,EX,EX,EX,MED,6.77-6.79*4.25,56.00,62.80,GIA,3300,-36.50,2095,2535.560000,null,null,null,null,null,null,1.21,MED-STK,Faceted,35.50,15.50,40.80,43.00,N,Cloud  Feather  Crystal  Needle  Indented Natural  Natural,Additional clouds are not shown. Pinpoints are not shown.,L
28491,HK,6391901947,https:\/\/videop.co.in\/imaged\/HK-6996\/HK-6996.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6996\u0026zoomslide=1\u0026id=28491,RD,1.02,J,VS2,EX,EX,EX,MED,6.44-6.46*3.99,59.00,61.80,GIA,5400,-32.50,3645,3717.900000,null,null,null,null,null,null,1.02,MED-STK,Faceted,32.50,13.00,41.80,44.50,N,Crystal  Feather,Pinpoints are not shown.,L
28505,HK,2396813539,https:\/\/videop.co.in\/imaged\/HK-7010\/HK-7010.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7010\u0026zoomslide=1\u0026id=28505,RD,1.00,G,SI2,EX,EX,EX,NONE,6.34-6.39*3.98,59.00,62.50,GIA,6100,-30.50,4239,4239.500000,null,null,null,null,null,null,1.00,MED-STK,Faceted,36.00,15.00,41.00,43.50,N,Twinning Wisp  Feather  Crystal  Needle,Additional twinning wisps  clouds  pinpoints and surface graining are not shown.,L
28671,HK,6395887273,https:\/\/videop.co.in\/imaged\/HK-7153\/HK-7153.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7153\u0026zoomslide=1\u0026id=28671,RD,1.01,L,VVS2,EX,EX,EX,STR,6.4-6.43*3.99,60.00,62.20,GIA,4300,-38.50,2644,2670.950000,null,null,null,null,null,null,1.01,MED-STK,Faceted,34.00,13.50,41.80,44.50,N,Pinpoint  Indented Natural  Natural,Additional pinpoints  internal graining and surface graining are not shown.,L
28673,HK,7402094494,https:\/\/videop.co.in\/imaged\/HK-7155\/HK-7155.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7155\u0026zoomslide=1\u0026id=28673,RD,1.05,K,VVS2,EX,EX,EX,MED,6.52-6.56*4.01,60.00,61.30,GIA,4900,-32.50,3307,3472.880000,null,null,null,null,null,null,1.05,MED-STK,Faceted,33.00,13.00,41.60,44.50,N,Cloud  Needle  Feather  Indented Natural,null,L
233494,HK,5403574827,https:\/\/videop.co.in\/imaged\/T-26H-15400\/T-26H-15400.jpg,https:\/\/videop.co.in\/vision360.html?d=T-26H-15400\u0026zoomslide=1\u0026id=233494,RD,1.03,H,VS1,EX,EX,EX,FNT,6.43-6.47*4.03,59.00,62.50,GIA,8800,-31.50,6028,6208.840000,null,-,-,0,null,NO,1.03,MED-STK,null,34.00,14.00,41.80,44.50,N,Crystal  Feather,null,L
28486,HK,6392975753,https:\/\/videop.co.in\/imaged\/HK-6991\/HK-6991.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6991\u0026zoomslide=1\u0026id=28486,RD,1.01,M,SI2,EX,EX,EX,FNT,6.45-6.48*3.88,61.00,60.00,GIA,2900,-30.50,2015,2035.660000,null,null,null,null,null,null,1.01,STK-,Faceted,32.50,12.50,40.80,43.00,N,Crystal  Feather  Needle,Clouds  pinpoints and surface graining are not shown.,L
28511,HK,3395285093,https:\/\/videop.co.in\/imaged\/HK-7016\/HK-7016.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7016\u0026zoomslide=1\u0026id=28511,RD,1.01,M,VS2,EX,EX,EX,MED,6.39-6.42*3.99,57.00,62.30,GIA,3500,-30.50,2432,2456.830000,null,null,null,null,null,null,1.01,MED-,Faceted,36.50,16.00,40.80,43.00,N,Cloud  Crystal  Needle,Additional clouds are not shown. Pinpoints are not shown.,L
28818,HK,1418126865,https:\/\/videop.co.in\/imaged\/HK-7300\/HK-7300.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7300\u0026zoomslide=1\u0026id=28818,RD,1.50,H,VVS2,EX,EX,EX,FNT,7.25-7.3*4.59,56.00,63.10,GIA,11800,-29.50,8319,12478.500000,null,null,null,null,-,null,1.50,MED-STK,Faceted,36.50,16.50,41.00,43.50,N,Needle  Pinpoint,null,L
228063,HK,6392169336,https:\/\/videop.co.in\/imaged\/S-148I-10500\/S-148I-10500.jpg,https:\/\/videop.co.in\/vision360.html?d=S-148I-10500\u0026zoomslide=1\u0026id=228063,HE,1.20,H,VVS2,null,EX,VG,FNT,6.41-7.37*4.33,59.00,58.70,GIA,5900,-30.50,4100,4920.600000,null,-,-,0,null,NO,1.20,MED-THK,null,38.70,14.50,41.20,39.50,N,Cloud  Feather  Indented Natural,null,L
234960,HK,7401941467,https:\/\/videop.co.in\/imaged\/T-41C-2800\/T-41C-2800.jpg,https:\/\/videop.co.in\/vision360.html?d=T-41C-2800\u0026zoomslide=1\u0026id=234960,HE,1.01,G,VS2,null,EX,EX,MED,5.78-6.79*4.12,59.00,60.70,GIA,6200,-39.50,3751,3788.510000,null,-,-,0,null,NO,1.01,VTK-ETK,null,40.50,16.30,40.10,37.50,N,Crystal  Feather  Needle  Knot,null,L
28667,HK,6385535012,https:\/\/videop.co.in\/imaged\/HK-7149\/HK-7149.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7149\u0026zoomslide=1\u0026id=28667,RD,1.01,L,VVS2,EX,EX,EX,STR,6.47-6.49*3.9,61.00,60.20,GIA,4300,-40.50,2558,2584.090000,null,null,null,null,null,null,1.01,MED-STK,Faceted,33.50,13.00,40.80,43.00,N,Pinpoint,Additional pinpoints are not shown.,L
28669,HK,6392989712,https:\/\/videop.co.in\/imaged\/HK-7151\/HK-7151.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7151\u0026zoomslide=1\u0026id=28669,RD,1.01,K,VVS2,EX,EX,EX,STR,6.44-6.48*3.93,59.00,60.80,GIA,4900,-38.50,3013,3043.640000,null,null,null,null,null,null,1.01,STK-,Faceted,33.00,13.50,41.20,43.50,N,Pinpoint,null,L
28685,HK,7398977461,https:\/\/videop.co.in\/imaged\/HK-7167\/HK-7167.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7167\u0026zoomslide=1\u0026id=28685,RD,3.05,M,VVS2,EX,EX,EX,MED,9.19-9.24*5.77,57.00,62.60,GIA,8700,-30.50,6046,18441.830000,null,null,null,null,null,null,3.05,STK-,Faceted,35.50,15.50,40.80,43.00,N,Needle,Surface graining is not shown.,L
237023,HK,6415071187,https:\/\/videop.co.in\/imaged\/T-56B-400\/T-56B-400.jpg,https:\/\/videop.co.in\/vision360.html?d=T-56B-400\u0026zoomslide=1\u0026id=237023,RD,1.22,E,VVS1,EX,EX,EX,NONE,6.81-6.84*4.23,57.00,61.90,GIA,14100,-21.50,11068,13503.570000,null,-,-,0,null,ID,1.22,MED-STK,null,34.50,15.00,40.80,43.00,null,Pinpoint  Feather,null,L
27067,HK,2356619533,https:\/\/videop.co.in\/imaged\/SC-206075\/SC-206075.jpg,https:\/\/videop.co.in\/vision360.html?d=SC-206075\u0026zoomslide=1\u0026id=27067,OV,1.51,I,SI2,null,VG,VG,NONE,8.22-6.1*0,55.00,64.00,GIA,6400,-40.50,3808,5750.080000,null,null,null,null,-,null,1.51,-,null,0.00,0.00,0.00,0.00,NON,Twinning Wisp  Feather,null,L
224293,HK,6392326069,https:\/\/videop.co.in\/imaged\/S-116D-1201\/S-116D-1201.jpg,https:\/\/videop.co.in\/vision360.html?d=S-116D-1201\u0026zoomslide=1\u0026id=224293,RD,0.26,E,IF,EX,EX,EX,NONE,4.18-4.2*2.51,60.00,60.00,GIA,1550,9.50,1697,441.290000,null,-,-,0,null,NO,0.26,MED-STK,null,31.50,12.50,41.60,44.00,N,Minor Details of Polish,null,L
28921,HK,3395089832,https:\/\/videop.co.in\/imaged\/HK-7370\/HK-7370.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7370\u0026zoomslide=1\u0026id=28921,RD,0.23,D,VVS1,EX,EX,EX,NONE,3.9-3.93*2.45,58.00,62.70,GIA,1550,5.50,1635,376.110000,null,null,null,null,null,null,0.23,MED-STK,Faceted,33.50,14.00,41.80,44.50,N,Pinpoint  Feather  Indented Natural,null,L
28932,HK,7416370179,https:\/\/videop.co.in\/imaged\/HK-7381\/HK-7381.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7381\u0026zoomslide=1\u0026id=28932,RD,1.01,L,VVS2,EX,EX,EX,MED,6.35-6.4*4.01,56.00,62.90,GIA,4300,-32.50,2902,2931.530000,null,null,null,null,-,null,1.01,MED-,Faceted,36.50,16.00,40.80,43.00,N,Pinpoint,null,L
229680,HK,5393778683,https:\/\/videop.co.in\/imaged\/T-11G-7401\/T-11G-7401.jpg,https:\/\/videop.co.in\/vision360.html?d=T-11G-7401\u0026zoomslide=1\u0026id=229680,RD,1.01,F,SI2,EX,EX,EX,NONE,6.51-6.54*3.93,60.00,60.30,GIA,6500,-30.50,4517,4562.680000,null,-,-,1,null,NO,1.01,MED-STK,null,31.50,12.50,41.80,44.50,N,Crystal  Feather  Needle,null,L
28337,HK,2358071821,https:\/\/videop.co.in\/imaged\/HK-6877\/HK-6877.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6877\u0026zoomslide=1\u0026id=28337,RD,1.11,M,VVS2,EX,EX,EX,NONE,6.56-6.59*4.12,58.00,62.70,GIA,3800,-30.50,2641,2931.510000,null,null,null,null,null,null,1.11,STK-,Faceted,35.50,15.00,41.00,43.50,N,Needle,Clouds are not shown.,L
28483,HK,1373779763,https:\/\/videop.co.in\/imaged\/HK-6988\/HK-6988.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6988\u0026zoomslide=1\u0026id=28483,RD,1.01,M,VVS1,EX,EX,EX,NONE,6.5-6.53*3.92,60.00,60.20,GIA,4000,-32.50,2700,2727.000000,null,null,null,null,null,null,1.01,MED-STK,Faceted,31.50,12.50,41.40,44.00,N,Cloud  Pinpoint,Additional pinpoints are not shown.,L
28497,HK,7398122738,https:\/\/videop.co.in\/imaged\/HK-7002\/HK-7002.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7002\u0026zoomslide=1\u0026id=28497,RD,1.03,L,SI2,EX,EX,EX,FNT,6.44-6.46*3.98,61.00,61.70,GIA,3300,-32.50,2227,2294.330000,null,null,null,null,null,null,1.03,STK-,Faceted,35.00,14.00,41.20,43.50,N,Crystal  Pinpoint,null,L
28514,HK,1398811706,https:\/\/videop.co.in\/imaged\/HK-7019\/HK-7019.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7019\u0026zoomslide=1\u0026id=28514,RD,1.01,G,SI2,EX,EX,EX,NONE,6.34-6.38*4.01,55.00,63.00,GIA,6100,-25.50,4544,4589.950000,null,null,null,null,null,null,1.01,THN-STK,Faceted,36.50,16.50,40.60,43.00,N,Twinning Wisp  Feather  Indented Natural  Natural,Additional twinning wisps  pinpoints and surface graining are not shown.,L
28515,HK,7381539232,https:\/\/videop.co.in\/imaged\/HK-7020\/HK-7020.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7020\u0026zoomslide=1\u0026id=28515,RD,1.01,L,VS2,GD,EX,VG,STR,6.05-6.13*4.05,57.00,66.50,GIA,3900,-48.50,2008,2028.590000,null,null,null,null,null,null,1.01,THK-VTK,Faceted,40.00,18.50,39.40,41.00,N,Crystal  Feather  Pinpoint  Natural,Additional pinpoints are not shown.,L
28485,HK,1385837713,https:\/\/videop.co.in\/imaged\/HK-6990\/HK-6990.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6990\u0026zoomslide=1\u0026id=28485,RD,1.19,L,SI1,EX,EX,EX,FNT,6.85-6.89*4.08,61.00,59.40,GIA,3600,-29.50,2538,3020.220000,null,null,null,null,null,null,1.19,STK-,Faceted,32.50,12.50,40.80,43.00,N,Feather  Crystal  Cloud  Needle  Indented Natural,Pinpoints are not shown.,L
28666,HK,6395687217,https:\/\/videop.co.in\/imaged\/HK-7148\/HK-7148.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7148\u0026zoomslide=1\u0026id=28666,RD,1.01,L,VVS2,EX,EX,EX,NONE,6.53-6.55*3.88,60.00,59.30,GIA,4300,-29.50,3031,3061.820000,null,null,null,null,null,null,1.01,MED-STK,Faceted,33.00,13.00,40.80,43.00,N,Needle  Pinpoint  Cloud,Surface graining is not shown.,L
235036,HK,2414082094,https:\/\/videop.co.in\/imaged\/T-36F-6300\/T-36F-6300.jpg,https:\/\/videop.co.in\/vision360.html?d=T-36F-6300\u0026zoomslide=1\u0026id=235036,RD,1.02,F,VVS1,EX,EX,EX,STR,6.38-6.42*4.01,57.00,62.70,GIA,13000,-45.50,7085,7226.700000,null,-,-,0,-,NO,1.02,THN-STK,null,35.00,15.50,41.00,43.50,N,Pinpoint  Feather,null,L
28487,HK,6401208028,https:\/\/videop.co.in\/imaged\/HK-6992\/HK-6992.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6992\u0026zoomslide=1\u0026id=28487,RD,1.00,G,SI2,EX,EX,EX,NONE,6.4-6.41*3.95,61.00,61.70,GIA,6100,-27.50,4422,4422.500000,null,null,null,null,null,null,1.00,STK-,Faceted,33.50,12.50,41.80,44.50,N,Twinning Wisp  Feather,Additional twinning wisps  pinpoints and surface graining are not shown.,L
28510,HK,6401424415,https:\/\/videop.co.in\/imaged\/HK-7015\/HK-7015.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7015\u0026zoomslide=1\u0026id=28510,RD,1.05,J,VS1,EX,EX,EX,MED,6.42-6.47*4.08,57.00,63.30,GIA,5700,-32.50,3847,4039.880000,null,null,null,null,null,null,1.05,MED-STK,Faceted,35.50,15.50,41.00,43.50,N,Cloud  Crystal  Needle,Pinpoints are not shown.,L
28668,HK,2387759900,https:\/\/videop.co.in\/imaged\/HK-7150\/HK-7150.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7150\u0026zoomslide=1\u0026id=28668,RD,1.01,M,VVS2,EX,EX,EX,NONE,6.4-6.42*3.92,60.00,61.10,GIA,3800,-29.50,2679,2705.790000,null,null,null,null,null,null,1.01,MED-STK,Faceted,34.00,13.50,40.80,43.00,N,Needle  Feather,Pinpoints are not shown.,L
28686,HK,3385833057,https:\/\/videop.co.in\/imaged\/HK-7168\/HK-7168.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7168\u0026zoomslide=1\u0026id=28686,RD,1.01,F,VVS1,EX,EX,EX,STR,6.38-6.42*4.01,57.00,62.70,GIA,13000,-42.50,7475,7549.750000,null,null,null,null,null,null,1.01,THN-STK,Faceted,34.50,15.00,41.40,44.00,N,Pinpoint,Additional pinpoints are not shown. Surface graining is not shown.,L
234868,HK,6405744460,https:\/\/videop.co.in\/imaged\/T-44H-10500\/T-44H-10500.jpg,https:\/\/videop.co.in\/vision360.html?d=T-44H-10500\u0026zoomslide=1\u0026id=234868,RD,1.00,K,VS2,EX,EX,EX,NONE,6.3-6.35*4.01,55.00,63.40,GIA,4300,-29.50,3031,3031.500000,null,-,-,1,null,NO,1.00,MED-STK,null,36.50,17.00,40.60,43.00,N,Crystal  Needle  Natural,null,L
231104,HK,7398545448,https:\/\/videop.co.in\/imaged\/T-23F-10800\/T-23F-10800.jpg,https:\/\/videop.co.in\/vision360.html?d=T-23F-10800\u0026zoomslide=1\u0026id=231104,HE,1.80,F,VS2,null,EX,VG,FNT,7.09-8.35*4.76,59.00,57.10,GIA,10500,-29.50,7402,13324.500000,null,-,-,0,null,NO,1.80,THK-ETK,null,39.80,15.50,36.60,35.50,N,Feather  Indented Natural  Natural,null,L
26640,HK,2376716707,https:\/\/videop.co.in\/imaged\/HK-5344\/HK-5344.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-5344\u0026zoomslide=1\u0026id=26640,OV,1.20,G,VS1,null,EX,VG,MED,7.52-5.56*3.87,62.00,69.60,GIA,6600,-42.50,3795,4554.000000,null,-,-,0,-,NO,1.20,ETK-,null,42.70,18.20,37.30,38.40,N,Crystal  Feather  Needle  Pinpoint,null,L
28904,HK,2225095763,https:\/\/videop.co.in\/imaged\/HK-7354\/HK-7354.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7354\u0026zoomslide=1\u0026id=28904,RD,3.00,J,VS1,VG,EX,VG,STR,9.07-9.19*5.61,56.00,61.40,GIA,15000,-40.50,8925,26775.000000,null,null,null,null,-,null,3.00,STK-THK,Faceted,34.50,15.00,39.80,41.00,VSM,Crystal  Needle  Indented Natural  Natural,null,L
221408,HK,6382032109,https:\/\/videop.co.in\/imaged\/S-88I-5900\/S-88I-5900.jpg,https:\/\/videop.co.in\/vision360.html?d=S-88I-5900\u0026zoomslide=1\u0026id=221408,HE,1.80,G,VS1,null,EX,EX,FNT,7.06-8.31*5,56.00,60.20,GIA,10500,-31.50,7192,12946.500000,null,-,-,0,null,NO,1.80,VTK-ETK,null,39.00,15.50,41.10,38.40,N,Crystal  Feather  Needle  Pinpoint,null,L
28924,HK,2416043920,https:\/\/videop.co.in\/imaged\/HK-7373\/HK-7373.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7373\u0026zoomslide=1\u0026id=28924,RD,0.21,D,VVS1,EX,EX,EX,NONE,3.9-3.91*2.36,58.00,60.50,GIA,1300,38.50,1800,378.110000,null,null,null,null,null,null,0.21,MED-STK,Faceted,32.00,13.50,41.20,43.50,N,Pinpoint,null,L
234702,HK,6401309390,https:\/\/videop.co.in\/imaged\/T-46D-11400\/T-46D-11400.jpg,https:\/\/videop.co.in\/vision360.html?d=T-46D-11400\u0026zoomslide=1\u0026id=234702,RD,0.60,H,VS1,EX,EX,EX,NONE,5.33-5.36*3.36,55.00,62.90,GIA,3800,-29.50,2679,1607.400000,null,-,-,0,null,NO,0.60,MED-STK,null,36.50,17.00,40.60,42.50,VSM,Crystal  Pinpoint,null,L
234126,HK,3405680525,https:\/\/videop.co.in\/imaged\/T-42E-2100\/T-42E-2100.jpg,https:\/\/videop.co.in\/vision360.html?d=T-42E-2100\u0026zoomslide=1\u0026id=234126,RD,1.20,F,VS1,EX,EX,EX,NONE,6.71-6.76*4.26,57.00,63.20,GIA,11000,-23.50,8415,10098.000000,null,-,-,0,null,NO,1.20,MED-STK,null,35.00,15.50,41.40,44.00,N,Crystal  Cloud  Needle  Natural,null,L
234521,HK,2406895131,https:\/\/videop.co.in\/imaged\/T-31D-600\/T-31D-600.jpg,https:\/\/videop.co.in\/vision360.html?d=T-31D-600\u0026zoomslide=1\u0026id=234521,RD,2.01,H,VS1,EX,EX,EX,FNT,7.97-8.01*5.04,55.00,63.00,GIA,16000,-33.50,10640,21386.400000,null,-,-,0,null,NO,2.01,MED-STK,null,36.50,16.50,40.60,42.50,N,Crystal  Indented Natural  Needle  Pinpoint  Natural,null,L
28692,HK,2406382168,https:\/\/videop.co.in\/imaged\/HK-7174\/HK-7174.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7174\u0026zoomslide=1\u0026id=28692,RD,3.01,L,VVS2,EX,EX,EX,FNT,9.12-9.18*5.77,55.00,63.10,GIA,10500,-36.50,6667,20069.180000,null,null,null,null,null,null,3.01,MED-STK,Faceted,36.50,16.50,40.60,42.50,N,Cloud  Cavity  Pinpoint  Natural,Additional clouds are not shown.,L
231893,HK,1397710421,https:\/\/videop.co.in\/imaged\/T-24C-2600\/T-24C-2600.jpg,https:\/\/videop.co.in\/vision360.html?d=T-24C-2600\u0026zoomslide=1\u0026id=231893,RD,0.86,F,VVS1,EX,EX,EX,NONE,6.02-6.07*3.79,57.00,62.70,GIA,6000,-2.50,5850,5031.000000,null,-,-,0,-,NO,0.86,THN-STK,null,36.50,16.00,40.80,43.00,N,Pinpoint  Indented Natural  Surface Graining,null,L
236695,HK,1418415418,https:\/\/videop.co.in\/imaged\/T-48D-1201\/T-48D-1201.jpg,https:\/\/videop.co.in\/vision360.html?d=T-48D-1201\u0026zoomslide=1\u0026id=236695,RD,0.24,F,VVS1,EX,EX,EX,NONE,4.02-4.05*2.43,60.00,60.30,GIA,1550,17.50,1821,437.100000,null,-,-,0,-,NO,0.24,MED-STK,null,31.50,12.50,41.80,44.50,N,Pinpoint  Feather  Surface Graining,null,L
29177,HK,6213959821,https:\/\/videop.co.in\/imaged\/HK-7615\/HK-7615.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-7615\u0026zoomslide=1\u0026id=29177,RD,1.02,J,VVS2,EX,EX,EX,FNT,6.42-6.44*4,57.00,62.30,GIA,6000,-30.50,4170,4253.400000,null,null,null,null,-,null,1.02,THN-MED,Faceted,36.50,16.00,40.80,43.00,N,Pinpoint,null,L
