field_stock_refno,field_stock_location,field_stock_certno,field_stock_diamond_image,field_stock_videopath,field_stock_shape,field_stock_carat,field_stock_color,field_stock_clarity,field_stock_cut,field_stock_polish,field_stock_symmetry,field_stock_fluorescence,field_stock_diameter,field_stock_table,field_stock_depth,field_stock_certificate,field_stock_rap,field_stock_discount,field_stock_pr_pc,price__number,field_stock_bgm,field_stock_tabinc,field_stock_blackinc,field_stock_eyeclean,field_stock_parishicomments,field_stock_hacode,field_stock_weight,field_stock_girdle,field_stock_girdlecondition,field_stock_ca,field_stock_ch,field_stock_pa,field_stock_ph,field_stock_culet,field_stock_keytosymbols,field_stock_comments,field_stock_status1
27201,HK,2213530044,https:\/\/videop.co.in\/imaged\/HK-5855\/HK-5855.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-5855\u0026zoomslide=1\u0026id=27201,RD,1.01,L,SI1,EX,EX,EX,NONE,6.42-6.44*0,59.00,61.20,GIA,3600,-31.50,2466,2490.660000,null,null,null,null,-,null,1.01,-,null,34.00,0.14,41.00,0.44,NON,Feather  Crystal  Cloud  Needle,null,L
27616,HK,3385563860,https:\/\/videop.co.in\/imaged\/HK-6234\/HK-6234.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6234\u0026zoomslide=1\u0026id=27616,RD,1.00,J,SI2,VG,EX,VG,NONE,6.19-6.25*4.03,55.00,64.80,GIA,4600,-44.50,2553,2553.000000,null,null,null,null,-,null,1.00,STK-THK,Faceted,38.50,18.00,40.20,42.00,N,Feather  Crystal  Cavity  Needle  Indented Natural,Clouds are not shown. Surface graining is not shown.,L
27833,HK,2387934597,https:\/\/videop.co.in\/imaged\/HK-6448\/HK-6448.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6448\u0026zoomslide=1\u0026id=27833,RD,0.55,E,VS1,EX,EX,EX,NONE,5.22-5.24*3.31,56.00,63.30,GIA,4400,-34.50,2882,1585.100000,null,null,null,null,null,null,0.55,THN-STK,Faceted,34.50,15.50,41.60,44.50,N,Crystal  Indented Natural  Needle,null,L
27148,HK,2215636650,https:\/\/videop.co.in\/imaged\/HK-5802\/HK-5802.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-5802\u0026zoomslide=1\u0026id=27148,RD,1.15,M,VS2,EX,EX,EX,NONE,6.7-6.76*4.14,56.00,61.40,GIA,3500,-37.50,2187,2515.630000,null,null,null,null,-,null,1.15,MED-STK,Faceted,33.50,14.50,40.80,43.00,N,Feather  Crystal  Indented Natural  Needle  Cloud,null,L
27502,HK,1388677155,https:\/\/videop.co.in\/imaged\/HK-6120\/HK-6120.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6120\u0026zoomslide=1\u0026id=27502,RD,2.10,J,VVS1,EX,EX,EX,STR,8.15-8.2*5.09,58.00,62.30,GIA,12200,-33.50,8113,17037.300000,null,null,null,null,-,null,2.10,MED-STK,Faceted,35.00,14.50,41.40,44.00,N,Pinpoint  Feather,Additional pinpoints are not shown. Surface graining is not shown.,L
27552,HK,5386146653,https:\/\/videop.co.in\/imaged\/HK-6170\/HK-6170.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6170\u0026zoomslide=1\u0026id=27552,RD,1.16,L,SI2,EX,EX,EX,MED,6.65-6.71*4.23,58.00,63.30,GIA,3300,-47.50,1732,2009.700000,null,null,null,null,-,null,1.16,MED-STK,Faceted,35.00,14.50,41.60,44.50,N,Feather  Cloud  Crystal  Needle  Indented Natural,null,L
27586,HK,2384592920,https:\/\/videop.co.in\/imaged\/HK-6204\/HK-6204.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6204\u0026zoomslide=1\u0026id=27586,RD,1.01,I,VVS2,GD,EX,GD,FNT,6.03-6.17*4.08,62.00,66.90,GIA,7400,-57.50,3145,3176.450000,null,null,null,null,-,null,1.01,MED-VTK,Faceted,40.00,16.00,41.40,44.00,N,Needle  Cloud  Pinpoint  Feather  Natural,Additional clouds are not shown. Additional pinpoints are not shown.,L
224972,HK,2215762343,https:\/\/videop.co.in\/imaged\/S-127H-1600\/S-127H-1600.jpg,https:\/\/videop.co.in\/vision360.html?d=S-127H-1600\u0026zoomslide=1\u0026id=224972,CM,1.01,F,SI1,null,EX,VG,NONE,5.86-5.5*3.77,60.00,68.50,GIA,5700,-62.50,2137,2158.880000,null,-,-,1,-,NO,1.01,MED-VTK,null,39.40,16.60,32.40,48.20,N,Crystal  Feather  Needle,null,L
28330,HK,1358333104,https:\/\/videop.co.in\/imaged\/HK-6870\/HK-6870.jpg,https:\/\/videop.co.in\/vision360.html?d=HK-6870\u0026zoomslide=1\u0026id=28330,RD,2.14,L,IF,EX,EX,EX,FNT,8.16-8.21*5.1,59.00,62.30,GIA,8900,-33.50,5918,12665.590000,null,null,null,null,null,null,2.14,MED-STK,Faceted,36.00,15.00,41.00,43.50,N,null,Minor details of polish are not shown.,L
232425,HK,2404265014,https:\/\/videop.co.in\/imaged\/T-23J-38600\/T-23J-38600.jpg,https:\/\/videop.co.in\/vision360.html?d=T-23J-38600\u0026zoomslide=1\u0026id=232425,RD,1.00,K,VVS2,EX,EX,EX,NONE,6.32-6.36*3.96,59.00,62.40,GIA,4900,-32.50,3307,3307.500000,null,-,-,0,null,NO,1.00,STK-,null,35.50,15.00,41.00,43.50,VSM,Pinpoint  Cloud  Indented Natural  Natural,null,L
