Stock_ID,Shape,Cts,Color,Clarity,Rep_Price,Cut,Polish,Symm,Fls,Length,Width,Depth,Depth_Per,Table_Per,Cr_Ang,Cr_Ht,Pav_Ang,Pav_Ht,Certi_No,Girdle,Disc,Lab,Pointer,Status,Shade,Luster,Table_Natts,Girdle_Type,Culet,Table_Depth,Inclusion,HNA,Side_Natts,Table_Open,Crown_Open,Comments,Key_To_Symbol,Disc_By_Date,Inscription,Girdle_Per,Revise_Disc_Flag,Crown_Natts,Crown_Inclusion,Certi_Date,BGM,UserComments,Group_Disc,Rap_Amount,Net_Price,Table_White,Side_White,Milky_Grade,Source,Location,Fls_Color,Lab_Date,Price_Per_Cts,View_Image,View_Video,View_Certi,TableOpen,CrownOpen,PavillionOpen,GirdleOpen
SA-02-22-8,ROUND,3.03,G,VS1,29000.0,3EX,EX,EX,NONE,9.27,9.26,5.75,62.0,56.0,34.5,0.15,41.0,0.43,6412612542,MED TO STK,-18.0,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,FEATHER,0.0,,0.04,,,,,NO BGM,,-18.0,87870.0,70612.33,NONE,MINOR,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,23304.4,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-8,https://shairugems.net:8010/DNA/Vision360?d=6412612542&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=6412612542,https://shairugems.net:8010/DNA/certi?SeqNo=6412612542,NONE,NONE,-,-
SA-02-22-7,ROUND,3.03,K,IF,16000.0,3EX,EX,EX,NONE,9.28,9.21,5.78,62.5,58.0,34.5,0.15,41.6,0.45,6415966073,MED TO STK,-23.0,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,MINOR DETAILS OF POLISH ARE NOT SHOWN.,,0.0,,0.04,,,,,NO BGM,,-23.0,48480.0,36583.01,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,12073.6,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-7,https://shairugems.net:8010/DNA/Vision360?d=6415966073&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=6415966073,https://shairugems.net:8010/DNA/certi?SeqNo=6415966073,NONE,NONE,-,-
SA-02-22-60,ROUND,0.3,G,IF,2800.0,EX,EX,VG,FAINT,4.4,4.38,2.63,59.9,60.0,31.5,0.12,41.8,0.45,6415612080,MED TO STK,-42.5,GIA,0.30-0.39,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,MINOR DETAILS OF POLISH,0.0,,0.04,,,,,NO BGM,,-42.5,840.0,473.34,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,1577.8,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-60,https://shairugems.net:8010/DNA/Vision360?d=6415612080&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=6415612080,https://shairugems.net:8010/DNA/certi?SeqNo=6415612080,NONE,NONE,-,-
SA-02-22-59,ROUND,0.3,E,VS2,2400.0,3EX,EX,EX,NONE,4.36,4.34,2.59,59.5,60.0,31.5,0.13,41.0,0.43,6425131351,MED TO STK,-30.5,GIA,0.30-0.39,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,FEATHER  INDENTED NATURAL,0.0,,0.04,,,,,NO BGM,,-30.5,720.0,490.39,MINOR,MINOR,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,1634.63,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-59,https://shairugems.net:8010/DNA/Vision360?d=6425131351&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=6425131351,https://shairugems.net:8010/DNA/certi?SeqNo=6425131351,NONE,NONE,-,-
SA-02-22-57,ROUND,0.32,F,VVS2,2600.0,3EX,EX,EX,NONE,4.45,4.43,2.69,60.6,59.0,32.0,0.13,41.8,0.45,7421247147,MED TO STK,-29.0,GIA,0.30-0.39,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,NEEDLE,0.0,,0.04,,,,,NO BGM,,-29.0,832.0,578.91,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,1809.09,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-57,https://shairugems.net:8010/DNA/Vision360?d=7421247147&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=7421247147,https://shairugems.net:8010/DNA/certi?SeqNo=7421247147,NONE,NONE,-,-
SA-02-22-56,ROUND,0.32,G,IF,2800.0,3EX,EX,EX,NONE,4.45,4.43,2.69,60.5,59.0,33.0,0.13,41.4,0.44,2426247343,MED TO STK,-34.0,GIA,0.30-0.39,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,MINOR DETAILS OF POLISH ARE NOT SHOWN.,,0.0,,0.04,,,,,NO BGM,,-34.0,896.0,579.53,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,1811.03,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-56,https://shairugems.net:8010/DNA/Vision360?d=2426247343&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=2426247343,https://shairugems.net:8010/DNA/certi?SeqNo=2426247343,NONE,NONE,-,-
SA-02-22-55,ROUND,0.33,H,IF,2600.0,3EX,EX,EX,NONE,4.54,4.52,2.72,60.1,58.0,33.0,0.14,41.2,0.44,1428257354,MED TO STK,-33.0,GIA,0.30-0.39,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,MINOR DETAILS OF POLISH ARE NOT SHOWN.,,0.0,,0.03,,,,,NO BGM,,-33.0,858.0,563.36,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,1707.15,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-55,https://shairugems.net:8010/DNA/Vision360?d=1428257354&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=1428257354,https://shairugems.net:8010/DNA/certi?SeqNo=1428257354,NONE,NONE,-,-
SA-02-22-54,ROUND,0.39,E,IF,3100.0,3EX,EX,EX,MED,4.75,4.73,2.9,61.1,58.0,32.5,0.14,41.8,0.45,2426257314,MED TO STK,-28.0,GIA,0.30-0.39,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,MINOR DETAILS OF POLISH ARE NOT SHOWN.,,0.0,,0.04,,,,,NO BGM,,-28.0,1209.0,853.07,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,2187.36,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-54,https://shairugems.net:8010/DNA/Vision360?d=2426257314&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=2426257314,https://shairugems.net:8010/DNA/certi?SeqNo=2426257314,NONE,NONE,-,-
SA-02-22-51,ROUND,0.52,G,VVS1,4400.0,3EX,EX,EX,NONE,5.25,5.23,3.17,60.5,59.0,31.5,0.13,41.8,0.45,7426247341,MED,-24.0,GIA,0.50-0.59,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,PINPOINT  FEATHER,0.0,,0.04,,,,,NO BGM,,-24.0,2288.0,1704.1,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,3277.12,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-51,https://shairugems.net:8010/DNA/Vision360?d=7426247341&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=7426247341,https://shairugems.net:8010/DNA/certi?SeqNo=7426247341,NONE,NONE,-,-
SA-02-22-50,ROUND,0.53,F,VVS1,4800.0,3EX,EX,EX,NONE,5.28,5.25,3.17,60.2,61.0,32.5,0.13,41.8,0.45,7418966424,MED TO STK,-24.6,GIA,0.50-0.59,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,FEATHER,0.0,,0.04,,,,,NO BGM,,-24.6,2544.0,1879.81,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,3546.81,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-50,https://shairugems.net:8010/DNA/Vision360?d=7418966424&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=7418966424,https://shairugems.net:8010/DNA/certi?SeqNo=7418966424,NONE,NONE,-,-
