Stock_ID,Shape,Cts,Color,Clarity,Rep_Price,Cut,Polish,Symm,Fls,Length,Width,Depth,Depth_Per,Table_Per,Cr_Ang,Cr_Ht,Pav_Ang,Pav_Ht,Certi_No,Girdle,Disc,Lab,Pointer,Status,Shade,Luster,Table_Natts,Girdle_Type,Culet,Table_Depth,Inclusion,HNA,Side_Natts,Table_Open,Crown_Open,Comments,Key_To_Symbol,Disc_By_Date,Inscription,Girdle_Per,Revise_Disc_Flag,Crown_Natts,Crown_Inclusion,Certi_Date,BGM,UserComments,Group_Disc,Rap_Amount,Net_Price,Table_White,Side_White,Milky_Grade,Source,Location,Fls_Color,Lab_Date,Price_Per_Cts,View_Image,View_Video,View_Certi,TableOpen,CrownOpen,PavillionOpen,GirdleOpen
SA-02-22-5,ROUND,3.61,J,VVS2,17500.0,3EX,EX,EX,NONE,9.85,9.79,6.11,62.3,59.0,35.0,0.15,41.6,0.45,1418966068,MED TO STK,-8.0,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,CLOUD  NEEDLE,0.0,,0.04,,,,,NO BGM,,-8.0,63175.0,56958.58,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,15778.0,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-5,https://shairugems.net:8010/DNA/Vision360?d=1418966068&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=1418966068,https://shairugems.net:8010/DNA/certi?SeqNo=1418966068,NONE,NONE,-,-
SA-02-22-49,ROUND,0.71,I,VS1,4200.0,3EX,EX,EX,NONE,5.8,5.77,3.5,60.5,60.0,31.5,0.13,41.8,0.45,1427247396,MED,-23.0,GIA,0.70-0.79,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,ADDITIONAL CLOUDS ARE NOT SHOWN. PINPOINTS ARE NOT SHOWN.,CRYSTAL  CLOUD  NEEDLE  FEATHER,0.0,,0.04,,,,,NO BGM,,-23.0,2982.0,2250.22,MINOR,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,3169.32,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-49,https://shairugems.net:8010/DNA/Vision360?d=1427247396&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=1427247396,https://shairugems.net:8010/DNA/certi?SeqNo=1427247396,NONE,NONE,-,-
SA-02-22-43,ROUND,1.01,G,SI1,8100.0,3EX,EX,EX,NONE,6.53,6.49,3.92,60.2,60.0,31.5,0.12,41.4,0.44,5426246624,STK,-27.0,GIA,1.00-1.49,,WHITE,NONE,SMALL,FACETED,N,,,-,NONE,NONE,NONE,CLOUDS ARE NOT SHOWN. PINPOINTS ARE NOT SHOWN.,CRYSTAL  FEATHER  NEEDLE,0.0,,0.04,,,,,NO BGM,,-27.0,8181.0,5852.69,MINOR,MINOR,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,5794.74,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-43,https://shairugems.net:8010/DNA/Vision360?d=5426246624&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=5426246624,https://shairugems.net:8010/DNA/certi?SeqNo=5426246624,NONE,NONE,-,-
SA-02-22-36,ROUND,1.08,D,IF,22000.0,3EX,EX,EX,NONE,6.69,6.66,4.0,60.0,60.0,31.5,0.13,41.6,0.45,2416612535,MED TO STK,-26.75,GIA,1.00-1.49,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,MINOR DETAILS OF POLISH ARE NOT SHOWN.,,0.0,,0.04,,,,,NO BGM,,-26.75,23760.0,17056.12,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,15792.7,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-36,https://shairugems.net:8010/DNA/Vision360?d=2416612535&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=2416612535,https://shairugems.net:8010/DNA/certi?SeqNo=2416612535,NONE,NONE,-,-
SA-02-22-35,ROUND,1.12,I,VVS1,8500.0,3EX,EX,EX,NONE,6.67,6.62,4.16,62.7,58.0,34.5,0.15,41.8,0.45,6421131292,MED TO STK,-22.0,GIA,1.00-1.49,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,FEATHER,0.0,,0.04,,,,,NO BGM,,-22.0,9520.0,7277.09,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,6497.4,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-35,https://shairugems.net:8010/DNA/Vision360?d=6421131292&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=6421131292,https://shairugems.net:8010/DNA/certi?SeqNo=6421131292,NONE,NONE,-,-
SA-02-22-34,ROUND,1.2,D,VS1,13700.0,3EX,EX,EX,NONE,6.93,6.89,4.09,59.2,62.0,33.0,0.12,41.0,0.44,6411612049,MED TO STK,-24.0,GIA,1.00-1.49,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,CRYSTAL  FEATHER  PINPOINT  NATURAL,0.0,,0.04,,,,,NO BGM,,-24.0,16440.0,12244.51,NONE,MINOR,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,10203.76,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-34,https://shairugems.net:8010/DNA/Vision360?d=6411612049&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=6411612049,https://shairugems.net:8010/DNA/certi?SeqNo=6411612049,NONE,NONE,-,-
SA-02-22-33,ROUND,1.32,H,VVS1,10500.0,3EX,EX,EX,NONE,7.16,7.12,4.31,60.3,60.0,31.5,0.13,41.8,0.45,2416966045,MED TO STK,-12.0,GIA,1.00-1.49,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,ADDITIONAL PINPOINTS ARE NOT SHOWN.,PINPOINT,0.0,,0.04,,,,,NO BGM,,-12.0,13860.0,11952.86,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,9055.2,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-33,https://shairugems.net:8010/DNA/Vision360?d=2416966045&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=2416966045,https://shairugems.net:8010/DNA/certi?SeqNo=2416966045,NONE,NONE,-,-
SA-02-22-32,ROUND,1.5,J,VVS1,9700.0,3EX,EX,EX,NONE,7.37,7.32,4.52,61.6,60.0,32.0,0.13,41.8,0.45,6425246731,STK,-21.75,GIA,1.50-1.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,CLOUD  PINPOINT  FEATHER,0.0,,0.05,,,,,NO BGM,,-21.75,14550.0,11157.67,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,7438.45,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-32,https://shairugems.net:8010/DNA/Vision360?d=6425246731&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=6425246731,https://shairugems.net:8010/DNA/certi?SeqNo=6425246731,NONE,NONE,-,-
SA-02-22-3,ROUND,5.03,E,VVS2,74500.0,3EX,EX,EX,NONE,11.11,11.07,6.74,60.8,59.0,32.0,0.13,41.8,0.45,1226188994,MED TO STK,-20.0,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,ADDITIONAL PINPOINTS ARE NOT SHOWN.,PINPOINT,0.0,,0.04,,,,,NO BGM,,-20.0,374735.02,293792.25,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,58408.0,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-3,https://shairugems.net:8010/DNA/Vision360?d=1226188994&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=1226188994,https://shairugems.net:8010/DNA/certi?SeqNo=1226188994,NONE,NONE,-,-
SA-02-22-28,ROUND,1.53,I,VS1,10500.0,3EX,EX,EX,NONE,7.37,7.33,4.6,62.5,58.0,36.0,0.16,41.0,0.44,2424001430,MED,-19.0,GIA,1.50-1.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,ADDITIONAL CLOUDS ARE NOT SHOWN. PINPOINTS ARE NOT SHOWN.,CLOUD  NEEDLE,0.0,,0.04,,,,,NO BGM,,-19.0,16065.0,12752.4,MINOR,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,8334.9,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-28,https://shairugems.net:8010/DNA/Vision360?d=2424001430&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=2424001430,https://shairugems.net:8010/DNA/certi?SeqNo=2424001430,NONE,NONE,-,-
SA-02-22-26,ROUND,1.59,M,VVS1,5900.0,3EX,EX,EX,NONE,7.46,7.42,4.67,62.8,58.0,35.5,0.16,41.4,0.44,6422246690,MED TO STK,-20.0,GIA,1.50-1.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,FEATHER,0.0,,0.04,,,,,NO BGM,,-20.0,9381.0,7354.7,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,4625.6,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-26,https://shairugems.net:8010/DNA/Vision360?d=6422246690&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=6422246690,https://shairugems.net:8010/DNA/certi?SeqNo=6422246690,NONE,NONE,-,-
SA-02-22-23,ROUND,2.01,H,VVS2,19000.0,3EX,EX,EX,NONE,8.27,8.23,4.87,59.0,59.0,32.5,0.13,40.8,0.43,2427007850,MED TO STK,-19.25,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,NEEDLE  FEATHER,0.0,,0.03,,,,,NO BGM,,-19.25,38190.0,30221.66,NONE,MINOR,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,15035.65,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-23,https://shairugems.net:8010/DNA/Vision360?d=2427007850&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=2427007850,https://shairugems.net:8010/DNA/certi?SeqNo=2427007850,NONE,NONE,-,-
SA-02-22-22,ROUND,2.01,I,VVS1,16500.0,3EX,EX,EX,NONE,8.11,8.07,4.99,61.6,61.0,33.0,0.13,41.8,0.45,1427000300,STK,-20.75,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,FEATHER,0.0,,0.04,,,,,NO BGM,,-20.75,33165.0,25757.6,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,12814.73,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-22,https://shairugems.net:8010/DNA/Vision360?d=1427000300&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=1427000300,https://shairugems.net:8010/DNA/certi?SeqNo=1427000300,NONE,NONE,-,-
SA-02-22-19,ROUND,2.03,I,SI2,10900.0,3EX,EX,EX,NONE,8.14,8.11,5.01,61.7,60.0,33.5,0.13,41.8,0.45,7421131427,MED TO STK,-21.25,GIA,2.00-99.99,,WHITE,NONE,MINOR,FACETED,N,,,-,NONE,NONE,NONE,PINPOINTS ARE NOT SHOWN.,CRYSTAL  FEATHER  NEEDLE,0.0,,0.04,,,,,NO BGM,,-21.25,22127.0,17076.51,SMALL,MINOR,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,8412.07,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-19,https://shairugems.net:8010/DNA/Vision360?d=7421131427&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=7421131427,https://shairugems.net:8010/DNA/certi?SeqNo=7421131427,NONE,NONE,-,-
SA-02-22-18,ROUND,2.04,E,VVS1,33000.0,3EX,EX,EX,MED,8.12,8.06,5.08,62.7,58.0,35.0,0.15,41.6,0.45,2428131320,MED TO STK,-35.5,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,FEATHER,0.0,,0.04,,,,,NO BGM,,-35.5,67320.0,42552.97,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,20859.3,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-18,https://shairugems.net:8010/DNA/Vision360?d=2428131320&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=2428131320,https://shairugems.net:8010/DNA/certi?SeqNo=2428131320,NONE,NONE,-,-
SA-02-22-17,ROUND,2.08,H,IF,21500.0,3EX,EX,EX,NONE,8.23,8.21,5.06,61.6,59.0,33.5,0.14,41.8,0.45,1428131458,MED TO STK,-21.0,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,MINOR DETAILS OF POLISH ARE NOT SHOWN.,,0.0,,0.04,,,,,NO BGM,,-21.0,44720.0,34622.22,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,16645.3,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-17,https://shairugems.net:8010/DNA/Vision360?d=1428131458&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=1428131458,https://shairugems.net:8010/DNA/certi?SeqNo=1428131458,NONE,NONE,-,-
SA-02-22-16,ROUND,2.18,J,VVS1,13600.0,3EX,EX,EX,NONE,8.43,8.39,5.04,59.9,60.0,31.5,0.12,41.4,0.44,2426131278,MED TO STK,-21.5,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,SURFACE GRAINING IS NOT SHOWN.,FEATHER  CAVITY  INDENTED NATURAL,0.0,,0.04,,,,,NO BGM,,-21.5,29648.0,22808.21,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,10462.48,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-16,https://shairugems.net:8010/DNA/Vision360?d=2426131278&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=2426131278,https://shairugems.net:8010/DNA/certi?SeqNo=2426131278,NONE,NONE,-,-
SA-02-22-15,ROUND,2.21,M,VVS2,6900.0,3EX,EX,EX,FAINT,8.33,8.26,5.2,62.7,58.0,35.5,0.15,41.4,0.44,7421007849,MED TO STK,-18.43,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,ADDITIONAL PINPOINTS ARE NOT SHOWN.,NEEDLE  CLOUD  PINPOINT,0.0,,0.04,,,,,NO BGM,,-18.43,15249.0,12189.84,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,5515.76,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-15,https://shairugems.net:8010/DNA/Vision360?d=7421007849&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=7421007849,https://shairugems.net:8010/DNA/certi?SeqNo=7421007849,NONE,NONE,-,-
SA-02-22-13,ROUND,2.38,H,SI1,13900.0,3EX,EX,EX,NONE,8.63,8.56,5.29,61.6,59.0,33.0,0.14,41.8,0.45,2426131409,MED TO STK,-15.0,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,ADDITIONAL CLOUDS ARE NOT SHOWN. PINPOINTS ARE NOT SHOWN.,CRYSTAL  CLOUD  NEEDLE,0.0,,0.04,,,,,NO BGM,,-15.0,33082.0,27557.31,SMALL,MINOR,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,11578.7,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-13,https://shairugems.net:8010/DNA/Vision360?d=2426131409&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=2426131409,https://shairugems.net:8010/DNA/certi?SeqNo=2426131409,NONE,NONE,-,-
SA-02-22-12,ROUND,2.8,D,IF,46000.0,3EX,EX,EX,NONE,9.09,9.06,5.6,61.7,53.0,34.0,0.16,40.6,0.43,1413966088,MED TO STK,-11.5,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,MINOR DETAILS OF POLISH ARE NOT SHOWN.,,0.0,,0.03,,,,,NO BGM,,-11.5,128800.0,111708.24,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,39895.8,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-12,https://shairugems.net:8010/DNA/Vision360?d=1413966088&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=1413966088,https://shairugems.net:8010/DNA/certi?SeqNo=1413966088,NONE,NONE,-,-
SA-02-22-1,PEAR,6.22,D,FL,85000.0,-,EX,EX,NONE,16.19,10.32,6.18,59.9,59.0,0.0,0.0,0.0,0.0,2225189630,MED TO THK,-15.0,GIA,2.00-99.99,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,,0.0,,0.0,,,,,NO BGM,,-15.0,528699.98,440407.09,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,70805.0,https://shairugems.net:8010/DNA/Image?sRefNo=SA-02-22-1,https://shairugems.net:8010/DNA/Vision360?d=2225189630&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=2225189630,https://shairugems.net:8010/DNA/certi?SeqNo=2225189630,NONE,NONE,-,-
D-387,ROUND,0.4,G,VVS1,3100.0,EX,VG,VG,NONE,4.74,4.73,2.93,61.9,56.0,34.5,0.15,41.2,0.44,6401357856,THN TO MED,-36.0,GIA,0.40-0.49,,WHITE,NONE,NONE,FACETED,N,,,-,NONE,NONE,NONE,,FEATHER  CHIP,0.0,,0.04,,,,,NO BGM,,-36.0,1240.0,777.73,NONE,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,1944.32,https://shairugems.net:8010/DNA/Image?sRefNo=D-387,https://shairugems.net:8010/DNA/Vision360?d=6401357856&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=6401357856,https://shairugems.net:8010/DNA/certi?SeqNo=6401357856,NONE,NONE,-,-
D-386,ROUND,0.53,J,SI1,2400.0,3EX,EX,EX,NONE,5.25,5.24,3.2,60.9,58.0,34.0,0.15,41.2,0.44,1405024294,THN TO MED,-33.5,GIA,0.50-0.59,,WHITE,NONE,SMALL,,N,,,-,NONE,HAIR LINE,NONE,PINPOINTS ARE NOT SHOWN.,CRYSTAL  NEEDLE,0.0,,0.03,,,,,NO BGM,,-33.5,1272.0,828.96,SMALL,NONE,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,1564.08,https://shairugems.net:8010/DNA/Image?sRefNo=D-386,https://shairugems.net:8010/DNA/Vision360?d=1405024294&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=1405024294,https://shairugems.net:8010/DNA/certi?SeqNo=1405024294,HAIR LINE,NONE,-,-
D-382,ROUND,0.65,I,SI2,2500.0,3EX,EX,EX,NONE,5.64,5.63,3.41,60.6,58.0,33.5,0.14,41.2,0.44,6402024255,MED,-33.5,GIA,0.60-0.69,,WHITE,NONE,SMALL,,N,,,-,MEDIUM,NONE,NONE,PINPOINTS ARE NOT SHOWN. SURFACE GRAINING IS NOT SHOWN.,TWINNING WISP  FEATHER  NEEDLE,0.0,,0.03,,,,,NO BGM,,-33.5,1625.0,1059.01,SMALL,MINOR,NONE,DUBAI,Dubai,,0001-01-01T00:00:00,1629.25,https://shairugems.net:8010/DNA/Image?sRefNo=D-382,https://shairugems.net:8010/DNA/Vision360?d=6402024255&sv=0 1 2 3 4&z=1&i=HDInfo?SeqNo=6402024255,https://shairugems.net:8010/DNA/certi?SeqNo=6402024255,NONE,NONE,-,-
